PDB,RES
2G3R,1.25
2OIZ,1.05
4XOD,1.14
5O6H,1.29
5EL9,1.1
1R29,1.3
5A71,0.91
6HER,1.199
3P6D,1.06
4AOH,1.041
2BT9,0.94
3MOE,1.25
5OAZ,1.03
4JOK,1.09
2GG2,1
3AH9,1.08
1N40,1.06
3QPA,0.85
5TVY,1
2H5C,0.82
2DXU,1.28
1Q0E,1.15
5DGJ,1
1O7Q,1.3
1O7J,1
3I06,1.1
2YKZ,0.84
1M4L,1.25
4BN4,1.3
3EWW,1.1
5CTA,1.24
6RA7,1.2
4RD4,1.3
5N8B,1.03
3B64,1.03
3AKQ,0.97
5J4L,1.13
2V9L,1.23
3JVL,1.2
6UYR,1.3
1LNI,1
5NB4,1.14
6MYI,1.15
4NET,1.2
6R4Z,1.052
6ICG,1.15
1N9B,0.9
4RLK,1.24
5OKA,1.25
6I4E,1.22
5OAV,0.95
1XEO,1.3
4A29,1.1
6H0M,1.25
4KLX,1.23
3QZX,1.3
2Q20,1.3
1R0R,1.1
2O9U,1.15
4OY3,1.2
1WY3,0.95
4PLZ,1.05
4BRC,1.3
5O45,0.99
4RBX,1.1
4AFF,1.05
1IX9,0.9
3O5Q,0.96
3EC0,1.18
3B34,1.3
2A31,1.25
5QU8,0.93
6SRH,1.25
4O6U,0.89
4XO6,1.2
2GF3,1.3
6GLH,1.201
1ODM,1.15
5NCG,1.02
4C7I,1.3
2NLS,0.98
3BBB,1.3
6EUW,1
4KU0,1.15
4E9S,1.06
1KMT,1.3
3NGP,1.084
3Q46,0.99
6RVQ,1.136
6N59,1.02
7FD1,1.3
4BK7,1.14
3DS4,1.12
2B82,1.25
6HR4,1.19
6O5I,1.24
1E9G,1.15
6JK2,1.06
1SXV,1.3
6TM3,1.08
2F69,1.3
4JHT,1.18
6ESM,1.104
5F6E,1.12
1CSE,1.2
1Y55,1
5AE0,1.04
5HOB,1.22
2VCN,1.2
2I5V,1.1
4EZF,1.19
1KT6,1.1
6BGY,1.22
4FKB,1.22
5TP0,1.25
3X1X,1
1RYO,1.2
6EQE,0.92
6RI6,0.93
3U8I,1.1
5A1I,1.09
4DUI,1.16
4TTW,1.2
3O1N,1.03
4E3X,1.24
5CPH,1.2
6QJL,1.043
1VYR,0.9
5X86,1.19
2V3I,1.05
6J93,0.95
5M17,1.03
3AWU,1.16
2GZ5,1.1
6HFQ,1.145
6I03,1.02
1G4I,0.97
1HG7,1.15
4YAA,1.05
1JET,1.2
5LXX,1.25
4ZA9,1.01
4O36,1.22
1R2Q,1.05
3RZN,1.1
1R0M,1.3
3A8G,1.11
6IH0,1.21
6AP8,1.27
3G9X,0.95
5YOB,1.142
4E97,1.3
6IFP,1
4K8Y,1
3E8M,1.1
4ZX2,1.23
2AU7,1.05
5I8F,1.3
6N9B,1.219
1JFB,1
1PJX,0.85
2ZQ7,0.94
5OGJ,1.06
3IVV,1.25
4XOT,1.06
5Y0M,1.03
1T6U,1.3
3AOF,1.288
4QKZ,1.2
5A0Y,1.1
5LP9,0.8863
3L5L,1.03
1IRO,1.1
6PSA,1.3
5GZC,1.08
3D1K,1.25
5TOQ,1.2
3CCD,1
4HM8,1.3
1CC8,1.02
2QA9,1.18
3FMU,1.04
5NW3,0.59
3AUH,1.2
4EZ8,1.17
4O0A,1.2
1LS1,1.1
2CI1,1.08
3F1P,1.17
4MAK,1.1
1ZK4,1
3A6R,1.2
4J42,1.28
2Z26,1.29
2Y0T,1.3
1Q6O,1.202
5IDB,1
4ZCN,1.3
4JL5,1.24
4BS6,1.2
6PRF,1.21
4WFO,1.14
3DK9,0.95
4I4O,1.12
3QXG,1.24
6I3B,1
1P1X,0.99
6S2M,0.72
3NOQ,1
3JQL,1.2
5M33,1.28
5F82,0.96
3F9X,1.25
6P7Z,1.19
4MRH,1.12
1Z0W,1.2
3S6E,0.95
1QKS,1.28
3RM3,1.2
3NIR,0.48
4TKB,0.86
5II8,0.99
2QOL,1.07
1WDP,1.27
3NCL,1.19
6EH4,1.26
3G91,1.23
4KGD,1.06
1NKD,1.09
4WPK,0.98
2XMJ,1.08
5LJP,1.1
5XVT,0.85
6HMQ,0.97
3SZH,1.07
4CNN,1
5AJG,1.11
4MUM,1.271
4GJZ,1.048
5UGG,1.2
1GCI,0.78
6AO9,1.13
4JK8,1.15
1W23,1.08
2E39,1.3
5JB9,1.3
3CAY,1.2
1GK9,1.3
1EAQ,1.25
5BMN,1.27
5T5L,1.17
1MJ5,0.95
4REK,0.74
6KGI,1.04
6FT2,1.25
4CO3,1.05
3WKQ,1.15
6MAP,1.08
6R8R,1.27
5CKL,0.99
4U9H,0.89
4W7L,1.05
1OOH,1.25
3V0D,1.1
3X34,0.76
4NPD,0.9
6MM2,1.04
4J4Z,1.26
3UF7,1.2
1MF7,1.25
5LTR,1.21
4K0N,1.25
2X5X,1.2
3ZHO,1.2
2A50,1.3
1CXQ,1.02
4GBU,1.179
6FMC,0.9
6AYM,1.25
3X0I,0.91
6FEX,1.291
3I6C,1.3
6Q9Y,1.2
4QEK,1.299
3ZNV,1.3
6FNK,1.049
5B4T,1.19
1RTQ,0.95
3FCI,1.27
6P0I,1.18
3ZIY,1.01
2ZHN,1.3
3ARX,1.16
4R5R,0.96
3SFJ,1.24
6J33,1.297
5HBS,0.89
5GQI,1.3
3CX2,1.3
7A3H,0.95
3HZA,1.2
4HIL,1.25
4WWF,1.1
5VD6,1.2
2GUD,0.94
3I94,1.04
4JF5,1.15
5OL4,1.28
2XI8,1.21
5VX1,1.224
3G36,1.2
4XDX,0.95
1ZUA,1.25
6QO9,1.299
5QHU,1.05
4IHM,1.29
5LUN,1.08
3PKA,1.25
5HHJ,1.2
5Y4Z,1.3
3EPW,1.3
5IWH,1.101
5GGB,1.1
2PQ3,1.3
1K6F,1.3
3VWN,1.2
1SBY,1.1
1K8U,1.15
5IMA,1.04
3C6X,1.05
1CY5,1.3
5B8D,1.05
6RRV,1.1
5FEW,1.17
5TRQ,1.3
5CVD,1.3
1VZI,1.15
1T1G,1.18
1E4M,1.2
3JU4,0.98
4R2X,0.93
1UFY,0.96
3T3L,1.15
2HEU,1.04
6EKZ,1.08
1L3K,1.1
5Y90,1.3
3PN3,1.3
4IIY,1.2
4UE8,1.1
4JH2,1.27
2TPS,1.25
4QUS,1.28
2IGD,1.1
5K91,1.18
3QZM,1.25
4WKA,0.95
5YRH,1.2
2XWV,1.05
2JJU,1.19
6SPO,1.2
1G2Y,1
4JVO,1.3
1QTN,1.2
1TJX,1.04
4WZ4,1.05
2Q9O,1.3
2J9C,1.3
3AUB,1
4JF1,1.28
1B6G,1.15
4YZ0,1.15
5QIF,1.2
2XKI,1.3
5ILU,1.101
4JJ7,1.178
4DP9,1
4YI8,1.2
2XJP,0.95
4RV5,1.04
5O0U,0.99
3V1A,0.98
2HC1,1.3
1CZP,1.17
2BLN,1.2
1PQ7,0.8
5MFO,1.3
4YSI,1.02
3L42,1.3
6R01,1.18
4K8G,1.25
1DCS,1.3
4QRN,1.07
4J44,1.3
1W32,1.2
4XQC,1.27
1NEY,1.2
3QDS,1.15
2NYB,1.1
2AQP,1.3
2B97,0.75
4D6G,1.24
2GXQ,1.2
5V91,1.3
6O40,1.2
3UJC,1.19
2BJD,1.27
5NLD,0.96
4NOG,1.2
1HJ8,1
4IQB,1.13
6Y1J,1.127
6BHD,1.25
4AL0,1.16
4HBT,1.1
6Q6T,0.94
6I6M,1.2
6FGG,1.1
1C9O,1.17
5FG6,1.1
1FSG,1.05
3LO8,1.05
2H1V,1.2
1GWM,1.15
6A4U,1.16
4MUV,1.25
5NLU,1.193
5AGD,1.2
4PF3,1.1
4E9X,1.14
3MVS,1.1
3JTM,1.3
3B0G,1.25
6T2T,1.3
4QQH,1.2
2WRA,1.1
6CWM,1.15
1YQS,1.05
6HYN,1.14
4S39,1.3
5IO9,1.3
6TVE,1.05
2B69,1.21
3FWK,1.2
5UUK,1.199
3NJN,1.25
5L87,0.87
5V0Z,1.26
3SNF,1.1
1I1W,0.89
1I4U,1.15
5V92,1.11
4EET,1.2
1LKK,1
2IZX,1.3
3BHY,1.24
3BWY,1.3
2FVY,0.92
6OFK,1.15
3BMZ,1.21
1PQH,1.29
2CM5,1.28
1KQP,1.03
2V89,1.1
5AUR,1.26
4YMY,1
1H4G,1.1
1J0P,0.91
1MQK,1.28
1Z70,1.15
5XQV,0.97
3ZRX,1.25
4LWU,1.14
4CZ5,1.02
2J8B,1.15
5IQN,1
1P6O,1.14
1BXO,0.95
6QTS,1.11
3ULJ,1.06
5JQN,1.19
6HXM,1.3
1I12,1.3
1M15,1.2
2WBQ,1.1
5BYK,1.28
6SL9,1.27
2CG7,1.2
4CNX,1.23
1KJQ,1.05
5I5B,0.9
5NZO,1.29
1IXH,0.98
4GDA,1
4PLG,1.192
1PM1,1.1
5ACH,1.28
4UNU,0.95
1V0L,0.98
2OFC,1.11
5GGN,1.211
3OZY,1.299
5EMB,0.85
1HDH,1.3
5IYP,1.27
5JSK,0.95
1ET1,0.9
6HOI,1.14
1RWY,1.05
6U66,0.99
3BQP,1.3
3UC7,1.1
5VX5,1.285
6HYO,1.07
4RGD,1.2
2CC6,1.27
5AR6,1.25
3EDH,1.25
3QL9,0.93
2G6F,0.92
1QV1,1.1
3UAW,1.2
5LS7,1.16
4KXV,0.97
6NXY,1.05
5NVJ,1.18
2I8T,1.3
2CIW,1.15
4BJ0,1
1BYI,0.97
3X2M,0.64
3VII,0.97
3WUZ,1.3
5MK9,0.919
1KG2,1.2
5TDA,0.79
5NJ9,1.25
3M1X,1.2
2X7K,1.15
4JER,1.1
6UO3,1.09
1ZVG,1.2
4Z2O,1.17
1H4A,1.15
1EUW,1.05
3M73,1.15
4MTU,0.97
3DNJ,1.15
4WLH,1.28
3LNY,1.3
3F1L,0.95
6RJC,1.05
5KVS,1.28
1GQV,0.98
6O54,1.21
3A1H,1.08
1NXM,1.3
4YKI,1.21
6GDX,1.17
3KZD,1.3
5GI7,1.201
1M9Z,1.05
6G65,1.15
4NCU,1.11
1UWC,1.08
4Q9W,1
2QT7,1.3
4UDX,1.03
5GJH,1.2
4EIR,1.1
4EMN,1.17
2CAL,1.1
3UFF,1.3
2Y7E,1.28
4XEM,1.278
4I3B,1.199
1YFQ,1.1
1USC,1.24
1NNF,1.1
6VCX,1.1
5V3N,1.3
4RI5,1.26
2WSB,1.25
3QSD,1.3
3CIM,1.3
3KAN,1.13
3D3B,1.3
1N62,1.09
4OH0,1.3
1B0Y,0.93
3FIL,0.88
5NE2,1.19
4G9E,1.088
2FMA,0.85
4HY4,1.249
1QW9,1.2
1RA0,1.12
6MAS,1.3
5WSF,1.11
6AFM,1.3
5F6R,1.179
4QYT,1.05
5KB6,1.2
3AYJ,1.1
3MEA,1.26
2CAR,1.09
4O4V,1.23
3HLX,1.3
1OC7,1.11
1TT8,1
5EQ7,1.19
5D8V,0.48
1NZ0,1.2
2FWH,0.99
6FU9,1.2
2QXI,1
1KYF,1.22
4ID0,1.1
3ZN4,1.26
5GJI,0.9
4USA,1.13
5ZRC,1.1
2VZC,1.05
5SUI,1.3
4I71,1.28
2H3L,1
5O0S,1.16
6UMU,1.183
1YS1,1.1
3OGN,1.3
3ESS,1.191
6ITA,1.2
1FK5,1.3
2W8T,1.25
3W06,1.15
1S3C,1.25
4E2B,1.269
1TKJ,1.15
6SYV,1.12
2OSX,1.1
3W42,1.06
1PSR,1.05
5NRH,1.3
3TV3,1.29
3ERX,1.25
2FHZ,1.15
5AKR,0.87
2NRL,0.91
3GYL,1.3
4P82,1.3
1FCY,1.3
5FBF,1.04
4J5R,1.25
2WNP,1.21
5Z95,1.2
4QAS,1.25
1ZMI,1.15
1I8O,1.15
5FYP,1.17
1SN9,1.2
4TTN,1.251
1GKP,1.295
3A7L,1.3
5M1P,1.1
1IFC,1.19
5UD9,1.3
4WES,1.08
6SJ3,1.17
1HYO,1.3
6Q61,1.3
4B5O,1.05
5UMP,1.08
3W5H,0.78
5GTQ,1.13
2ABS,1.1
2XN6,1.29
3NCQ,1.24
3VGI,1.07
5CHU,1.1
1JF8,1.12
2WNV,1.25
1NKI,0.95
5XEC,1.1
5NQ0,1.1
2OFZ,1.17
3HNY,1.07
6H17,1.275
3CI3,1.11
2XFR,0.97
1LF7,1.2
1LQ9,1.3
6GVD,1.22
1XUB,1.3
1M70,1.25
4OB0,1.2
3R9F,1.2
1UWK,1.19
4E3Y,0.95
6O4M,1.27
2IZR,1.3
2RH2,0.96
5TIF,0.97
1LU0,1.03
4I7W,1.3
3CU9,1.06
6SLL,1.2
1OX0,1.3
4INC,1.19
3DHA,0.95
1GKM,1
4TXR,1
3BZY,1.2
4GMU,1.2
1RB9,0.92
3DRF,1.3
5MU9,1.3
6GGP,1.03
1WCW,1.3
1M1Q,0.97
2I1U,1.3
1T3Y,1.15
5WXH,1.297
1GA6,1
2IMQ,1.3
6IIY,1.29
3M5Q,0.93
5Y45,1.03
4PVK,1.3
3N12,1.2
5A6M,1.17
1UG6,0.99
4GVQ,1.3
5OJ5,1.08
2BHU,1.1
2ZEX,1.2
4N6X,1.051
3KKQ,1.2
2FLH,1.2
1WMA,1.24
5IWU,1.3
2VBK,1.25
6K4X,1.17
3ZQX,1.04
5LSV,1.1
5IHW,1.25
5I29,1.21
1UCD,1.3
4RXV,1.099
2WW6,0.98
1ES9,1.3
3S0A,1.15
6DCM,1.031
5AN5,1.2
1JCD,1.3
4WQD,1.22
2YLN,1.12
1C5E,1.1
4BFO,1.175
4Z1R,1.27
3BNJ,1.3
4XE2,1.199
2V7F,1.15
2JAE,1.25
5F8S,1.08
3G21,0.9
3GWK,1.3
1M2D,1.05
6STL,1.3
6IGG,1
5ZRQ,1.12
1O8X,1.3
6B26,1.2
1YG9,1.3
4R75,1.278
2PTH,1.2
3KWD,1.1
3WMV,1.05
1W6S,1.2
4PZ3,1.083
5UEJ,1.3
4LYP,1.28
1YMT,1.2
5BR4,0.91
1QTW,1.02
5IK4,1.27
2GOM,1.25
4UUL,1.28
3E5T,1.1
2V8T,0.98
5G5C,1.18
3BEU,1.05
4TPN,1.18
4KEF,1.098
1B9O,1.15
1C1D,1.25
1ZZK,0.95
2P86,1.16
4XME,1.29
2PVX,1.04
4HRR,1.25
1D4T,1.1
1NQJ,1
2GEC,1.3
6FIY,1.09
3VVI,1.25
1Z41,1.3
1TZB,1.16
3R0N,1.3
2V8F,1.1
3I33,1.3
4K4O,1.3
3ESU,1.3
2X1P,1.1
2GSO,1.3
3R2V,1.3
1QFT,1.25
4A9V,1.1
5SZC,1.193
3S2J,1.297
1C52,1.28
2VXN,0.82
1EXR,1
1ZL0,1.1
1GNL,1.25
5ITW,1.19
1X6Z,0.78
3X00,1.3
6HPH,1.13
5AOT,1.02
5DVI,1.25
2EKP,1.15
4L57,1.08
2PGN,1.2
1C7K,1
4NAZ,1.15
4UU3,1.15
4FN7,1.25
1H12,1.2
3W19,1.278
6U14,1.3
2EHP,1.3
5NGG,1.18
4Z0G,1.25
2A6Z,1
4A02,0.95
2CE0,1.24
4EP4,1.28
5A67,1.3
2O0B,1.15
6TRG,1
2YEO,1.08
2J82,1.28
4NDS,0.997
3AGN,0.96
2ZPT,1.15
1J98,1.2
6HIP,1.2
4D1T,1.25
6SSD,1.18
4WX4,1.03
5OLR,1.07
2VPA,1.2
4IPM,1.14
4AWT,0.98
4AQO,0.99
4ZBD,1.12
4CXP,1.22
4F0W,1.24
2O23,1.2
4W7W,1.05
4D8B,1.058
5IGI,1.2
2SN3,1.2
5E9P,1.2
1UNQ,0.98
2EAB,1.12
5D5Y,1.03
1TG0,0.97
6CBU,1.2
3A07,1.19
3AMR,1.25
4B5N,1.1
4WBJ,1.3
6QJU,1.202
5NMN,0.95
4UAS,1.2
2PNE,0.98
1ZLB,0.97
2BF6,0.97
3ZFP,1.25
6BG3,1.05
1HDO,1.15
5OFS,1.1
6DTV,1.12
3E4G,0.96
1AHO,0.96
4QYO,1.208
3MU7,1.29
2H8E,1.2
4S28,1.25
1WMD,1.3
3TM8,1.28
1WVF,1.3
2HY6,1.25
6G6E,1.26
5HJ9,1.28
5NYK,1.05
6MYW,1.157
4RJZ,1.17
4FRU,1.1
5L77,1.24
4EKF,0.98
4LTT,1.28
3QJA,1.29
1YK4,0.69
5H5Q,1.1
1OK0,0.93
2ECU,1.3
2C1V,1.2
2GB4,1.25
5D7W,1.1
3M6W,1.3
1QAU,1.25
2COV,1.25
1GNT,1.25
5V2O,1.2
2E4T,0.96
6M80,1.1
2VZP,1.05
3RWN,1
3OND,1.17
2GKG,1
2PVB,0.91
6GKE,1.08
5FSV,1.2
4AYO,0.85
4ASL,1.24
5V6J,1.18
3UR8,1.26
4AM1,1.25
6NE2,1.299
1V8H,1.2
4IZX,1.1
1F9V,1.3
4BPZ,1.13
3AQJ,1.27
3PXL,1.2
4ZVF,1.15
4WEE,0.891
3AYX,1.18
5XBU,1
4BGC,1.2
2FCJ,1.3
6LAC,1.3
2CWS,1
6E1F,1.16
5K87,1.219
5EW0,1.3
2NWF,1.1
6H40,1.053
5EHM,1.281
6ER4,1.3
3MF6,1.28
5AUL,1.1
5E1Y,1.011
3OBL,1.2
1AMM,1.2
2XOD,0.96
6NKJ,1.3
6KP5,1.1
1IQZ,0.92
1VR7,1.2
2BMO,1.2
3T2C,1.3
3PPL,1.25
1K7C,1.12
3RQ9,1
3AZD,0.98
3SK2,1.01
6GNA,1.295
2CNQ,1
5FAF,1.05
3A0M,1.02
1W7C,1.23
5YKZ,1.17
5TOG,1.08
4HQZ,1.22
6HEQ,1.23
4NNO,1.174
5I7I,1.3
6G7N,1.1
5Y9Z,1.09
3IPC,1.3
3IPN,1.21
1RWH,1.25
6MYE,1.1
4BAT,1.3
4MNK,1.29
5ZW7,1.3
1XG0,0.97
5VG0,1.1
4BT7,1.1
4AAN,1.22
5OFK,1.16
1O8B,1.25
6ENS,1.3
6FTF,1.092
3W9V,1.031
5M4Z,1.179
4ZJU,1.2
2AIB,1.1
6BIO,1.2
3CIJ,1.07
5OXZ,1.2
6F8B,1.3
2ZPM,0.98
3QVP,1.2
3WH7,1.1
4MZC,0.949
4CD5,1.1
5EYN,1.289
2WLV,1.25
5DZE,0.97
5OK4,1.29
4DQJ,1.23
2J8W,1.29
2V3G,1.2
3NBC,1.01
4ZY9,1.2
1N3L,1.18
3H5J,1.2
3ODV,0.95
4KNK,1.124
3QHB,1.2
5Z3F,1.1
1OLR,1.2
5HUB,1.06
6PVJ,1.25
4FZP,1.29
5NQO,1.15
2BOG,1.04
1H4X,1.16
4EUZ,1.08
1KQ6,1.18
5JRY,1.2
4LF0,1.1
2O9S,0.83
3S4E,1.26
4MJE,1.2
3VL9,1.2
6AID,1.3
6FRE,1.22
4F1V,0.88
3LHS,1.3
4EA9,0.9
5L0N,1.285
5BY5,1.2
5H9N,1.28
6NP3,1.15
6MSQ,1.28
1C75,0.97
3PFZ,1.099
3R6D,1.25
4HI8,1.203
4BM1,1.098
4NYH,1.2
3E7R,1
2ZXY,1.15
6N3D,1.13
4Z39,1.3
2BWF,1.15
4A4J,1.25
1K4I,0.98
2Q44,1.15
4Q7U,1.3
2P5K,1
6JSA,1.3
6JB9,1.15
1TBF,1.3
3U0F,1.25
1GU2,1.19
2CCV,1.3
2VFR,1.1
2W15,1.05
2RBK,1
2QCP,1
3AJ4,1
1Y6X,1.25
4EIC,0.84
5X5M,1.211
4ZZ5,1.29
5L4L,1.2
1KA1,1.3
2HBA,1.25
5Y1F,1.25
2V9B,1.05
2W39,1.1
6GUX,1.3
1DS1,1.08
2R31,1
5HB6,1.3
1X6I,1.2
4UHC,1.03
6AT0,1.285
3K6Y,1.3
4YYU,1.177
3OIG,1.25
4H7W,1.1
3ORU,1.11
1OI7,1.23
5ONK,1.03
1V6P,0.87
6HBB,1.2
1WMS,1.25
3IKW,1.3
1Y0M,1.2
3PB6,1.05
5CFJ,1.25
6NIB,1.2
3AJ7,1.3
2IXT,0.8
3TVJ,1.28
5HB7,0.819
3CBW,1.269
6E6Q,1.2
2PV2,1.3
6NFR,1
5KWM,0.777
3WDC,1.18
3UI4,0.8
2II2,1.1
4CZQ,1.198
5YVK,1.292
1LWB,1.05
2X5Y,1.05
3EOJ,1.3
6ENP,1.042
4M91,1.1
1LQT,1.05
1JG1,1.2
5J1N,1.09
4PJ2,1.24
1VB0,0.92
4JMP,1.3
1R6J,0.73
1O2D,1.3
5C33,1.21
3NE0,1
2D1S,1.3
3A4R,1
3BWZ,1.2
1UOZ,1.1
1SAU,1.12
5OK6,1.3
5FI3,1.05
4BPF,1.01
5BTW,1.2
5F68,1.23
3E8T,1.3
4B9F,1.19
4G3B,1.19
6MOG,1.21
3ZOJ,0.88
2ANV,1.04
3A9B,1.2
1KTH,0.95
4HJB,1.25
6FDG,1.3
4XPX,1.03
3KFF,0.96
2X46,1
3EF4,1.18
2C0R,1.2
6NLQ,1.15
4AFM,1.25
6MWS,1.22
1XOD,1.15
4RLZ,1.19
3WS7,1.18
2OLN,1.15
4X84,1.25
4HRO,1.15
3DXL,1.3
5B4Z,1.3
5O15,1.174
2Z4U,1.1
5NSA,1.273
3SIG,1.28
3E8Y,1.1
4JXR,1.15
6GP3,1.23
3WGX,0.92
6FEA,1.2
2XFD,1.19
4DUQ,1.3
3BFO,1.15
1UCR,1.2
5XCT,1.17
5Z37,1.3
3WWL,1.2
6PYM,1.2
2R6V,1.25
6XY0,1.11
5WQJ,1.2
4ULV,1.29
5IMM,1.2
4CNG,1.1
3OG2,1.2
2W5Q,1.2
2NSZ,1.15
2W1J,1.24
5AIG,1.16
3CT6,1.1
3DUW,1.2
1H1N,1.12
6HAV,1.06
3B9W,1.3
2QVB,1.19
4ZO2,1.09
2JFR,0.83
1FUS,1.3
6H8N,1.26
4OI3,1.3
5M10,1.22
