PDB,RES
4WWF,1.1
2GUD,0.94
3I94,1.04
4XDX,0.95
5QHU,1.05
5LUN,1.08
5GGB,1.1
1SBY,1.1
5IMA,1.04
3C6X,1.05
5B8D,1.05
6RRV,1.1
3JU4,0.98
4R2X,0.93
1UFY,0.96
2HEU,1.04
6EKZ,1.08
1L3K,1.1
4UE8,1.1
2IGD,1.1
4WKA,0.95
2XWV,1.05
1G2Y,1
1TJX,1.04
4WZ4,1.05
3AUB,1
4DP9,1
2XJP,0.95
4RV5,1.04
5O0U,0.99
3V1A,0.98
1PQ7,0.8
4YSI,1.02
4QRN,1.07
2NYB,1.1
2B97,0.75
5NLD,0.96
1HJ8,1
4HBT,1.1
6Q6T,0.94
6FGG,1.1
5FG6,1.1
1FSG,1.05
3LO8,1.05
4PF3,1.1
3MVS,1.1
2WRA,1.1
1YQS,1.05
6TVE,1.05
5L87,0.87
3SNF,1.1
1I1W,0.89
1LKK,1
2FVY,0.92
1KQP,1.03
2V89,1.1
4YMY,1
1H4G,1.1
1J0P,0.91
5XQV,0.97
4CZ5,1.02
5IQN,1
1BXO,0.95
3ULJ,1.06
2WBQ,1.1
1KJQ,1.05
5I5B,0.9
1IXH,0.98
4GDA,1
1PM1,1.1
4UNU,0.95
1V0L,0.98
5EMB,0.85
5JSK,0.95
1ET1,0.9
1RWY,1.05
6U66,0.99
3UC7,1.1
6HYO,1.07
3QL9,0.93
2G6F,0.92
1QV1,1.1
4KXV,0.97
6NXY,1.05
4BJ0,1
1BYI,0.97
3X2M,0.64
3VII,0.97
5MK9,0.919
5TDA,0.79
4JER,1.1
6UO3,1.09
1EUW,1.05
4MTU,0.97
3F1L,0.95
6RJC,1.05
1GQV,0.98
3A1H,1.08
1M9Z,1.05
1UWC,1.08
4Q9W,1
4UDX,1.03
4EIR,1.1
2CAL,1.1
1YFQ,1.1
1NNF,1.1
6VCX,1.1
1N62,1.09
1B0Y,0.93
3FIL,0.88
4G9E,1.088
2FMA,0.85
4QYT,1.05
3AYJ,1.1
2CAR,1.09
1TT8,1
5D8V,0.48
2FWH,0.99
2QXI,1
4ID0,1.1
5GJI,0.9
5ZRC,1.1
2VZC,1.05
2H3L,1
1YS1,1.1
2OSX,1.1
3W42,1.06
1PSR,1.05
5AKR,0.87
2NRL,0.91
5FBF,1.04
5M1P,1.1
4WES,1.08
4B5O,1.05
5UMP,1.08
3W5H,0.78
2ABS,1.1
3VGI,1.07
5CHU,1.1
1NKI,0.95
5XEC,1.1
5NQ0,1.1
3HNY,1.07
2XFR,0.97
4E3Y,0.95
2RH2,0.96
5TIF,0.97
1LU0,1.03
3CU9,1.06
3DHA,0.95
1GKM,1
4TXR,1
1RB9,0.92
6GGP,1.03
1M1Q,0.97
1GA6,1
3M5Q,0.93
5Y45,1.03
1UG6,0.99
5OJ5,1.08
2BHU,1.1
4N6X,1.051
3ZQX,1.04
5LSV,1.1
4RXV,1.099
2WW6,0.98
6DCM,1.031
1C5E,1.1
5F8S,1.08
3G21,0.9
1M2D,1.05
6IGG,1
3KWD,1.1
3WMV,1.05
4PZ3,1.083
5BR4,0.91
1QTW,1.02
3E5T,1.1
2V8T,0.98
3BEU,1.05
4KEF,1.098
1ZZK,0.95
2PVX,1.04
1D4T,1.1
1NQJ,1
6FIY,1.09
2V8F,1.1
2X1P,1.1
4A9V,1.1
2VXN,0.82
1EXR,1
1ZL0,1.1
1X6Z,0.78
5AOT,1.02
4L57,1.08
1C7K,1
2A6Z,1
4A02,0.95
6TRG,1
2YEO,1.08
4NDS,0.997
3AGN,0.96
4WX4,1.03
5OLR,1.07
4AWT,0.98
4AQO,0.99
4W7W,1.05
4D8B,1.058
1UNQ,0.98
5D5Y,1.03
1TG0,0.97
4B5N,1.1
5NMN,0.95
2PNE,0.98
1ZLB,0.97
2BF6,0.97
6BG3,1.05
5OFS,1.1
3E4G,0.96
1AHO,0.96
5NYK,1.05
4FRU,1.1
4EKF,0.98
1YK4,0.69
5H5Q,1.1
1OK0,0.93
5D7W,1.1
2E4T,0.96
6M80,1.1
2VZP,1.05
3RWN,1
2GKG,1
2PVB,0.91
6GKE,1.08
4AYO,0.85
4IZX,1.1
4WEE,0.891
5XBU,1
2CWS,1
2NWF,1.1
6H40,1.053
5AUL,1.1
5E1Y,1.011
2XOD,0.96
6KP5,1.1
1IQZ,0.92
3RQ9,1
3AZD,0.98
3SK2,1.01
2CNQ,1
5FAF,1.05
3A0M,1.02
5TOG,1.08
6G7N,1.1
5Y9Z,1.09
6MYE,1.1
1XG0,0.97
5VG0,1.1
4BT7,1.1
6FTF,1.092
3W9V,1.031
2AIB,1.1
3CIJ,1.07
2ZPM,0.98
3WH7,1.1
4MZC,0.949
4CD5,1.1
5DZE,0.97
3NBC,1.01
3ODV,0.95
5Z3F,1.1
5HUB,1.06
2BOG,1.04
4EUZ,1.08
4LF0,1.1
2O9S,0.83
4F1V,0.88
4EA9,0.9
1C75,0.97
3PFZ,1.099
4BM1,1.098
3E7R,1
1K4I,0.98
2P5K,1
2VFR,1.1
2W15,1.05
2RBK,1
2QCP,1
3AJ4,1
4EIC,0.84
2V9B,1.05
2W39,1.1
1DS1,1.08
2R31,1
4UHC,1.03
4H7W,1.1
5ONK,1.03
1V6P,0.87
3PB6,1.05
2IXT,0.8
5HB7,0.819
6NFR,1
5KWM,0.777
3UI4,0.8
2II2,1.1
1LWB,1.05
2X5Y,1.05
6ENP,1.042
4M91,1.1
1LQT,1.05
5J1N,1.09
1VB0,0.92
1R6J,0.73
3NE0,1
3A4R,1
1UOZ,1.1
5FI3,1.05
4BPF,1.01
3ZOJ,0.88
2ANV,1.04
1KTH,0.95
4XPX,1.03
3KFF,0.96
2X46,1
2Z4U,1.1
3E8Y,1.1
3WGX,0.92
4CNG,1.1
3CT6,1.1
6HAV,1.06
4ZO2,1.09
2JFR,0.83
5SVY,1.05
3CUZ,1.04
2XW6,1.08
4URF,1.1
1GWE,0.88
6CNU,1.05
6KBY,1.097
5E7B,1.1
2HIN,1.05
4G9S,0.95
3NYC,1.06
3GMX,1.05
2NXV,1.1
6CDX,1
2A28,1.07
3EA6,0.92
2WQ1,1.08
6EF7,1.03
3JYO,1
5CTM,1
2BV4,1
5NWP,1.05
1UZ3,1.1
3BF7,1.1
5SY4,0.98
4MHP,1.1
5JBX,1.1
2VHA,1
6G1I,0.99
2AXW,1.05
5LHW,0.91
6RYG,0.974
1MN8,1
4NSV,0.9
6RHF,1.07
1QLW,1.09
4Q4G,0.97
1G66,0.9
3JUD,0.98
3WCQ,0.97
6E6O,0.7
5JUG,0.96
3WDN,0.86
1I2T,1.04
4K8M,0.87
6IIP,0.951
1CTJ,1.1
2WFI,0.75
6XY7,1.086
3VOR,0.9
2PND,1
3WGE,0.95
5NFM,0.8
1QXY,1.04
6FIH,1.08
3G5S,1.05
1KWF,0.94
5OTN,0.99
5O99,0.871
2FDN,0.94
4JP6,1
1D5T,1.04
3VLA,0.95
3VZ9,1.03
2Z72,1.1
6PWS,1
6SBN,1.09
2DSX,0.68
6AR0,1.08
5W0G,1.07
2C2U,1.1
1OD3,1
6SYJ,0.81
6JPT,0.96
4CJ0,1.1
3ABN,1.02
3RPE,1.1
3Q8J,0.87
6HSA,0.92
6HG7,1
4ES1,1.1
2QSK,1
3EUN,1.05
4HNO,0.9194
2XOM,0.95
1I27,1.02
4KQP,0.95
5YDE,1.023
4GA2,0.95
1K5C,0.96
4B1M,1.1
4Q68,1.07
3P4H,1.1
2PVE,0.79
3EY6,1.05
2IIM,1
2FBA,1.1
4RQR,1.08
6S07,1.04
3ZUC,1.001
5JIG,1
5QU2,1.04
6FJN,0.97
1XJU,1.07
4QLP,1.1
6JK4,1.06
4YNH,1
6FM7,1.04
4QQS,1.1
6BEV,1.043
4K12,1.079
6Q41,1.03
3QZB,1.1
6QU6,1.03
4M51,1.08
1XQO,1.03
6ELV,1.05
3W4P,1.05
1GMX,1.1
2BF9,0.99
3VRC,1
6Q3P,1.03
3ZY7,1.09
4ATE,1.1
5AQ0,0.95
1WCG,1.1
2CZQ,1.05
1MWQ,0.99
5JQF,0.85
1P9G,0.84
2V1M,1
4AXO,1
4L9D,1.1
3VUP,1.05
3MCW,1.06
3TU8,1.04
4Q2L,1.071
2DDX,0.86
1MC2,0.85
3SOJ,1
6CNW,0.92
1BKR,1.1
4B9G,1.04
3MWS,1.09
3GOE,0.97
2X1Q,1.06
5A8C,0.97
6N9H,1.039
3NZN,1.1
5EM0,1.1
4EIE,1.03
3A72,1.04
6FJ7,1.05
3PSM,0.98
3TC8,1.06
3KBE,1.1
5L2V,1.1
5O2X,0.95
4EGU,0.95
3F7L,0.99
5D66,1
4UYT,1.03
4YPO,1.001
4J8C,1.1
2X4K,1.1
3I2Z,1.1
4ETN,1.1
5U4H,1.05
3WH1,1
4HGU,0.98
2GJ3,1.04
1PMH,1.06
6S5W,1.07
3EO6,0.97
4AVR,1.08
2C71,1.05
4QI8,1.1
3ZR8,0.9
4N1I,1
5IVN,1
3VN3,0.95
2CHH,1
3R87,1.05
6GY5,1.086
1W0N,0.8
4MNC,1.05
1F94,0.97
2HXS,1.1
5JK4,1.1
4MIJ,1.1
3QR7,0.94
4XUW,1.1
4Y9W,0.83
4HE6,1.1
6RK0,0.99
5CTV,1.05
3A02,1
3TQ2,1.1
1VRZ,1.05
4H4N,1.1
4Y9V,0.9
6F9O,1.05
4JED,1.1
4OUS,1.05
5ZX8,1
3NVS,1.021
5AL6,0.8
6SID,1.05
5JDK,0.998
4JZ5,1.1
4ACJ,0.97
5OPF,1.081
5TFQ,1.07
2V9V,1.1
1RW1,1.02
3PUC,0.96
4ANN,1.05
3D1P,0.98
4G78,0.92
2FE5,1.1
1EB6,1
5TNV,1.04
5DP2,0.96
5OD4,1.1
4GNR,1
5J6Y,1.034
5IHS,1.1
2O7A,0.84
4MZD,1.1
2RHF,1.1
1ITX,1.1
4MKN,1.1
5II6,0.95
2HBW,1.05
4WPG,1.1
5MSZ,1.1
2R16,1.04
5B5H,1
1W66,1.08
3R2Q,1.05
3FYM,1
2YHG,1.08
4FK9,1.06
2I4A,1
1OAI,1
6MU0,1.1
5MDU,1.02
6P2L,1.08
4QA8,1.1
5EWO,0.95
3TEU,1.002
2O6N,1.1
6KFN,0.89
6GZ8,1
3LQB,1.1
4YTK,1.09
4MX6,1.1
4L05,1.098
4CO8,1.05
4BY8,0.94
2R0X,1.06
5JH8,1.018
2D5M,1.05
6Q5O,1
4ZGF,1
3ZZP,0.96
1XMK,0.97
1ZUU,0.97
6QAZ,1.02
3BWH,1
4GS3,1.09
3RO3,1.1
4UYR,0.89
1TQG,0.98
1SFS,1.07
3T7L,1.09
6EXX,1.1
1L9L,0.92
4ESP,1.1
5M4V,1.06
4WUI,1.09
2Y78,0.91
4NI6,1.1
4BCT,0.98
2O90,1.07
5IHV,1.1
1VBW,0.93
1ZLM,1.07
3ROF,1.03
4IAU,0.99
4UZG,1.06
6EVG,1.1
1UCS,0.62
4X2R,1.05
4BPS,1.081
6MU9,0.97
1U2H,0.96
6Q5Q,1.08
4I62,1.05
3LWX,1.1
3OV5,1.04
6HR0,1.04
4OY5,0.89
6FVI,1
3H31,1
4MQ3,1.08
5SV5,1
6EIO,0.84
5OHQ,1.098
