PDB,RES,CLASS,COMPLEX,RVALUE,RFREE,OCCUPANCY,BFACTOR,HYDROGENS,STRUCFAC,CHAINS,RESIDUES,NUCLEOTIDES,DATE,COMMENTS
1EN8,0.98,DNA,N,NULL,0.141,N,0,N,Y,A,0,10,20-MAR-00,NA
1EN9,0.98,DNA,N,NULL,0.151,N,0,N,Y,A,0,10,20-MAR-00,NA
1ENE,0.98,DNA,N,NULL,0.148,N,0,N,Y,A,0,10,21-MAR-00,NA
1ENN,0.89,DNA,N,0.140,0.161,N,0,N,Y,AB,0,18,21-MAR-00,NA
1ES9,1.3,HYDROLASE,N,0.192,0.217,Y,86.95,N,Y,NA,212,0,07-APR-00,NA
1ETL,0.89,ENTEROTOXIN,N,0.073,NULL,N,0.27,Y,Y,A,12,0,15-MAR-94,NA
1ETM,0.89,ENTEROTOXIN,N,0.065,NULL,N,0.19,Y,Y,A,12,0,15-MAR-94,NA
1ETN,0.89,ENTEROTOXIN,N,0.088,NULL,N,0.27,Y,Y,A,12,0,15-MAR-94,NA
1EU1,1.3,OXIDOREDUCTASE,N,NULL,0.145,Y,35.32,N,N,A,766,0,13-APR-00,NA
1EUW,1.1,HYDROLASE,N,0.141,0.164,Y,277.36,Y,Y,A,136,0,17-APR-00,NA
1F27,1.3,RNA,N,0.199,0.238,N,0,N,N,NA,0,30,23-MAY-00,NA
1F94,0.97,TOXIN,N,0.123,0.177,Y,75.61,Y,Y,A,63,0,06-JUL-00,NA
1F9V,1.3,CONTRACTILEPROTEIN,N,0.218,0.242,N,57.58,N,Y,A,313,0,11-JUL-00,NA
1FCY,1.3,GENEREGULATION,N,0.134,0.164,Y,106.38,N,Y,A,236,0,19-JUL-00,NA
1FD5,1.1,DNA,N,NULL,0.203,N,0,N,Y,AB,0,12,19-JUL-00,NA
1FK5,1.3,LIPIDTRANSPORT,N,NULL,0.188,N,59.29,N,Y,A,93,0,09-AUG-00,NA
1FQ2,1.2,DNA,N,0.139,0.215,N,0,N,Y,NA,0,24,01-SEP-00,NA
1FUS,1.3,HYDROLASE(ENDORIBONUCLEASE),N,0.187,NULL,N,36.14,N,N,A,105,0,18-JAN-93,NA
1G2B,1.1,METALBINDINGPROTEIN,N,NULL,0.202,Y,81.63,N,Y,A,62,0,18-OCT-00,NA
1G4Q,1.1,DNA-RNAHYBRID,N,NULL,0.186,N,0,N,Y,A,0,20,27-OCT-00,NA
1G66,0.9,HYDROLASE,N,0.107,0.132,Y,92.49,Y,N,A,207,0,03-NOV-00,NA
1G6X,0.86,HYDROLASEINHIBITOR,N,0.107,0.140,Y,43.62,N,Y,A,58,0,08-NOV-00,NA
1G9W,1.3,STRUCTURALPROTEIN,N,NULL,0.194,N,28.93,N,N,A,21,0,28-NOV-00,NA
1GA6,1,HYDROLASE/HYDROLASEINHIBITOR,N,0.115,0.131,Y,71.36,N,Y,A,370,0,29-NOV-00,NA
1GCI,0.78,SERINEPROTEASE,N,0.099,0.103,Y,64.65,Y,N,A,269,0,02-SEP-98,NA
1GHG,0.98,ANTIBIOTIC,N,0.150,0.150,N,16.81,N,N,ABCD,4,0,13-DEC-00,NA
1GK9,1.3,ANTIBIOTICRESISTANCE,N,NULL,0.169,Y,86.3,N,Y,A,765,0,10-AUG-01,NA
1GKM,1,LYASE,N,NULL,0.135,Y,87.19,N,Y,A,506,0,16-AUG-01,NA
1GMX,1.1,TRANSFERASE,N,0.128,0.151,Y,48.56,N,Y,A,107,0,25-SEP-01,NA
1GNT,1.3,OXIDOREDUCTASE,N,0.158,0.173,Y,35.87,N,Y,A,553,0,08-OCT-01,NA
1GO6,0.98,ANTIBIOTIC/PEPTIDE,Y,0.130,0.159,Y,42.71,N,N,ACEGIKMO,12,0,19-OCT-01,NA
1GWE,0.88,OXIDOREDUCTASE,N,0.089,0.096,Y,36.67,N,Y,A,498,0,15-MAR-02,NA
1GWM,1.1,CARBOHYDRATEBINDINGDOMAIN,Y,0.129,0.156,Y,41.98,N,Y,A,153,0,19-MAR-02,NA
1GXT,1.3,PHOSPHATASE,N,0.136,0.168,Y,64.21,N,Y,A,88,0,11-APR-02,NA
1H12,1.2,HYDROLASE,N,0.108,0.130,Y,49.77,N,Y,A,404,0,02-JUL-02,NA
1H4A,1.1,EYELENSPROTEIN,N,0.157,0.182,Y,40.19,N,Y,X,173,0,25-FEB-03,NA
1HDO,1.1,BILIVERDIN-IXBETAREDUCTASE,Y,0.125,0.158,Y,84.58,Y,N,A,205,0,16-NOV-00,NA
1HG7,1.1,ANTIFREEZEPROTEIN,N,0.120,0.169,Y,73.72,N,Y,A,66,0,13-DEC-00,NA
1HH3,1,ANTIBIOTIC,N,0.116,0.148,Y,20.47,N,Y,ABCD,4,0,19-DEC-00,NA
1HHC,1.1,ANTIBIOTIC,N,0.224,0.264,N,9.41,N,Y,ABCD,4,0,22-DEC-00,NA
1HHU,0.89,ANTIBIOTIC,Y,0.084,0.100,N,9.69,Y,Y,ABCD,4,0,28-DEC-00,NA
1HHY,0.89,ANTIBIOTIC,Y,0.122,0.139,N,15.78,N,Y,AB,2,0,29-DEC-00,NA
1HHZ,0.99,ANTIBIOTIC/PEPTIDE,Y,0.108,0.140,N,27.75,N,Y,ABC,6,0,29-DEC-00,NA
1HJ8,1,HYDROLASE,N,0.1186,0.1491,Y,78.38,Y,Y,A,219,0,09-JAN-01,NA
1HJE,0.75,TOXIN,N,NULL,NULL,Y,90.12,Y,N,A,13,0,15-JAN-01,NA
1HQJ,1.2,DENOVOPROTEIN,N,0.170,0.223,Y,56.79,N,N,NA,180,0,18-DEC-00,NA
1I0J,1.1,DNA,N,NULL,0.169,N,0,N,Y,AB,0,18,29-JAN-01,NA
1I0K,1.1,DNA,N,NULL,0.178,N,0,N,Y,AB,0,18,29-JAN-01,NA
1I0M,1.1,DNA,N,NULL,0.170,N,0,N,Y,AB,0,18,29-JAN-01,NA
1I0N,1.3,DNA,N,NULL,0.190,N,0,N,Y,AB,0,18,29-JAN-01,NA
1I0P,1.3,DNA,N,NULL,0.179,N,0,N,Y,AB,0,18,29-JAN-01,NA
1I0Q,1.3,DNA,N,NULL,0.190,N,0,N,N,AB,0,18,29-JAN-01,NA
1I0T,0.6,DNA,N,NULL,0.185,N,0,N,N,AB,0,12,29-JAN-01,NA
1I0V,1.2,HYDROLASE,Y,0.178,0.192,Y,42.36,N,Y,A,104,0,30-JAN-01,NA
1I1W,0.89,HYDROLASE,N,NULL,0.106,Y,33.88,Y,Y,A,302,0,04-FEB-01,NA
1I24,1.2,BIOSYNTHETICPROTEIN,N,0.192,0.198,Y,28.37,N,Y,A,393,0,05-FEB-01,NA
1I27,1,TRANSCRIPTION,N,0.127,0.146,Y,61.98,N,N,A,73,0,07-FEB-01,NA
1I2T,1,LIGASE,N,0.154,0.171,N,57.16,N,Y,A,61,0,12-FEB-01,NA
1I7J,1.2,RNA,N,0.155,NULL,N,0,N,Y,NA,0,0,09-MAR-01,NA
1I8O,1.1,ELECTRONTRANSPORT,Y,0.140,0.162,Y,60.54,N,Y,A,113,0,15-MAR-01,NA
1ICK,0.95,DNA,N,NULL,NULL,N,0,N,Y,AB,0,12,01-APR-01,NA
1IFC,1.2,LIPIDBINDINGPROTEIN,N,0.169,NULL,Y,91.19,N,N,A,131,0,19-DEC-91,NA
1IQZ,0.92,ELECTRONTRANSPORT,N,0.098,0.110,Y,66.86,N,Y,A,81,0,30-AUG-01,NA
1IRO,1.1,ELECTRONTRANSPORT,N,NULL,NULL,Y,71.25,Y,Y,A,53,0,13-DEC-95,NA
1ITT,1,STRUCTURALPROTEIN,N,NULL,0.294,N,18.54,N,N,A,21,0,03-FEB-02,NA
1ITX,1.1,HYDROLASE,N,0.117,0.137,Y,36.89,N,Y,A,419,0,13-FEB-02,NA
1IXH,0.98,PHOSPHATETRANSPORT,Y,0.117,0.141,Y,73.9,Y,N,A,321,0,01-AUG-96,NA
1J0P,0.91,ELECTRONTRANSPORT,N,0.106,0.136,N,46.07,N,N,A,108,0,19-NOV-02,NA
1J8G,0.61,RNA,N,NULL,0.112,N,0,N,N,ABCD,0,24,21-MAY-01,NA
1J98,1.2,SIGNALINGPROTEIN,N,0.127,0.146,Y,95.08,N,N,A,153,0,24-MAY-01,NA
1JBE,1.1,SIGNALINGPROTEIN,N,0.113,0.152,Y,61.93,N,Y,A,126,0,04-JUN-01,NA
1JET,1.2,COMPLEX(PEPTIDETRANSPORT/PEPTIDE),Y,NULL,0.255,Y,75.07,N,N,A,520,0,03-JUL-96,NA
1JF8,1.1,OXIDOREDUCTASE,N,0.208,0.227,N,57.19,N,Y,A,130,0,20-JUN-01,NA
1JFB,1,OXIDOREDUCTASE,N,NULL,0.139,Y,86.78,Y,N,A,399,0,20-JUN-01,NA
1JG1,1.2,TRANSFERASE,N,0.150,0.200,N,86.23,N,Y,A,215,0,22-JUN-01,NA
1JGR,1.2,DNA,N,0.173,0.222,N,0,N,N,AB,0,24,26-JUN-01,NA
1JL1,1.3,HYDROLASE,N,NULL,0.263,N,35.43,N,N,A,152,0,13-JUL-01,NA
1JM1,1.1,ELECTRONTRANSPORTOXIDOREDUCTASE,N,0.106,0.125,Y,114.47,Y,Y,A,202,0,17-JUL-01,NA
1JND,1.3,HORMONE/GROWTHFACTOR,N,NULL,0.202,N,110.24,N,Y,A,400,0,23-JUL-01,NA
1JNI,1.3,OXIDOREDUCTASE,N,0.160,0.214,Y,56.06,N,N,A,64,0,24-JUL-01,NA
1JO8,1.3,STRUCTURALPROTEIN,N,0.145,0.178,Y,26.58,N,Y,A,58,0,27-JUL-01,NA
1K3X,1.3,HYDROLASE/DNA,N,NULL,0.181,Y,75.77,N,N,NA,253,15,04-OCT-01,NA
1K4I,0.98,ISOMERASE,N,NULL,0.196,N,80,N,N,A,216,0,08-OCT-01,NA
1K5C,0.96,HYDROLASE,N,0.114,0.140,Y,73.7,N,Y,A,333,0,10-OCT-01,NA
1K5N,1.1,IMMUNESYSTEM,N,0.123,0.148,Y,45.47,N,Y,A,385,0,11-OCT-01,NA
1K7C,1.1,HYDROLASE,N,0.110,0.134,Y,52.1,N,Y,A,233,0,19-OCT-01,NA
1K8U,1.1,SIGNALINGPROTEIN,N,0.186,0.221,Y,36.48,N,N,A,87,0,25-OCT-01,NA
1KA1,1.3,HYDROLASE,Y,0.134,0.169,Y,62.7,N,Y,A,354,0,31-OCT-01,NA
1KGK,1,DNA,N,0.128,NULL,N,0,N,Y,AB,0,18,27-NOV-01,NA
1KMV,1.1,OXIDOREDUCTASE,Y,NULL,0.181,Y,78.27,N,Y,A,186,0,17-DEC-01,NA
1KNG,1.1,OXIDOREDUCTASE,N,NULL,0.151,Y,95.46,N,Y,A,144,0,18-DEC-01,NA
1KQ6,1.2,PROTEINBINDING,N,0.132,0.186,Y,111.59,N,Y,A,136,0,04-JAN-02,NA
1KT6,1.1,TRANSPORTPROTEIN,N,0.262,0.286,N,85,N,N,A,175,0,15-JAN-02,NA
1KTH,0.95,STRUCTURALPROTEIN,N,0.139,0.167,Y,57.94,N,Y,A,58,0,16-JAN-02,NA
1KWF,0.94,HYDROLASE,N,NULL,0.113,Y,103.24,N,N,A,363,0,29-JAN-02,NA
1KYF,1.2,ENDOCYTOSIS/EXOCYTOSIS,Y,0.154,0.211,N,109.77,Y,Y,A,252,0,04-FEB-02,NA
1L2X,1.3,RNA,N,NULL,0.207,N,0,N,Y,A,0,27,25-FEB-02,NA
1L3K,1.1,RNABINDINGPROTEIN,N,0.156,0.194,Y,133.21,N,Y,A,163,0,27-FEB-02,NA
1L9L,0.92,ANTIMICROBIALPROTEIN,N,0.138,0.190,Y,66.83,Y,Y,A,74,0,25-MAR-02,NA
1LB3,1.2,METALBINDINGPROTEIN,N,0.134,0.160,Y,55.28,N,N,A,167,0,02-APR-02,NA
1LC0,1.2,OXIDOREDUCTASE,N,0.222,0.229,N,50.84,N,Y,A,290,0,04-APR-02,NA
1LF7,1.2,IMMUNESYSTEM,N,0.223,0.229,N,40.92,N,N,A,164,0,10-APR-02,NA
1LKK,1,COMPLEX(TYROSINEKINASE/PEPTIDE),Y,NULL,NULL,Y,52.77,Y,N,A,108,0,10-NOV-95,NA
1LS1,1.1,PROTEINTRANSPORT,N,0.137,0.169,Y,69.31,Y,Y,A,289,0,16-MAY-02,NA
1LS9,1.3,ELECTRONTRANSPORT,N,0.149,0.190,Y,32.03,N,Y,A,91,0,17-MAY-02,NA
1LU4,1.1,OXIDOREDUCTASE,N,0.153,0.216,Y,71.19,N,Y,A,134,0,21-MAY-02,NA
1LWB,1.1,HYDROLASE,N,0.103,0.137,Y,85.39,Y,N,A,122,0,31-MAY-02,NA
1LZL,1.3,HYDROLASE,N,NULL,0.213,Y,133.16,N,Y,A,317,0,10-JUN-02,NA
1M15,1.2,TRANSFERASE,N,0.123,0.140,Y,86.86,N,Y,A,356,0,17-JUN-02,NA
1M1Q,0.97,ELECTRONTRANSPORT,N,0.135,0.151,Y,36.15,N,Y,A,90,0,20-JUN-02,NA
1M24,0.9,ANTIBIOTIC,N,0.076,0.092,N,23.65,Y,Y,AB,16,0,21-JUN-02,NA
1M40,0.85,HYDROLASE,N,NULL,0.112,Y,54.33,Y,Y,A,263,0,01-JUL-02,NA
1M4L,1.3,HYDROLASE,N,0.104,0.145,Y,95.4,N,Y,A,307,0,03-JUL-02,NA
1M69,1.1,DNA,N,0.159,0.210,N,0,N,Y,A,0,6,15-JUL-02,NA
1M77,1.3,DNA,N,0.163,0.185,N,0,N,Y,A,0,10,18-JUL-02,NA
1M9Z,1.1,HORMONE/GROWTHFACTOR,N,0.156,0.166,Y,47.03,N,N,A,105,0,30-JUL-02,NA
1MA8,1.3,DNA,N,NULL,0.173,N,0,N,N,AB,0,18,01-AUG-02,NA
1MC2,0.85,TOXIN,N,0.104,0.121,Y,56.72,N,Y,A,122,0,05-AUG-02,NA
1MEX,1.3,IMMUNESYSTEM,N,NULL,0.213,Y,73.24,N,Y,L,420,0,08-AUG-02,NA
1MF5,1.1,DNA,N,0.216,0.224,N,0,N,Y,AB,0,14,09-AUG-02,NA
1MF7,1.3,CELLADHESION,N,NULL,0.223,Y,69.6,N,Y,A,194,0,09-AUG-02,NA
1MJ4,1.2,OXIDOREDUCTASE,N,0.119,0.139,Y,57.71,N,N,A,80,0,26-AUG-02,NA
1MJ5,0.95,HYDROLASE,N,0.112,0.141,Y,98.5,Y,Y,A,298,0,27-AUG-02,NA
1MJN,1.3,IMMUNESYSTEM,N,NULL,0.202,Y,102.22,N,N,A,179,0,28-AUG-02,NA
1MJU,1.2,IMMUNESYSTEM,N,0.124,0.154,Y,71.94,N,Y,L,421,0,28-AUG-02,NA
1MLX,1.3,DNA,N,0.141,NULL,N,0,N,Y,AB,0,18,31-AUG-02,NA
1MQK,1.3,IMMUNESYSTEM,N,0.136,0.196,Y,56.13,N,Y,L,232,0,16-SEP-02,NA
1MUN,1.2,DNAREPAIR,N,NULL,0.169,Y,136.64,N,N,A,225,0,26-AUG-98,NA
1MUW,0.86,ISOMERASE,N,0.126,0.143,Y,87.59,Y,Y,A,386,0,24-SEP-02,NA
1N1O,1.2,DNA,N,0.160,0.200,N,0,N,Y,AB,0,22,18-OCT-02,NA
1N3L,1.2,LIGASE,N,0.180,0.223,Y,102.61,N,Y,A,332,0,28-OCT-02,NA
1N40,1.1,OXIDOREDUCTASE,N,0.134,0.153,Y,33.86,N,Y,A,395,0,30-OCT-02,NA
1N7A,1.2,DNARNA,N,0.125,0.156,N,0,N,N,ABCDEFGH,0,40,13-NOV-02,NA
1N9B,0.9,HYDROLASE,N,0.125,0.150,Y,43.93,N,Y,A,265,0,22-NOV-02,NA
1NCW,1.3,IMMUNESYSTEM,Y,NULL,0.208,Y,96.97,N,Y,L,430,0,05-DEC-02,NA
1NKD,1.1,TRANSCRIPTIONREGULATION,N,0.101,0.134,Y,157.91,Y,Y,A,59,0,23-SEP-97,NA
1NNF,1.1,METALBINDINGPROTEIN,N,0.159,0.180,Y,24.2,N,Y,A,308,0,13-JAN-03,NA
1NOT,1.2,CONOTOXIN,N,0.178,0.222,N,40.81,N,N,A,13,0,02-MAY-96,NA
1NPI,1.2,TOXIN,N,0.103,0.159,Y,76.53,N,Y,A,61,0,17-JAN-03,NA
1NUY,1.3,HYDROLASE,Y,0.158,0.206,Y,107.04,N,Y,A,328,0,01-FEB-03,NA
1NWZ,0.82,SIGNALINGPROTEIN,N,0.123,0.144,Y,87.93,N,Y,A,125,0,07-FEB-03,NA
1O0K,1.2,DNA,Y,0.163,0.206,N,0,N,Y,ABCD,0,24,22-FEB-03,NA
1O55,1,DNA,N,0.144,NULL,N,0,N,Y,AB,0,2,20-AUG-03,NA
1O56,0.9,DNA,N,0.109,NULL,N,0,N,N,AB,0,2,20-AUG-03,NA
1O8X,1.3,ELECTRONTRANSPORT,N,0.177,0.209,N,43.33,N,Y,A,144,0,09-DEC-02,NA
1OAA,1.3,OXIDOREDUCTASE,Y,0.200,0.222,Y,89.25,N,N,A,259,0,25-AUG-97,NA
1OAI,1,NUCLEARTRANSPORT,Y,NULL,0.159,N,40.35,N,Y,A,68,0,14-JAN-03,NA
1OB4,0.95,ANTIBIOTIC,N,0.087,0.112,Y,19.15,N,Y,A,5,0,24-JAN-03,NA
1OB6,0.89,ANTIBIOTIC,N,0.075,0.079,Y,7.34,N,Y,AB,10,0,24-JAN-03,NA
1OB7,0.89,ANTIBIOTIC,N,0.072,0.077,N,16.75,N,Y,A,5,0,24-JAN-03,NA
1OC7,1.1,HYDROLASE,N,0.106,0.124,Y,37.61,N,Y,A,364,0,06-FEB-03,NA
1OD3,1,HYDROLASE,N,0.132,0.149,Y,32.26,N,Y,A,132,0,12-FEB-03,NA
1ODM,1.1,OXIDOREDUCTASE,N,0.143,0.152,Y,27.74,N,Y,A,329,0,19-FEB-03,NA
1OE1,1,REDUCTASE,N,0.118,0.142,Y,59.59,N,N,A,335,0,18-MAR-03,NA
1OEW,0.9,HYDROLASE,N,NULL,0.147,Y,53.98,N,Y,A,328,0,31-MAR-03,NA
1OI7,1.2,SYNTHETASE,N,0.178,0.196,Y,41.58,N,Y,A,270,0,10-JUN-03,NA
1OK0,0.93,INHIBITOR,N,0.103,0.130,Y,27.73,N,Y,A,74,0,16-JUL-03,NA
1OLR,1.2,HYDROLASE,N,0.135,0.151,Y,40,Y,Y,A,223,0,11-AUG-03,NA
1OMK,1.3,DNA,N,0.167,NULL,N,0,N,Y,AB,0,10,25-FEB-03,NA
1OX0,1.3,TRANSFERASE,N,0.138,0.160,Y,41.96,N,Y,A,414,0,31-MAR-03,NA
1P79,1.1,RNA,N,0.127,0.136,N,0,N,Y,A,0,5,30-APR-03,NA
1P9G,0.84,ANTIFUNGALPROTEIN,N,0.068,0.079,Y,37.97,Y,Y,A,40,0,12-MAY-03,NA
1P9I,1.2,UNKNOWNFUNCTION,N,0.179,0.217,Y,45.46,N,Y,A,29,0,12-MAY-03,NA
1PEN,1.1,NEUROTOXIN,N,0.127,0.152,N,30.2,N,N,A,16,0,29-JAN-96,NA
1PFE,1.1,DNA/ANTIBIOTIC,Y,0.146,0.168,N,11.69,N,Y,A,2,8,26-MAY-03,NA
1PJG,1.1,DNA-RNAHYBRID,N,NULL,0.163,N,0,N,Y,A,0,20,02-JUN-03,NA
1PJO,1.1,DNA-RNAHYBRID,N,0.117,0.156,N,0,N,Y,A,0,20,03-JUN-03,NA
1PJX,0.85,HYDROLASE,N,0.111,0.128,Y,73.48,N,Y,A,314,0,04-JUN-03,NA
1PM1,1.1,BLOODCLOTTINGINHIBITOR,N,0.155,0.177,Y,38.39,N,Y,X,180,0,09-JUN-03,NA
1PMH,1.1,HYDROLASE,N,0.143,0.173,Y,54.05,N,Y,X,181,0,11-JUN-03,NA
1PQ7,0.8,HYDROLASE,N,0.109,NULL,Y,73.07,Y,Y,A,224,0,18-JUN-03,NA
1PWA,1.3,HORMONE/GROWTHFACTOR,N,0.181,0.195,Y,33.65,N,Y,A,123,0,01-JUL-03,NA
1PWF,1.2,DNA,N,NULL,0.188,N,0,N,Y,AB,0,16,01-JUL-03,NA
1PYZ,1.3,METALBINDINGPROTEIN,N,NULL,0.188,N,49.05,Y,Y,AB,18,0,09-JUL-03,NA
1Q35,1.2,METALBINDINGPROTEIN,N,0.172,0.195,Y,31.77,N,Y,A,317,0,28-JUL-03,NA
1Q9A,1,RNA,N,0.148,0.177,N,0,N,Y,A,0,27,22-AUG-03,NA
1QAU,1.3,OXIDOREDUCTASE,N,0.239,0.255,N,27,N,N,A,112,0,29-MAR-99,NA
