PDB,RES,CLASS,COMPLEX,RVALUE,RFREE,OCCUPANCY,STRUCFAC,CHAINS,RESIDUES,DATE,COMMENTS
1CY5,1.3,APOPTOSIS,N,NULL,0.199,T,N,A,93,31-AUG-99,NA
1D11,1.2,DNA,N,0.175,NULL,F,N,A,6,20-OCT-89,NA
1D35,1.3,DNA,N,0.174,NULL,F,N,A,5,23-APR-91,NA
1D39,1.2,DNA,N,0.198,NULL,F,Y,AB,12,07-MAY-91,NA
1D40,1.3,DNA,N,0.209,NULL,F,Y,AB,8,07-MAY-91,NA
1D41,1.3,DNA,N,0.208,NULL,F,Y,AB,8,07-MAY-91,NA
1D48,1,DNA,N,0.185,NULL,F,N,AB,12,11-SEP-91,NA
1D4O,1.2,OXIDOREDUCTASE,N,0.167,0.223,T,Y,A,177,04-OCT-99,NA
1D4T,1.1,SIGNALINGPROTEIN,Y,0.127,0.165,T,Y,A,115,06-OCT-99,NA
1D5T,1,HYDROLASEINHIBITOR,N,NULL,0.208,T,Y,A,433,11-OCT-99,NA
1D61,1.3,DNA,N,0.152,NULL,F,Y,A,10,26-FEB-92,NA
1D76,1.3,DNA,N,0.138,NULL,F,Y,AB,10,19-MAY-92,NA
1D8G,0.74,DNA,N,0.105,0.131,T,Y,A,10,23-OCT-99,NA
1D8X,1.2,DNA,N,0.188,0.246,F,Y,AB,20,26-OCT-99,NA
1DC0,1.3,DNA,N,0.172,0.190,F,Y,AB,24,03-NOV-99,NA
1DCG,1,DNA,N,0.175,NULL,F,N,AB,12,29-AUG-88,NA
1DCS,1.3,OXIDOREDUCTASE,N,NULL,0.150,T,Y,A,279,05-JUN-98,NA
1DG6,1.3,APOPTOSIS,N,NULL,0.197,T,Y,A,149,23-NOV-99,NA
1DJ6,1,DNA,Y,0.169,0.169,F,Y,AB,12,01-DEC-99,NA
1DPL,0.83,DNA,N,0.117,0.121,T,Y,AB,18,27-DEC-99,NA
1DPN,0.95,DNA,N,0.160,0.159,T,Y,NA,22,27-DEC-99,NA
1DS1,1.1,OXIDOREDUCTASELYASE,Y,NULL,0.166,F,N,A,323,06-JAN-00,NA
1E29,1.2,ELECTRONTRANSPORT,N,0.153,0.212,T,Y,A,135,19-MAY-00,NA
1E4M,1.2,HYDROLASE,N,NULL,0.142,T,Y,M,499,10-JUL-00,NA
1E58,1.3,ISOMERASE,N,0.121,0.168,T,Y,A,246,19-JUL-00,NA
1E9W,1,ANTIBIOTIC,N,0.112,0.142,F,Y,A,6,27-OCT-00,NA
1EB6,1,HYDROLASE,N,NULL,0.126,T,Y,A,177,19-JUL-01,NA
1EM0,0.9,DNA,Y,0.151,0.172,T,Y,ABCD,20,14-MAR-00,NA
1EN3,0.98,DNA,N,NULL,0.159,T,Y,A,10,20-MAR-00,NA
1EN8,0.98,DNA,N,NULL,0.141,T,Y,A,10,20-MAR-00,NA
1EN9,0.98,DNA,N,NULL,0.151,T,Y,A,10,20-MAR-00,NA
1ENE,0.98,DNA,N,NULL,0.148,T,Y,A,10,21-MAR-00,NA
1ENN,0.89,DNA,N,0.140,0.161,T,Y,AB,18,21-MAR-00,NA
1ES9,1.3,HYDROLASE,N,0.192,0.217,T,Y,NA,212,07-APR-00,NA
1ETL,0.89,ENTEROTOXIN,N,0.073,NULL,F,Y,A,12,15-MAR-94,NA
1ETM,0.89,ENTEROTOXIN,N,0.065,NULL,F,Y,A,12,15-MAR-94,NA
1ETN,0.89,ENTEROTOXIN,N,0.088,NULL,F,Y,A,12,15-MAR-94,NA
1EU1,1.3,OXIDOREDUCTASE,N,NULL,0.145,T,N,A,766,13-APR-00,NA
1EUW,1.1,HYDROLASE,N,0.141,0.164,T,Y,A,136,17-APR-00,NA
1F27,1.3,RNA,N,0.199,0.238,F,N,NA,30,23-MAY-00,NA
1F94,0.97,TOXIN,N,0.123,0.177,T,Y,A,63,06-JUL-00,NA
1F9V,1.3,CONTRACTILEPROTEIN,N,0.218,0.242,F,Y,A,313,11-JUL-00,NA
1FCY,1.3,GENEREGULATION,N,0.134,0.164,T,Y,A,236,19-JUL-00,NA
1FD5,1.1,DNA,N,NULL,0.203,F,Y,AB,12,19-JUL-00,NA
1FK5,1.3,LIPIDTRANSPORT,N,NULL,0.188,F,Y,A,93,09-AUG-00,NA
1FQ2,1.2,DNA,N,0.139,0.215,F,Y,NA,24,01-SEP-00,NA
1FUS,1.3,HYDROLASE(ENDORIBONUCLEASE),N,0.187,NULL,F,N,A,105,18-JAN-93,NA
1G2B,1.1,METALBINDINGPROTEIN,N,NULL,0.202,T,Y,A,62,18-OCT-00,NA
1G4Q,1.1,DNA-RNAHYBRID,N,NULL,0.186,F,Y,A,20,27-OCT-00,NA
1G66,0.9,HYDROLASE,N,0.107,0.132,T,N,A,207,03-NOV-00,NA
1G6X,0.86,HYDROLASEINHIBITOR,N,0.107,0.140,T,Y,A,58,08-NOV-00,NA
1G9W,1.3,STRUCTURALPROTEIN,N,NULL,0.194,F,N,A,21,28-NOV-00,NA
1GA6,1,HYDROLASE/HYDROLASEINHIBITOR,N,0.115,0.131,T,Y,A,370,29-NOV-00,NA
1GCI,0.78,SERINEPROTEASE,N,0.099,0.103,T,N,A,269,02-SEP-98,NA
1GHG,0.98,ANTIBIOTIC,N,0.150,0.150,F,N,ABCD,4,13-DEC-00,NA
1GK9,1.3,ANTIBIOTICRESISTANCE,N,NULL,0.169,T,Y,A,765,10-AUG-01,NA
1GKM,1,LYASE,N,NULL,0.135,T,Y,A,506,16-AUG-01,NA
1GMX,1.1,TRANSFERASE,N,0.128,0.151,T,Y,A,107,25-SEP-01,NA
1GNT,1.3,OXIDOREDUCTASE,N,0.158,0.173,T,Y,A,553,08-OCT-01,NA
1GO6,0.98,ANTIBIOTIC/PEPTIDE,Y,0.130,0.159,T,N,ACEGIKMO,12,19-OCT-01,NA
1GWE,0.88,OXIDOREDUCTASE,N,0.089,0.096,T,Y,A,498,15-MAR-02,NA
1GWM,1.1,CARBOHYDRATEBINDINGDOMAIN,Y,0.129,0.156,T,Y,A,153,19-MAR-02,NA
1GXT,1.3,PHOSPHATASE,N,0.136,0.168,T,Y,A,88,11-APR-02,NA
1H12,1.2,HYDROLASE,N,0.108,0.130,T,Y,A,404,02-JUL-02,NA
1H4A,1.1,EYELENSPROTEIN,N,0.157,0.182,T,Y,X,173,25-FEB-03,NA
1HDO,1.1,BILIVERDIN-IXBETAREDUCTASE,Y,0.125,0.158,T,N,A,205,16-NOV-00,NA
1HG7,1.1,ANTIFREEZEPROTEIN,N,0.120,0.169,T,Y,A,66,13-DEC-00,NA
1HH3,1,ANTIBIOTIC,N,0.116,0.148,T,Y,ABCD,4,19-DEC-00,NA
1HHC,1.1,ANTIBIOTIC,N,0.224,0.264,F,Y,ABCD,4,22-DEC-00,NA
1HHU,0.89,ANTIBIOTIC,Y,0.084,0.100,F,Y,ABCD,4,28-DEC-00,NA
1HHY,0.89,ANTIBIOTIC,Y,0.122,0.139,F,Y,AB,2,29-DEC-00,NA
1HHZ,0.99,ANTIBIOTIC/PEPTIDE,Y,0.108,0.140,F,Y,ABC,6,29-DEC-00,NA
1HJ8,1,HYDROLASE,N,0.1186,0.1491,T,Y,A,219,09-JAN-01,NA
1HJE,0.75,TOXIN,N,NULL,NULL,T,N,A,13,15-JAN-01,NA
1HQJ,1.2,DENOVOPROTEIN,N,0.170,0.223,T,N,NA,180,18-DEC-00,NA
1I0J,1.1,DNA,N,NULL,0.169,F,Y,AB,18,29-JAN-01,NA
1I0K,1.1,DNA,N,NULL,0.178,F,Y,AB,18,29-JAN-01,NA
1I0M,1.1,DNA,N,NULL,0.170,F,Y,AB,18,29-JAN-01,NA
1I0N,1.3,DNA,N,NULL,0.190,F,Y,AB,18,29-JAN-01,NA
1I0P,1.3,DNA,N,NULL,0.179,F,Y,AB,18,29-JAN-01,NA
1I0Q,1.3,DNA,N,NULL,0.190,F,N,AB,18,29-JAN-01,NA
1I0T,0.6,DNA,N,NULL,0.185,F,N,AB,12,29-JAN-01,NA
1I0V,1.2,HYDROLASE,Y,0.178,0.192,T,Y,A,104,30-JAN-01,NA
1I1W,0.89,HYDROLASE,N,NULL,0.106,T,Y,A,302,04-FEB-01,NA
1I24,1.2,BIOSYNTHETICPROTEIN,N,0.192,0.198,T,Y,A,393,05-FEB-01,NA
1I27,1,TRANSCRIPTION,N,0.127,0.146,T,N,A,73,07-FEB-01,NA
1I2T,1,LIGASE,N,0.154,0.171,F,Y,A,61,12-FEB-01,NA
1I7J,1.2,RNA,N,0.155,NULL,F,Y,NA,0,09-MAR-01,NA
1I8O,1.1,ELECTRONTRANSPORT,Y,0.140,0.162,T,Y,A,113,15-MAR-01,NA
1ICK,0.95,DNA,N,NULL,NULL,F,Y,AB,12,01-APR-01,NA
1IFC,1.2,LIPIDBINDINGPROTEIN,N,0.169,NULL,T,N,A,131,19-DEC-91,NA
1IQZ,0.92,ELECTRONTRANSPORT,N,0.098,0.110,T,Y,A,81,30-AUG-01,NA
1IRO,1.1,ELECTRONTRANSPORT,N,NULL,NULL,T,Y,A,53,13-DEC-95,NA
1ITT,1,STRUCTURALPROTEIN,N,NULL,0.294,F,N,A,21,03-FEB-02,NA
1ITX,1.1,HYDROLASE,N,0.117,0.137,T,Y,A,419,13-FEB-02,NA
1IXH,0.98,PHOSPHATETRANSPORT,Y,0.117,0.141,T,N,A,321,01-AUG-96,NA
1J0P,0.91,ELECTRONTRANSPORT,N,0.106,0.136,F,N,A,108,19-NOV-02,NA
1J8G,0.61,RNA,N,NULL,0.112,T,N,ABCD,24,21-MAY-01,NA
1J98,1.2,SIGNALINGPROTEIN,N,0.127,0.146,T,N,A,153,24-MAY-01,NA
1JBE,1.1,SIGNALINGPROTEIN,N,0.113,0.152,T,Y,A,126,04-JUN-01,NA
1JET,1.2,COMPLEX(PEPTIDETRANSPORT/PEPTIDE),Y,NULL,0.255,T,N,A,520,03-JUL-96,NA
1JF8,1.1,OXIDOREDUCTASE,N,0.208,0.227,F,Y,A,130,20-JUN-01,NA
1JFB,1,OXIDOREDUCTASE,N,NULL,0.139,T,N,A,399,20-JUN-01,NA
1JG1,1.2,TRANSFERASE,N,0.150,0.200,F,Y,A,215,22-JUN-01,NA
1JGR,1.2,DNA,N,0.173,0.222,F,N,AB,24,26-JUN-01,NA
1JL1,1.3,HYDROLASE,N,NULL,0.263,F,N,A,152,13-JUL-01,NA
1JM1,1.1,ELECTRONTRANSPORTOXIDOREDUCTASE,N,0.106,0.125,T,Y,A,202,17-JUL-01,NA
1JND,1.3,HORMONE/GROWTHFACTOR,N,NULL,0.202,F,Y,A,400,23-JUL-01,NA
1JNI,1.3,OXIDOREDUCTASE,N,0.160,0.214,T,N,A,64,24-JUL-01,NA
1JO8,1.3,STRUCTURALPROTEIN,N,0.145,0.178,T,Y,A,58,27-JUL-01,NA
1K3X,1.3,HYDROLASE/DNA,N,NULL,0.181,T,N,NA,268,04-OCT-01,NA
1K4I,0.98,ISOMERASE,N,NULL,0.196,F,N,A,216,08-OCT-01,NA
1K5C,0.96,HYDROLASE,N,0.114,0.140,T,Y,A,333,10-OCT-01,NA
1K5N,1.1,IMMUNESYSTEM,N,0.123,0.148,T,Y,A,385,11-OCT-01,NA
1K7C,1.1,HYDROLASE,N,0.110,0.134,T,Y,A,233,19-OCT-01,NA
1K8U,1.1,SIGNALINGPROTEIN,N,0.186,0.221,T,N,A,87,25-OCT-01,NA
1KA1,1.3,HYDROLASE,Y,0.134,0.169,T,Y,A,354,31-OCT-01,NA
1KGK,1,DNA,N,0.128,NULL,T,Y,AB,18,27-NOV-01,NA
1KMV,1.1,OXIDOREDUCTASE,Y,NULL,0.181,T,Y,A,186,17-DEC-01,NA
1KNG,1.1,OXIDOREDUCTASE,N,NULL,0.151,T,Y,A,144,18-DEC-01,NA
1KQ6,1.2,PROTEINBINDING,N,0.132,0.186,T,Y,A,136,04-JAN-02,NA
1KT6,1.1,TRANSPORTPROTEIN,N,0.262,0.286,F,N,A,175,15-JAN-02,NA
1KTH,0.95,STRUCTURALPROTEIN,N,0.139,0.167,T,Y,A,58,16-JAN-02,NA
1KWF,0.94,HYDROLASE,N,NULL,0.113,T,N,A,363,29-JAN-02,NA
1KYF,1.2,ENDOCYTOSIS/EXOCYTOSIS,Y,0.154,0.211,F,Y,A,252,04-FEB-02,NA
1L2X,1.3,RNA,N,NULL,0.207,T,Y,A,27,25-FEB-02,NA
1L3K,1.1,RNABINDINGPROTEIN,N,0.156,0.194,T,Y,A,163,27-FEB-02,NA
1L9L,0.92,ANTIMICROBIALPROTEIN,N,0.138,0.190,T,Y,A,74,25-MAR-02,NA
1LB3,1.2,METALBINDINGPROTEIN,N,0.134,0.160,T,N,A,167,02-APR-02,NA
1LC0,1.2,OXIDOREDUCTASE,N,0.222,0.229,F,Y,A,290,04-APR-02,NA
1LF7,1.2,IMMUNESYSTEM,N,0.223,0.229,F,N,A,164,10-APR-02,NA
1LKK,1,COMPLEX(TYROSINEKINASE/PEPTIDE),Y,NULL,NULL,T,N,A,108,10-NOV-95,NA
1LS1,1.1,PROTEINTRANSPORT,N,0.137,0.169,T,Y,A,289,16-MAY-02,NA
1LS9,1.3,ELECTRONTRANSPORT,N,0.149,0.190,T,Y,A,91,17-MAY-02,NA
1LU4,1.1,OXIDOREDUCTASE,N,0.153,0.216,T,Y,A,134,21-MAY-02,NA
1LWB,1.1,HYDROLASE,N,0.103,0.137,T,N,A,122,31-MAY-02,NA
1LZL,1.3,HYDROLASE,N,NULL,0.213,T,Y,A,317,10-JUN-02,NA
1M15,1.2,TRANSFERASE,N,0.123,0.140,T,Y,A,356,17-JUN-02,NA
1M1Q,0.97,ELECTRONTRANSPORT,N,0.135,0.151,T,Y,A,90,20-JUN-02,NA
1M24,0.9,ANTIBIOTIC,N,0.076,0.092,F,Y,AB,16,21-JUN-02,NA
1M40,0.85,HYDROLASE,N,NULL,0.112,T,Y,A,263,01-JUL-02,NA
1M4L,1.3,HYDROLASE,N,0.104,0.145,T,Y,A,307,03-JUL-02,NA
1M69,1.1,DNA,N,0.159,0.210,T,Y,A,6,15-JUL-02,NA
1M77,1.3,DNA,N,0.163,0.185,F,Y,A,10,18-JUL-02,NA
1M9Z,1.1,HORMONE/GROWTHFACTOR,N,0.156,0.166,T,N,A,105,30-JUL-02,NA
1MA8,1.3,DNA,N,NULL,0.173,F,N,AB,18,01-AUG-02,NA
1MC2,0.85,TOXIN,N,0.104,0.121,T,Y,A,122,05-AUG-02,NA
1MEX,1.3,IMMUNESYSTEM,N,NULL,0.213,T,Y,L,420,08-AUG-02,NA
1MF5,1.1,DNA,N,0.216,0.224,F,Y,AB,14,09-AUG-02,NA
1MF7,1.3,CELLADHESION,N,NULL,0.223,T,Y,A,194,09-AUG-02,NA
1MJ4,1.2,OXIDOREDUCTASE,N,0.119,0.139,T,N,A,80,26-AUG-02,NA
1MJ5,0.95,HYDROLASE,N,0.112,0.141,T,Y,A,298,27-AUG-02,NA
1MJN,1.3,IMMUNESYSTEM,N,NULL,0.202,T,N,A,179,28-AUG-02,NA
1MJU,1.2,IMMUNESYSTEM,N,0.124,0.154,T,Y,L,421,28-AUG-02,NA
1MLX,1.3,DNA,N,0.141,NULL,F,Y,AB,18,31-AUG-02,NA
1MQK,1.3,IMMUNESYSTEM,N,0.136,0.196,T,Y,L,232,16-SEP-02,NA
1MUN,1.2,DNAREPAIR,N,NULL,0.169,T,N,A,225,26-AUG-98,NA
1MUW,0.86,ISOMERASE,N,0.126,0.143,T,Y,A,386,24-SEP-02,NA
1N1O,1.2,DNA,N,0.160,0.200,F,Y,AB,22,18-OCT-02,NA
1N3L,1.2,LIGASE,N,0.180,0.223,T,Y,A,332,28-OCT-02,NA
1N40,1.1,OXIDOREDUCTASE,N,0.134,0.153,T,Y,A,395,30-OCT-02,NA
1N7A,1.2,DNARNA,N,0.125,0.156,F,N,ABCDEFGH,40,13-NOV-02,NA
1N9B,0.9,HYDROLASE,N,0.125,0.150,T,Y,A,265,22-NOV-02,NA
1NCW,1.3,IMMUNESYSTEM,Y,NULL,0.208,T,Y,L,430,05-DEC-02,NA
1NKD,1.1,TRANSCRIPTIONREGULATION,N,0.101,0.134,T,Y,A,59,23-SEP-97,NA
1NNF,1.1,METALBINDINGPROTEIN,N,0.159,0.180,T,Y,A,308,13-JAN-03,NA
1NOT,1.2,CONOTOXIN,N,0.178,0.222,F,N,A,13,02-MAY-96,NA
1NPI,1.2,TOXIN,N,0.103,0.159,T,Y,A,61,17-JAN-03,NA
1NUY,1.3,HYDROLASE,Y,0.158,0.206,T,Y,A,328,01-FEB-03,NA
1NWZ,0.82,SIGNALINGPROTEIN,N,0.123,0.144,T,Y,A,125,07-FEB-03,NA
1O0K,1.2,DNA,Y,0.163,0.206,F,Y,ABCD,24,22-FEB-03,NA
1O55,1,DNA,N,0.144,NULL,F,Y,AB,2,20-AUG-03,NA
1O56,0.9,DNA,N,0.109,NULL,F,N,AB,2,20-AUG-03,NA
1O8X,1.3,ELECTRONTRANSPORT,N,0.177,0.209,F,Y,A,144,09-DEC-02,NA
1OAA,1.3,OXIDOREDUCTASE,Y,0.200,0.222,T,N,A,259,25-AUG-97,NA
1OAI,1,NUCLEARTRANSPORT,Y,NULL,0.159,F,Y,A,68,14-JAN-03,NA
1OB4,0.95,ANTIBIOTIC,N,0.087,0.112,T,Y,A,5,24-JAN-03,NA
1OB6,0.89,ANTIBIOTIC,N,0.075,0.079,T,Y,AB,10,24-JAN-03,NA
1OB7,0.89,ANTIBIOTIC,N,0.072,0.077,F,Y,A,5,24-JAN-03,NA
1OC7,1.1,HYDROLASE,N,0.106,0.124,T,Y,A,364,06-FEB-03,NA
1OD3,1,HYDROLASE,N,0.132,0.149,T,Y,A,132,12-FEB-03,NA
1ODM,1.1,OXIDOREDUCTASE,N,0.143,0.152,T,Y,A,329,19-FEB-03,NA
1OE1,1,REDUCTASE,N,0.118,0.142,T,N,A,335,18-MAR-03,NA
1OEW,0.9,HYDROLASE,N,NULL,0.147,T,Y,A,328,31-MAR-03,NA
1OI7,1.2,SYNTHETASE,N,0.178,0.196,T,Y,A,270,10-JUN-03,NA
1OK0,0.93,INHIBITOR,N,0.103,0.130,T,Y,A,74,16-JUL-03,NA
1OLR,1.2,HYDROLASE,N,0.135,0.151,T,Y,A,223,11-AUG-03,NA
1OMK,1.3,DNA,N,0.167,NULL,F,Y,AB,10,25-FEB-03,NA
1OX0,1.3,TRANSFERASE,N,0.138,0.160,T,Y,A,414,31-MAR-03,NA
1P79,1.1,RNA,N,0.127,0.136,T,Y,A,5,30-APR-03,NA
1P9G,0.84,ANTIFUNGALPROTEIN,N,0.068,0.079,T,Y,A,40,12-MAY-03,NA
1P9I,1.2,UNKNOWNFUNCTION,N,0.179,0.217,T,Y,A,29,12-MAY-03,NA
1PEN,1.1,NEUROTOXIN,N,0.127,0.152,F,N,A,16,29-JAN-96,NA
1PFE,1.1,DNA/ANTIBIOTIC,Y,0.146,0.168,T,Y,A,10,26-MAY-03,NA
1PJG,1.1,DNA-RNAHYBRID,N,NULL,0.163,T,Y,A,20,02-JUN-03,NA
1PJO,1.1,DNA-RNAHYBRID,N,0.117,0.156,T,Y,A,20,03-JUN-03,NA
1PJX,0.85,HYDROLASE,N,0.111,0.128,T,Y,A,314,04-JUN-03,NA
1PM1,1.1,BLOODCLOTTINGINHIBITOR,N,0.155,0.177,T,Y,X,180,09-JUN-03,NA
1PMH,1.1,HYDROLASE,N,0.143,0.173,T,Y,X,181,11-JUN-03,NA
1PQ7,0.8,HYDROLASE,N,0.109,NULL,T,Y,A,224,18-JUN-03,NA
1PWA,1.3,HORMONE/GROWTHFACTOR,N,0.181,0.195,T,Y,A,123,01-JUL-03,NA
1PWF,1.2,DNA,N,NULL,0.188,F,Y,AB,16,01-JUL-03,NA
1PYZ,1.3,METALBINDINGPROTEIN,N,NULL,0.188,F,Y,AB,18,09-JUL-03,NA
1Q35,1.2,METALBINDINGPROTEIN,N,0.172,0.195,T,Y,A,317,28-JUL-03,NA
1Q9A,1,RNA,N,0.148,0.177,T,Y,A,27,22-AUG-03,NA
1QAU,1.3,OXIDOREDUCTASE,N,0.239,0.255,F,N,A,112,29-MAR-99,NA
1QCU,1.2,RNA,N,0.117,0.150,T,Y,AD,44,14-MAY-99,NA
1QD8,1,ANTIBIOTIC,Y,NULL,0.131,F,N,AB,2,15-JUL-99,NA
1QDD,1.3,METALBINDINGPROTEIN,N,0.132,0.159,T,N,A,144,20-MAY-99,NA
1QFI,0.91,ANTIBIOTIC,N,0.065,NULL,F,Y,ABC,9,12-APR-99,NA
1QOW,1.1,ANTIBIOTIC,N,0.141,NULL,F,Y,ABCDEF,84,19-NOV-99,NA
1QTN,1.2,HYDROLASE/HYDROLASEINHIBITOR,Y,0.166,0.188,T,N,A,245,28-JUN-99,NA
1QTW,1,HYDROLASE,N,0.124,0.148,T,N,A,285,29-JUN-99,NA
1QV1,1.1,LUMINESCENTPROTEIN,N,0.133,0.158,T,N,A,187,26-AUG-03,NA
1QWY,1.3,HYDROLASE,N,0.164,0.181,F,Y,A,234,03-SEP-03,NA
1QXY,1,HYDROLASE,N,0.144,0.165,T,Y,A,249,09-SEP-03,NA
1QYL,1,DNA,N,0.149,0.184,F,Y,A,7,11-SEP-03,NA
1R0R,1.1,HYDROLASE,Y,0.159,0.184,T,Y,E,325,22-SEP-03,NA
1R29,1.3,TRANSCRIPTION,N,0.131,0.173,T,Y,A,122,26-SEP-03,NA
1R2Q,1.1,PROTEINTRANSPORT,N,0.125,0.169,T,Y,A,170,29-SEP-03,NA
1R3G,1.2,DNA,N,0.134,0.174,F,Y,AB,18,01-OCT-03,NA
1R68,1.2,DNA,N,NULL,NULL,F,Y,A,6,15-OCT-03,NA
1R6J,0.73,MEMBRANEPROTEIN,N,0.074,0.087,T,Y,A,82,15-OCT-03,NA
1RA0,1.1,HYDROLASE,N,0.168,0.172,F,Y,A,423,31-OCT-03,NA
1RB9,0.92,IRON-SULFURPROTEIN,N,0.073,NULL,T,Y,A,51,21-DEC-97,NA
1RRO,1.3,CALCIUM-BINDINGPROTEIN,N,0.176,NULL,F,Y,A,108,27-AUG-92,NA
1RTQ,0.95,HYDROLASE,N,NULL,0.151,T,N,A,291,10-DEC-03,NA
1RTT,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.211,0.228,F,Y,A,174,10-DEC-03,NA
1RUT,1.3,PROTEINBINDING,Y,0.157,0.193,T,Y,NA,157,11-DEC-03,NA
1RW1,1,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.129,0.139,T,Y,A,111,15-DEC-03,NA
1RWH,1.3,LYASE,N,0.114,0.142,T,N,A,754,16-DEC-03,NA
1RYO,1.2,METALTRANSPORT,N,0.221,0.235,T,Y,A,324,22-DEC-03,NA
1S1P,1.2,OXIDOREDUCTASE,N,0.147,0.156,T,N,A,315,07-JAN-04,NA
1S3C,1.3,OXIDOREDUCTASE,N,0.148,0.239,T,N,A,138,13-JAN-04,NA
1S83,1.3,HYDROLASE,Y,0.163,0.178,T,Y,A,220,30-JAN-04,NA
1SAU,1.1,OXIDOREDUCTASE,N,0.109,0.137,T,Y,A,114,09-FEB-04,NA
1SEG,1.3,TOXIN,N,0.155,0.178,T,Y,A,64,17-FEB-04,NA
1SEN,1.2,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,NULL,0.184,T,Y,A,135,17-FEB-04,NA
1SFS,1.1,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.102,0.135,T,Y,A,213,20-FEB-04,NA
1SHO,1.1,ANTIBIOTIC,N,NULL,NULL,F,Y,AB,2,23-JUL-97,NA
1SK5,0.89,DNA,N,NULL,0.144,T,N,AB,20,04-MAR-04,NA
1SN4,1.3,TOXIN,N,0.166,0.192,T,N,A,64,11-NOV-98,NA
1SXV,1.3,HYDROLASE,N,0.155,0.169,T,Y,A,160,31-MAR-04,NA
1T1E,1.2,HYDROLASE,N,0.213,0.244,T,N,A,534,16-APR-04,NA
1T1G,1.2,HYDROLASE,N,0.202,0.222,T,N,A,357,16-APR-04,NA
1T3Y,1.1,PROTEINBINDING,N,0.119,0.159,T,Y,A,131,28-APR-04,NA
