PDB,RES,CLASS,COMPLEX,RVALUE,RFREE,OCCUPANCY, BFACTOR ,HYDROGENS,STRUCFAC,CHAINS, RESIDUES , NUCLEOTIDES ,DATE,COMMENTS
2G6F,0.92,SIGNALINGPROTEIN,Y,0.185,0.199,Y, 24 ,Y,Y,X, 59 , -   ,24-Feb-06,NA
2FMA,0.85,METALBINDINGPROTEIN,N,0.131,0.15,Y, 29 ,N,Y,A, 59 , -   ,08-Jan-06,NA
1NKD,1.1,TRANSCRIPTIONREGULATION,N,0.101,0.134,Y, 158 ,Y,Y,A, 59 , -   ,23-Sep-97,NA
5SVY,1.1,TRANSCRIPTION,Y,0.123,0.147,Y, 321 ,Y,Y,A, 60 , -   ,08-Aug-16,NA
1VB0,0.92,TOXIN,N,NULL,0.133,Y, 25 ,N,N,A, 61 , -   ,20-Feb-04,NA
1Y0M,1.2,HYDROLASE,N,NULL,0.177,Y, 25 ,N,Y,NA, 61 , -   ,15-Nov-04,NA
4F98,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.145,0.169,Y, 39 ,N,Y,A, 61 , -   ,18-May-12,NA
2IGD,1.1,IGG-BINDINGPROTEIN,N,0.097,0.125,Y, 55 ,N,Y,A, 61 , -   ,30-Apr-97,NA
1I2T,1,LIGASE,N,0.154,0.171,N, 57 ,N,Y,A, 61 , -   ,12-Feb-01,NA
1NPI,1.2,TOXIN,N,0.103,0.159,Y, 77 ,N,Y,A, 61 , -   ,17-Jan-03,NA
3NDS,1.2,TOXIN,N,0.172,0.199,Y, 27 ,N,Y,A, 62 , -   ,08-Jun-10,NA
4H4N,1.1,UNKNOWNFUNCTION,N,0.147,0.182,Y, 35 ,N,Y,A, 62 , -   ,17-Sep-12,NA
2I61,1.2,TOXIN,N,0.097,0.12,Y, 42 ,N,Y,A, 62 , -   ,27-Aug-06,NA
2IIM,1,SIGNALINGPROTEIN,N,0.132,0.153,Y, 44 ,N,Y,A, 62 , -   ,28-Sep-06,NA
1G2B,1.1,METALBINDINGPROTEIN,N,NULL,0.202,Y, 82 ,N,Y,A, 62 , -   ,18-Oct-00,NA
5L87,0.87,MEMBRANEPROTEIN,N,0.13,0.145,Y, 108 ,Y,Y,A, 62 , -   ,07-Jun-16,NA
2P5K,1,DNABINDINGPROTEIN,N,0.139,0.16,N, 20 ,Y,Y,A, 63 , -   ,15-Mar-07,NA
6NMW,1.2,ONCOPROTEIN,N,0.173,0.183,Y, 66 ,Y,Y,A, 63 , -   ,12-Jan-19,NA
1F94,0.97,TOXIN,N,0.123,0.177,Y, 76 ,Y,Y,A, 63 , -   ,06-Jul-00,NA
1AHO,0.96,NEUROTOXIN,N,NULL,NULL,Y, 23 ,Y,Y,A, 64 , -   ,08-Apr-97,NA
1UCS,0.62,ANTIFREEZEPROTEIN,N,0.139,0.155,Y, 36 ,Y,Y,A, 64 , -   ,21-Apr-03,NA
2CC6,1.3,FLAVOPROTEIN,Y,0.208,0.232,N, 40 ,N,Y,A, 64 , -   ,12-Jan-06,NA
1SEG,1.3,TOXIN,N,0.155,0.178,Y, 40 ,N,Y,A, 64 , -   ,17-Feb-04,NA
1SN4,1.3,TOXIN,N,0.166,0.192,Y, 45 ,N,N,A, 64 , -   ,11-Nov-98,NA
5VNY,1.1,ENDOCYTOSISPROTEINBINDING,N,0.17,0.178,N, 52 ,Y,Y,A, 64 , -   ,01-May-17,NA
1JNI,1.3,OXIDOREDUCTASE,N,0.16,0.214,Y, 56 ,N,N,A, 64 , -   ,24-Jul-01,NA
4Q2L,1.1,TRANSPORTPROTEIN,N,0.184,0.199,Y, 99 ,N,Y,A, 64 , -   ,09-Apr-14,NA
4PNO,0.97,RNABINDINGPROTEIN,Y,0.144,0.164,Y, 120 ,Y,Y,A, 64 , -   ,24-May-14,NA
3ZR8,0.9,PROTEINBINDING,N,0.12669,0.14865,Y, 19 ,N,Y,X, 65 , -   ,15-Jun-11,NA
2SN3,1.2,TOXIN,N,0.192,NULL,Y, 36 ,Y,N,A, 65 , -   ,20-Feb-92,NA
2YEO,1.1,TOXIN,N,0.1205,0.1234,Y, 71 ,Y,Y,A, 65 , -   ,28-Mar-11,NA
5XQV,0.97,ANTIFREEZEPROTEIN,N,0.13,0.158,Y, 29 ,Y,Y,A, 66 , -   ,07-Jun-17,NA
1ZVG,1.2,TOXIN,N,0.158,0.162,N, 29 ,N,Y,A, 66 , -   ,02-Jun-05,NA
1TG0,0.97,CONTRACTILEPROTEIN,N,0.146,0.193,Y, 66 ,N,Y,A, 66 , -   ,28-May-04,NA
1HG7,1.1,ANTIFREEZEPROTEIN,N,0.12,0.169,Y, 74 ,N,Y,A, 66 , -   ,13-Dec-00,NA
2HLR,1.2,TRANSFERASE,N,0.221,0.229,Y, 30 ,N,Y,A, 67 , -   ,10-Jul-06,NA
1TUK,1.1,LIPIDTRANSPORT,N,0.138,0.162,Y, 38 ,N,Y,A, 67 , -   ,25-Jun-04,NA
2O9S,0.83,SIGNALINGPROTEIN,N,0.105,0.121,Y, 48 ,N,Y,A, 67 , -   ,14-Dec-06,NA
1VFY,1.1,TRANSPORTPROTEIN,N,0.174,0.181,N, 49 ,N,Y,NA, 67 , -   ,26-Apr-99,NA
4F14,1.2,ACTIN-BINDINGPROTEIN/PEPTIDE,Y,0.145,0.171,Y, 52 ,Y,Y,A, 67 , -   ,06-May-12,NA
4HCS,1.3,SIGNALINGPROTEIN,N,0.184,0.206,N, 65 ,N,Y,A, 67 , -   ,01-Oct-12,NA
3W19,1.3,MEMBRANEPROTEIN/INHIBITOR,N,0.156,0.172,Y, 99 ,Y,Y,C, 67 , -   ,13-Nov-12,NA
6MRR,1.2,DENOVOPROTEIN,N,0.15,0.182,Y, 39 ,Y,Y,A, 68 , -   ,15-Oct-18,NA
1OAI,1,NUCLEARTRANSPORT,Y,NULL,0.159,N, 40 ,N,Y,A, 68 , -   ,14-Jan-03,NA
1VBW,0.93,PROTEINBINDING,N,NULL,0.143,Y, 66 ,N,Y,A, 68 , -   ,03-Mar-04,NA
4A4J,1.3,HYDROLASE,N,0.14476,0.17988,Y, 38 ,N,Y,A, 69 , -   ,14-Oct-11,NA
3U23,1.1,PROTEINBINDING,N,0.152,0.167,Y, 51 ,N,Y,A, 69 , -   ,30-Sep-11,NA
6EXZ,1.3,TRANSPORTPROTEIN,N,0.171,0.207,Y, 70 ,Y,Y,A, 69 , -   ,10-Nov-17,NA
6FF1,1.3,CHAPERONE,N,0.144,0.172,Y, 104 ,N,Y,A, 69 , -   ,03-Jan-18,NA
6N2U,1.3,IMMUNESYSTEM,N,0.191,0.223,Y, 177 ,Y,Y,A, 69 , -   ,14-Nov-18,NA
4XDX,0.95,CYTOKINE,N,0.122,0.136,Y, 45 ,Y,Y,A, 70 , -   ,20-Dec-14,NA
3NZL,1.2,TRANSCRIPTION,N,0.151,0.177,N, 51 ,Y,Y,A, 70 , -   ,16-Jul-10,NA
1C75,0.97,ELECTRONTRANSPORT,N,0.116,NULL,Y, 39 ,Y,Y,A, 71 , -   ,09-Feb-00,NA
6B17,1.3,DENOVOPROTEIN,N,0.133,0.148,Y, 46 ,N,Y,ABEFDC, 72 , -   ,17-Sep-17,NA
1CC8,1,METALTRANSPORT,N,0.141,0.172,N, 47 ,N,N,A, 72 , -   ,04-Mar-99,NA
4P3V,1.3,DNABINDINGPROTEIN,N,0.157,0.173,Y, 73 ,Y,Y,A, 72 , -   ,10-Mar-14,NA
1WM3,1.2,PROTEINTRANSPORT,N,0.119,0.185,N, 95 ,N,Y,A, 72 , -   ,02-Jul-04,NA
3TYS,1.1,TRANSCRIPTION,N,0.141,0.163,Y, 42 ,Y,Y,A, 73 , -   ,26-Sep-11,NA
1I27,1,TRANSCRIPTION,N,0.127,0.146,Y, 62 ,N,N,A, 73 , -   ,07-Feb-01,NA
1OK0,0.93,INHIBITOR,N,0.103,0.13,Y, 28 ,N,Y,A, 74 , -   ,16-Jul-03,NA
3H31,1,ELECTRONTRANSPORT,N,0.104,0.144,Y, 45 ,N,Y,A, 74 , -   ,15-Apr-09,NA
3U97,1.1,HYDROLASE,N,0.141,0.158,Y, 51 ,Y,Y,A, 74 , -   ,18-Oct-11,NA
3ZZP,0.96,RIBOSOMALPROTEIN,N,0.113,0.137,Y, 52 ,N,Y,A, 74 , -   ,02-Sep-11,NA
1L9L,0.92,ANTIMICROBIALPROTEIN,N,0.138,0.19,Y, 67 ,Y,Y,A, 74 , -   ,25-Mar-02,NA
2PQ3,1.3,METALBINDINGPROTEIN,N,0.143,0.192,Y, 80 ,N,Y,A, 74 , -   ,01-May-07,NA
3T7L,1.1,TRANSPORTPROTEIN,N,0.142,0.154,Y, 92 ,N,Y,A, 74 , -   ,30-Jul-11,NA
5TDA,0.79,LIGASE,Y,0.121,0.128,Y, 22 ,Y,Y,A, 75 , -   ,19-Sep-16,NA
2RHF,1.1,HYDROLASE,N,0.178,0.194,Y, 28 ,N,Y,A, 75 , -   ,09-Oct-07,NA
2EHS,1.3,LIPIDTRANSPORT,N,0.197,0.222,Y, 32 ,N,Y,A, 75 , -   ,08-Mar-07,NA
5TOG,1.1,SIGNALINGPROTEIN,N,0.104,0.121,Y, 33 ,Y,Y,A, 75 , -   ,17-Oct-16,NA
5NFM,0.8,LIGASE,Y,0.122,0.132,Y, 73 ,Y,Y,A, 75 , -   ,14-Mar-17,NA
6N9H,1,DENOVOPROTEIN,N,0.197,0.214,Y, 91 ,Y,Y,A, 75 , -   ,03-Dec-18,NA
5NVG,1.1,SIGNALINGPROTEIN,N,0.131,0.167,Y, 118 ,N,Y,A, 75 , -   ,04-May-17,NA
6I05,1.2,CELLCYCLE,N,0.155,0.171,Y, 102 ,N,Y,A, 76 , -   ,25-Oct-18,NA
3JTZ,1.3,DNABINDINGPROTEIN,N,0.214,0.239,Y, 33 ,N,Y,A, 77 , -   ,14-Sep-09,NA
1T8K,1.1,LIPIDTRANSPORT,N,0.134,0.15,Y, 34 ,N,N,A, 77 , -   ,13-May-04,NA
1USM,1.2,TRANSCRIPTIONALSTIMULATOR,N,0.215,0.228,Y, 56 ,N,Y,A, 77 , -   ,26-Nov-03,NA
3G21,0.9,VIRALPROTEIN,N,0.124,0.142,Y, 73 ,N,Y,A, 77 , -   ,30-Jan-09,NA
2J8B,1.1,LIPIDBINDINGPROTEIN,N,0.165,0.197,Y, 27 ,N,Y,A, 78 , -   ,24-Oct-06,NA
2XNQ,1.3,RNABINDINGPROTEIN,N,0.17567,0.19448,Y, 37 ,N,Y,A, 78 , -   ,05-Aug-10,NA
2ZPM,0.98,HYDROLASE,N,0.151,0.18,Y, 35 ,N,Y,A, 79 , -   ,17-Jul-08,NA
6EXX,1.1,RNABINDINGPROTEIN,N,0.144,0.163,Y, 40 ,Y,Y,A, 79 , -   ,10-Nov-17,NA
5HUB,1.1,ISOMERASE,N,0.175,0.22,Y, 55 ,N,Y,A, 79 , -   ,27-Jan-16,NA
6SX1,1.3,STRUCTURALPROTEIN,N,NULL,NULL,Y, 60 ,N,Y,A, 79 , -   ,24-Sep-19,NA
1XMK,0.97,HYDROLASE,N,0.145,0.183,Y, 142 ,N,Y,A, 79 , -   ,03-Oct-04,NA
3E6Z,1,METALBINDINGPROTEIN,N,0.195,0.214,Y, 25 ,N,Y,X, 80 , -   ,17-Aug-08,NA
2R2Z,1.2,TOXIN,N,0.155,0.171,Y, 32 ,N,Y,A, 80 , -   ,28-Aug-07,NA
3L9A,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.135,0.155,Y, 34 ,N,Y,X, 80 , -   ,04-Jan-10,NA
5D78,1.3,RNABINDINGPROTEIN,N,0.139,0.177,N, 44 ,Y,Y,A, 80 , -   ,13-Aug-15,NA
1MJ4,1.2,OXIDOREDUCTASE,N,0.119,0.139,Y, 58 ,N,N,A, 80 , -   ,26-Aug-02,NA
6FJ7,1.1,PROTEINBINDING,N,0.155,0.195,Y, 58 ,N,Y,A, 80 , -   ,21-Jan-18,NA
5X2E,1.3,CELLADHESION,N,0.183,0.216,N, 60 ,N,Y,A, 80 , -   ,31-Jan-17,NA
5W0H,1.1,RNABINDINGPROTEIN/RNA,N,0.154,0.168,Y, 63 ,Y,Y,A, 80 , -   ,30-May-17,NA
1ZZK,0.95,DNABINDINGPROTEIN,N,0.124,0.127,Y, 80 ,N,Y,A, 80 , -   ,14-Jun-05,NA
3GOE,0.97,RECOMBINATIONREPLICATION,N,NULL,0.169,Y, 99 ,Y,Y,A, 80 , -   ,19-Mar-09,NA
2PNE,0.98,ANTIFREEZEPROTEIN,N,0.141,0.164,Y, 13 ,N,Y,A, 81 , -   ,24-Apr-07,NA
4RWU,1.3,CHAPERONE,N,0.123,0.149,Y, 51 ,N,Y,A, 81 , -   ,05-Dec-14,NA
1IQZ,0.92,ELECTRONTRANSPORT,N,0.098,0.11,Y, 67 ,N,Y,A, 81 , -   ,30-Aug-01,NA
3EUN,1.1,ELECTRONTRANSPORT,N,0.116,NULL,Y, 92 ,N,Y,A, 81 , -   ,10-Oct-08,NA
1R6J,0.73,MEMBRANEPROTEIN,N,0.074,0.087,Y, 15 ,N,Y,A, 82 , -   ,15-Oct-03,NA
4EIE,1,ELECTRONTRANSPORT,N,0.137,0.163,Y, 27 ,Y,Y,A, 82 , -   ,05-Apr-12,NA
2QSB,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.149,0.178,Y, 30 ,N,Y,A, 82 , -   ,30-Jul-07,NA
6U97,1.1,ELECTRONTRANSPORT,N,0.128,0.153,Y, 39 ,Y,Y,A, 82 , -   ,06-Sep-19,NA
6C4Q,1.2,TRANSPORTPROTEIN,N,0.13,0.145,Y, 53 ,N,Y,A, 82 , -   ,12-Jan-18,NA
3FYM,1,DNABINDINGPROTEIN,N,NULL,0.14,Y, 55 ,N,Y,A, 82 , -   ,22-Jan-09,NA
4OD6,1.2,HYDROLASE,N,0.183,0.209,Y, 56 ,Y,Y,A, 82 , -   ,10-Jan-14,NA
5D8V,0.48,METALBINDINGPROTEIN,N,0.072,0.078,Y, 19 ,Y,Y,A, 83 , -   ,18-Aug-15,NA
2C60,1.3,TRANSFERASE,N,0.166,0.182,Y, 37 ,N,Y,NA, 83 , -   ,04-Nov-05,NA
3O46,1.3,PROTEINBINDING,N,0.184,0.191,Y, 39 ,N,Y,A, 83 , -   ,26-Jul-10,NA
6SID,1.1,VIRUSLIKEPARTICLE,N,NULL,0.151,Y, 59 ,Y,Y,A, 83 , -   ,09-Aug-19,NA
3OV5,1,PROTEINTRANSPORT,N,0.131,0.152,Y, 23 ,N,Y,A, 84 , -   ,15-Sep-10,NA
1W3M,1,ANTIBIOTIC,N,0.139,0.171,Y, 42 ,N,Y,ABCDEFGHIJKL, 84 , -   ,16-Jul-04,NA
1QOW,1.1,ANTIBIOTIC,N,0.141,NULL,N, 51 ,N,Y,ABCDEF, 84 , -   ,19-Nov-99,NA
4K8M,0.87,ELECTRONTRANSPORT,N,NULL,0.155,Y, 62 ,N,Y,A, 84 , -   ,18-Apr-13,NA
5W0G,1.1,RNABINDINGPROTEIN/RNA,N,0.136,0.153,Y, 76 ,Y,Y,A, 84 , -   ,30-May-17,NA
4LWU,1.1,LIGASE/LIGASEINHIBITOR,N,0.216,0.226,N, 32 ,N,Y,A, 85 , -   ,28-Jul-13,NA
3KZD,1.3,SIGNALINGPROTEIN,N,0.199,0.224,Y, 35 ,N,Y,A, 85 , -   ,08-Dec-09,NA
3VQF,1.2,PEPTIDEBINDINGPROTEIN,N,0.146,0.164,Y, 35 ,N,Y,A, 85 , -   ,22-Mar-12,NA
3R68,1.3,SIGNALINGPROTEIN,N,0.132,0.157,Y, 36 ,N,Y,A, 85 , -   ,21-Mar-11,NA
1B0Y,0.93,ELECTRONTRANSPORT,N,0.155,0.205,N, 43 ,N,Y,A, 85 , -   ,15-Nov-98,NA
6DCM,1,BLOODCLOTTING,N,0.142,0.157,Y, 60 ,N,Y,A, 85 , -   ,07-May-18,NA
4BPF,1,LIGASE,N,0.1302,0.156,Y, 80 ,Y,Y,A, 85 , -   ,26-May-13,NA
4AQO,0.99,HYDROLASE,N,0.12515,0.14998,Y, 22 ,N,Y,A, 86 , -   ,19-Apr-12,NA
1Y6X,1.3,HYDROLASE,N,NULL,0.207,N, 24 ,N,Y,A, 86 , -   ,07-Dec-04,NA
2NQW,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.132,0.167,Y, 34 ,N,Y,A, 86 , -   ,31-Oct-06,NA
2ZXY,1.1,OXYGENBINDINGTRANSPORTPROTEIN,N,0.129,0.164,Y, 36 ,N,Y,A, 86 , -   ,09-Jan-09,NA
6KGI,1,LIGASE,N,0.19,0.202,N, 65 ,Y,Y,B, 86 , -   ,11-Jul-19,NA
6O40,1.2,ANTIVIRALPROTEIN,N,0.177,0.186,N, 113 ,Y,Y,A, 86 , -   ,27-Feb-19,NA
5E9P,1.2,HYDROLASE,N,0.107,0.125,Y, 158 ,N,Y,NA, 86 , -   ,15-Oct-15,NA
1ULR,1.3,HYDROLASE,N,0.19,0.216,Y, 26 ,N,Y,A, 87 , -   ,16-Sep-03,NA
1K8U,1.1,SIGNALINGPROTEIN,N,0.186,0.221,Y, 36 ,N,N,A, 87 , -   ,25-Oct-01,NA
3X34,0.76,ELECTRONTRANSPORT,N,0.107,0.131,Y, 41 ,Y,Y,A, 87 , -   ,14-Jan-15,NA
3TBN,1.1,METALBINDINGPROTEIN,N,0.112,0.125,Y, 74 ,Y,Y,A, 87 , -   ,07-Aug-11,NA
4YUD,1.3,RNABINDINGPROTEIN,N,0.149,0.194,Y, 91 ,N,Y,A, 87 , -   ,18-Mar-15,NA
1GXT,1.3,PHOSPHATASE,N,0.136,0.168,Y, 64 ,N,Y,A, 88 , -   ,11-Apr-02,NA
4HE6,1.1,UNKNOWNFUNCTION,N,0.123,0.163,Y, 55 ,N,Y,A, 89 , -   ,03-Oct-12,NA
1CTJ,1.1,ELECTRONTRANSPORT,N,0.14,0.188,Y, 68 ,N,Y,A, 89 , -   ,08-Aug-95,NA
2CG7,1.2,SIGNALINGPROTEIN,N,0.19,0.219,Y, 23 ,N,Y,A, 90 , -   ,27-Feb-06,NA
1M1Q,0.97,ELECTRONTRANSPORT,N,0.135,0.151,Y, 36 ,N,Y,A, 90 , -   ,20-Jun-02,NA
6HR0,1,ELECTRONTRANSPORT,N,NULL,0.178,Y, 37 ,Y,Y,A, 90 , -   ,26-Sep-18,NA
5TZM,1.2,STRUCTURALPROTEIN,N,0.165,0.185,Y, 50 ,N,Y,A, 90 , -   ,21-Nov-16,NA
6UYR,1.3,NUCLEARPROTEIN/PROTEINBINDING,Y,0.157,0.173,Y, 59 ,Y,Y,A, 90 , -   ,14-Nov-19,NA
4GS3,1.1,DNABINDINGPROTEIN,N,0.154,NULL,N, 81 ,N,Y,A, 90 , -   ,27-Aug-12,NA
4UP0,1.3,TRANSCRIPTION,N,0.13946,0.16611,N, 85 ,N,Y,A, 90 , -   ,11-Jun-14,NA
1LS9,1.3,ELECTRONTRANSPORT,N,0.149,0.19,Y, 32 ,N,Y,A, 91 , -   ,17-May-02,NA
2GZV,1.1,SIGNALINGPROTEIN,N,0.15,0.169,Y, 33 ,N,Y,A, 91 , -   ,12-May-06,NA
2RIL,1.3,OXIDOREDUCTASE,N,0.141,0.162,Y, 35 ,N,Y,A, 91 , -   ,11-Oct-07,NA
4LTT,1.3,TOXIN,N,0.181,0.212,Y, 38 ,N,Y,A, 91 , -   ,23-Jul-13,NA
4N6X,1.1,SIGNALINGPROTEIN,Y,0.148,0.163,Y, 56 ,Y,Y,NA, 91 , -   ,14-Oct-13,NA
4QBO,1.3,HYDROLASE,N,0.172,0.18,Y, 66 ,Y,Y,A, 92 , -   ,08-May-14,NA
4GMQ,1.3,RIBOSOME-BINDINGPROTEIN,N,0.153,0.188,Y, 67 ,N,Y,A, 92 , -   ,16-Aug-12,NA
4EIC,0.84,ELECTRONTRANSPORT,N,0.106,0.127,Y, 22 ,N,Y,A, 93 , -   ,05-Apr-12,NA
