PDB,RES,CLASS,COMPLEX,RVALUE,RFREE,OCCUPANCY,STRUCFAC,CHAINS,RESIDUES,DATE,COMMENTS
4BPS,1.1,HYDROLASE,N,0.127,0.147,T,Y,A,327,28-MAY-13,NA
4BY8,0.94,ANTIBIOTIC,N,0.166,0.217,T,Y,A,10,18-JUL-13,NA
4C5X,1.3,DNA,N,0.145,0.173,F,Y,AB,22,16-SEP-13,NA
4C6A,1.3,TRANSFERASE,N,0.1638,0.1721,T,Y,A,151,18-SEP-13,NA
4CD5,1.1,HYDROLASE,N,0.15273,0.17213,T,Y,A,367,30-OCT-13,NA
4CFI,1.3,STRUCTURALPROTEIN,N,0.13774,0.16461,T,Y,A,258,18-NOV-13,NA
4CJ0,1.1,HYDROLASE/DENOVOPROTEIN,Y,0.108,0.125,T,Y,A,594,18-DEC-13,NA
4CNX,1.2,LYASE,N,0.112,0.147,T,Y,A,257,25-JAN-14,NA
4CO8,1.1,TRANSCRIPTION,N,0.11727,0.13201,T,Y,A,98,27-JAN-14,NA
4CRG,1.3,HYDROLASE,N,0.1764,0.1951,T,Y,A,217,26-FEB-14,NA
4CVR,1.1,OXIDOREDUCTASE,N,0.13534,0.16544,T,Y,A,156,29-MAR-14,NA
4CXP,1.2,HYDROLASE,N,0.11947,0.13444,T,Y,A,257,08-APR-14,NA
4CZQ,1.2,OXIDOREDUCTASE,N,0.1514,0.1619,T,Y,A,367,21-APR-14,NA
4D0Q,1.2,LYASE,N,0.129,0.159,T,Y,A,161,29-APR-14,NA
4D1T,1.3,HYDROLASE,N,0.1315,0.1483,T,Y,A,229,05-MAY-14,NA
4D5M,0.85,HORMONE,N,0.080,0.087,T,Y,ABCD,32,05-NOV-14,NA
4D6G,1.2,HYDROLASE,N,0.118,0.133,T,Y,A,587,11-NOV-14,NA
4D8B,1.1,HYDROLASE,N,0.145,0.160,T,Y,A,254,10-JAN-12,NA
4DD5,1.3,TRANSFERASE,N,0.118,0.135,T,Y,A,387,18-JAN-12,NA
4DP9,1,ELECTRONTRANSPORT,N,0.122,0.144,T,Y,X,99,13-FEB-12,NA
4DPZ,1.3,TRANSFERASE,N,0.151,0.179,T,Y,X,109,14-FEB-12,NA
4DUI,1.2,DENOVOPROTEIN,Y,0.125,0.149,T,Y,A,164,22-FEB-12,NA
4DVC,1.2,OXIDOREDUCTASE,N,0.120,0.139,T,Y,A,184,23-FEB-12,NA
4DXK,1.3,ISOMERASE,N,0.155,0.169,T,Y,NA,364,27-FEB-12,NA
4E0K,0.97,PROTEINFIBRIL,N,0.114,0.131,T,Y,ABCD,24,04-MAR-12,NA
4E1Q,1.3,ISOMERASE,N,0.178,0.185,F,Y,A,170,06-MAR-12,NA
4E1U,0.92,DNA,N,0.140,0.149,T,Y,AB,24,07-MAR-12,NA
4E2B,1.3,OXIDOREDUCTASE,N,0.147,0.171,T,Y,A,378,08-MAR-12,NA
4E8S,1.2,DNA,N,0.104,0.129,F,Y,A,10,20-MAR-12,NA
4E9S,1.1,METALBINDINGPROTEIN,N,NULL,NULL,T,Y,A,476,21-MAR-12,NA
4EA9,0.9,TRANSFERASE,Y,0.139,0.155,T,Y,A,207,22-MAR-12,NA
4EIC,0.84,ELECTRONTRANSPORT,N,0.106,0.127,T,Y,A,93,05-APR-12,NA
4EIE,1,ELECTRONTRANSPORT,N,0.137,0.163,T,Y,A,82,05-APR-12,NA
4EIH,1.2,TRANSFERASE,N,0.161,0.181,T,Y,A,101,05-APR-12,NA
4EKF,0.98,HYDROLASE,N,0.135,0.168,T,Y,A,191,09-APR-12,NA
4EL4,1.2,HYDROLASE,N,0.169,0.202,T,Y,A,425,10-APR-12,NA
4ES1,1.1,HYDROLASE,N,0.158,0.164,T,Y,A,95,21-APR-12,NA
4ESP,1.1,ALLERGEN,N,0.169,0.183,T,Y,A,130,23-APR-12,NA
4ETN,1.1,HYDROLASE,N,0.156,0.173,T,Y,A,148,24-APR-12,NA
4EUO,1.3,TRANSPORTPROTEIN,N,0.166,0.181,T,Y,A,313,25-APR-12,NA
4EUZ,1.1,HYDROLASE/ANTIBIOTIC,N,0.115,0.138,T,Y,A,268,25-APR-12,NA
4EX6,1.3,HYDROLASE,N,0.121,0.153,T,Y,A,219,30-APR-12,NA
4EXK,1.3,TRANSPORTPROTEIN,N,0.143,0.178,T,Y,NA,475,30-APR-12,NA
4EZ8,1.2,TRANSFERASE/TRANSFERASEINHIBITOR,Y,0.108,0.130,T,Y,A,287,02-MAY-12,NA
4EZI,1.1,UNKNOWNFUNCTION,N,0.137,0.157,T,Y,A,359,02-MAY-12,NA
4F06,1.3,TRANSPORTPROTEIN,N,0.123,0.143,T,Y,A,355,03-MAY-12,NA
4F0W,1.2,HYDROLASE,N,0.183,0.192,T,Y,A,152,05-MAY-12,NA
4F14,1.2,ACTIN-BINDINGPROTEIN/PEPTIDE,Y,0.145,0.171,T,Y,A,67,06-MAY-12,NA
4F1V,0.88,PHOSPHATE-BINDINGPROTEIN,N,0.126,0.140,T,Y,A,372,07-MAY-12,NA
4F4N,1.3,DNA,N,0.155,0.181,F,Y,AC,14,10-MAY-12,NA
4F98,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.145,0.169,T,Y,A,61,18-MAY-12,NA
4FK9,1.1,HYDROLASE,N,0.119,0.132,T,Y,A,314,13-JUN-12,NA
4FP6,1.3,DNA,N,0.191,0.221,F,Y,A,7,21-JUN-12,NA
4FR9,1.2,UNKNOWNFUNCTION,N,0.147,0.172,T,Y,A,131,26-JUN-12,NA
4FRV,1.1,ISOMERASE,N,0.120,0.138,T,Y,A,185,26-JUN-12,NA
4FS5,1.3,DNA,N,0.213,0.264,F,Y,AB,12,26-JUN-12,NA
4FS6,1.3,DNA,N,0.195,0.230,F,Y,A,6,27-JUN-12,NA
4FS7,1.2,PROTEINBINDING,N,0.132,0.157,T,Y,A,379,27-JUN-12,NA
4FUU,1.3,HYDROLASE,N,0.120,0.157,T,Y,A,288,28-JUN-12,NA
4G13,0.8,ANTIBIOTIC,N,0.078,0.081,T,Y,A,5,10-JUL-12,NA
4G14,1.1,ANTIBIOTIC,N,0.123,0.171,T,Y,A,5,10-JUL-12,NA
4G78,0.92,TRANSFERASE,N,NULL,0.155,T,Y,A,147,20-JUL-12,NA
4G9S,0.95,HYDROLASE/HYDROLASEINHIBITOR,Y,0.129,0.136,T,Y,A,298,24-JUL-12,NA
4GA2,0.95,TRANSPORTPROTEIN,N,0.178,0.199,T,Y,A,144,24-JUL-12,NA
4GBU,1.2,OXIDOREDUCTASE,Y,0.102,0.121,T,Y,A,399,28-JUL-12,NA
4GIE,1.3,OXIDOREDUCTASE,N,0.120,0.136,T,Y,A,288,08-AUG-12,NA
4GJZ,1,OXIDOREDUCTASE,Y,0.147,0.163,T,Y,A,228,10-AUG-12,NA
4GMQ,1.3,RIBOSOME-BINDINGPROTEIN,N,0.153,0.188,T,Y,A,92,16-AUG-12,NA
4GMU,1.2,LYASE,Y,0.172,0.196,T,Y,A,610,16-AUG-12,NA
4GNR,1,TRANSPORTPROTEIN,N,0.127,0.147,T,Y,NA,347,17-AUG-12,NA
4GQM,1.3,UNKNOWNFUNCTION,N,0.159,0.173,T,Y,A,105,23-AUG-12,NA
4GS3,1.1,DNABINDINGPROTEIN,N,0.154,NULL,F,Y,A,90,27-AUG-12,NA
4GWB,1.2,OXIDOREDUCTASE,N,0.160,0.180,T,Y,A,163,01-SEP-12,NA
4GZC,1.3,ENDOCYTOSISLIPIDBINDINGPROTEIN,N,0.213,0.231,T,Y,A,132,06-SEP-12,NA
4H27,1.3,LYASE,N,0.146,0.168,T,Y,A,317,12-SEP-12,NA
4H4N,1.1,UNKNOWNFUNCTION,N,0.147,0.182,T,Y,A,62,17-SEP-12,NA
4H7W,1.1,UNKNOWNFUNCTION,N,0.133,0.154,T,Y,A,187,21-SEP-12,NA
4H8E,1.3,TRANSFERASE/TRANSFERASEINHIBITOR,Y,0.175,0.194,F,Y,A,235,22-SEP-12,NA
4HCJ,1.1,HYDROLASE,N,0.116,0.127,T,Y,A,169,30-SEP-12,NA
4HCS,1.3,SIGNALINGPROTEIN,N,0.184,0.206,F,Y,A,67,01-OCT-12,NA
4HE6,1.1,UNKNOWNFUNCTION,N,0.123,0.163,T,Y,A,89,03-OCT-12,NA
4HGU,0.98,HYDROLASEINHIBITOR,N,0.106,0.129,T,Y,A,40,08-OCT-12,NA
4HIF,0.85,DNA,Y,0.092,0.113,T,Y,AB,12,11-OCT-12,NA
4HIG,0.75,DNA,Y,0.071,0.081,F,Y,AB,12,11-OCT-12,NA
4HM8,1.3,OXIDOREDUCTASE/OXIDOREDUCTASEINHIBITOR17-OCT-12,N,0.171,0.194,T,Y,A,638,4HM8,NA
4HNO,0.92,HYDROLASE,N,0.126,0.139,T,Y,A,285,20-OCT-12,NA
4HP2,0.64,ANTIBIOTIC,N,0.076,NULL,T,Y,AB,12,23-OCT-12,NA
4HP7,1.1,ANTIBIOTIC,N,NULL,0.216,F,Y,ABCD,0,23-OCT-12,NA
4HUA,1.1,OXIDOREDUCTASE,N,0.160,0.172,T,Y,A,107,02-NOV-12,NA
4HY7,1.2,ISOMERASE/INHIBITOR,N,0.187,0.204,F,Y,A,172,13-NOV-12,NA
4HZ8,1.1,HYDROLASE,N,0.136,0.161,F,Y,A,439,14-NOV-12,NA
4I1G,1.3,DNA,N,0.209,0.217,F,Y,A,7,20-NOV-12,NA
4I2U,1.3,OXIDOREDUCTASE,N,0.142,0.166,T,Y,A,109,23-NOV-12,NA
4I5U,1.2,HYDROLASE,N,0.143,0.158,T,Y,A,358,29-NOV-12,NA
4I62,1.1,TRANSPORTPROTEIN,N,0.166,0.179,T,Y,NA,237,29-NOV-12,NA
4I66,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.160,0.198,T,Y,A,195,29-NOV-12,NA
4I71,1.3,HYDROLASE/HYDROLASEINHIBITOR,N,0.127,0.147,T,Y,A,325,30-NOV-12,NA
4I8H,0.75,HYDROLASE,N,0.102,0.111,T,Y,A,220,03-DEC-12,NA
4I9V,1,DNA,N,0.161,0.182,T,Y,AB,22,05-DEC-12,NA
4IAU,0.99,UNKNOWNFUNCTION,N,0.107,0.129,T,Y,A,158,07-DEC-12,NA
4IGI,1.2,CELLADHESION,N,0.121,0.148,T,Y,A,197,17-DEC-12,NA
4IHM,1.3,HYDROLASE,N,0.141,0.148,T,Y,A,323,19-DEC-12,NA
4III,1,DNA,N,0.101,0.114,T,Y,A,10,20-DEC-12,NA
4IIL,1.3,MEMBRANEPROTEIN,N,0.122,0.153,T,Y,A,314,20-DEC-12,NA
4INW,1.1,PHEROMONE-BINDINGPROTEIN,Y,0.161,0.183,T,Y,A,140,07-JAN-13,NA
4IPM,1.1,HYDROLASE,N,0.123,0.155,T,Y,A,430,10-JAN-13,NA
4ITK,1.2,ELECTRONTRANSPORT,N,0.110,0.147,T,Y,A,104,18-JAN-13,NA
4IUS,1.3,TRANSFERASE,N,0.130,0.156,T,Y,A,254,21-JAN-13,NA
4IVV,1.1,HYDROLASE,N,0.142,0.157,T,Y,A,174,23-JAN-13,NA
4IZX,1.1,SUGARBINDINGPROTEIN,Y,0.109,0.132,T,Y,A,139,30-JAN-13,NA
4J4Z,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.170,0.181,T,Y,A,160,07-FEB-13,NA
4JBD,1.3,ISOMERASE,N,0.159,0.184,T,Y,A,308,19-FEB-13,NA
4JCC,1.1,TRANSPORTPROTEIN,N,0.146,0.169,T,Y,NA,284,21-FEB-13,NA
4JD8,1.2,DNA,N,0.139,0.162,T,Y,AB,12,24-FEB-13,NA
4JED,1.1,TRANSFERASE,N,0.115,0.131,T,Y,A,212,26-FEB-13,NA
4JER,1.1,TRANSPORTPROTEIN,N,0.139,0.146,T,Y,A,181,27-FEB-13,NA
4JF5,1.1,HYDROLASE,N,0.141,0.162,T,Y,A,242,27-FEB-13,NA
4JG2,1.3,UNKNOWNFUNCTION,N,0.126,0.163,T,Y,A,185,28-FEB-13,NA
4JGL,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.135,0.153,T,Y,A,145,01-MAR-13,NA
4JHT,1.2,OXIDOREDUCTASE/OXIDOREDUCTASEINHIBITOR05-MAR-13,Y,NULL,0.166,T,Y,A,201,4JHT,NA
4JIU,1.1,HYDROLASE,N,0.147,0.192,T,Y,A,105,07-MAR-13,NA
4JJ7,1.2,HYDROLASE/HYDROLASEINHIBITOR,N,0.136,0.157,T,Y,A,242,07-MAR-13,NA
4JJA,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.121,0.151,T,Y,A,341,07-MAR-13,NA
4JMP,1.3,TRANSFERASE,N,0.173,0.191,T,Y,A,226,14-MAR-13,NA
4JN7,1.1,LYASE,N,0.136,0.145,T,Y,A,395,14-MAR-13,NA
4JP6,1,UNKNOWNFUNCTION,N,0.154,0.181,F,Y,A,121,19-MAR-13,NA
4JRD,1,RNA,N,0.128,0.158,F,Y,AB,22,21-MAR-13,NA
4JRU,1.2,UNKNOWNFUNCTION,N,0.167,0.184,T,Y,A,201,22-MAR-13,NA
4JZ5,1.1,HYDROLASE,N,0.135,0.143,T,Y,A,206,02-APR-13,NA
4K0N,1.3,TRANSPORTPROTEIN,N,0.149,0.170,T,Y,A,234,04-APR-13,NA
4K12,1.1,IMMUNESYSTEM/CHOLINEBINDINGPROTEIN,N,0.155,0.170,T,Y,A,146,04-APR-13,NA
4K4O,1.3,ISOMERASE/ISOMERASEINHIBITOR,N,0.179,0.196,T,Y,A,190,12-APR-13,NA
4K7T,1.1,ANTIBIOTIC,Y,0.128,0.149,F,Y,A,8,17-APR-13,NA
4K8G,1.3,METALBINDINGPROTEIN,N,0.141,0.148,T,Y,NA,386,18-APR-13,NA
4K8M,0.87,ELECTRONTRANSPORT,N,NULL,0.155,T,Y,A,84,18-APR-13,NA
4K8Y,1,HYDROLASE/HYDROLASEINHIBITOR,N,0.151,0.170,T,Y,A,232,19-APR-13,NA
4KEF,1.1,ACTINBINDINGPROTEIN,N,0.127,0.144,T,Y,A,133,25-APR-13,NA
4KQP,0.95,TRANSPORTPROTEIN,N,0.115,0.120,T,Y,NA,230,15-MAY-13,NA
4KV7,1.2,UNKNOWNFUNCTION,N,0.149,0.163,T,Y,A,360,22-MAY-13,NA
4KWX,1.3,DNA,N,0.174,0.187,F,Y,ABCDEF,60,24-MAY-13,NA
4KXW,0.97,TRANSFERASE,Y,0.099,0.121,T,Y,A,621,28-MAY-13,NA
4L05,1.1,OXIDOREDUCTASE,N,0.114,0.118,T,Y,A,154,30-MAY-13,NA
4L25,1.1,DNA,N,0.231,0.240,T,Y,AB,24,04-JUN-13,NA
4L4E,1.3,OXIDOREDUCTASE,N,0.191,0.211,T,Y,A,405,07-JUN-13,NA
4L8A,1.2,TRANSFERASE,N,0.130,0.156,T,Y,A,159,16-JUN-13,NA
4LDC,1.3,METALBINDINGPROTEIN,N,0.128,0.144,T,Y,A,149,24-JUN-13,NA
4LF0,1.1,HYDROLASE,N,0.131,0.137,T,Y,A,340,26-JUN-13,NA
4LJ1,1.2,CELLINVASION,N,0.148,0.166,T,Y,A,135,04-JUL-13,NA
4LLD,1.2,IMMUNESYSTEM,N,0.146,0.170,T,Y,A,200,09-JUL-13,NA
4LTG,1.2,DNA,N,0.090,0.113,T,Y,A,10,23-JUL-13,NA
4LTT,1.3,TOXIN,N,0.181,0.212,T,Y,A,91,23-JUL-13,NA
4LWU,1.1,LIGASE/LIGASEINHIBITOR,N,0.216,0.226,F,Y,A,85,28-JUL-13,NA
4M51,1.1,HYDROLASE,N,0.118,0.135,T,Y,A,402,07-AUG-13,NA
4M6E,0.95,ANTIBIOTIC,N,0.135,0.142,T,Y,A,7,09-AUG-13,NA
4M91,1.1,OXIDOREDUCTASE,N,0.138,0.160,T,Y,A,159,14-AUG-13,NA
4MF5,1.1,TRANSFERASE,N,0.114,0.127,T,Y,A,238,27-AUG-13,NA
4MHP,1.1,TRANSFERASE,N,0.166,0.186,F,Y,A,326,30-AUG-13,NA
4MIJ,1.1,TRANSPORTPROTEIN,N,0.139,0.152,T,Y,A,302,31-AUG-13,NA
4MJ9,0.97,DNA,N,0.087,0.096,F,Y,A,10,03-SEP-13,NA
4MJE,1.2,ELECTRONTRANSPORT,N,0.180,0.198,T,Y,A,99,03-SEP-13,NA
4MKN,1.1,ISOMERASE,N,0.161,0.177,T,Y,A,253,05-SEP-13,NA
4MKW,1.2,DNA,N,0.213,0.240,F,Y,AB,22,05-SEP-13,NA
4MNC,1.1,TRANSPORTPROTEIN,N,0.129,0.144,T,Y,A,305,10-SEP-13,NA
4MNK,1.3,HYDROLASE,Y,0.183,0.199,T,Y,A,342,11-SEP-13,NA
4MQ3,1.1,VIRALPROTEIN,N,0.142,0.176,F,Y,A,129,15-SEP-13,NA
4MRH,1.1,CELLADHESION/INHIBITOR,Y,0.170,0.184,T,Y,A,150,17-SEP-13,NA
4MSR,1.2,RNA,N,0.178,0.217,T,Y,AB,20,18-SEP-13,NA
4MTU,0.97,LYASE,N,0.146,0.152,T,Y,A,143,20-SEP-13,NA
4MUM,1.3,HYDROLASE,N,0.132,0.149,T,Y,A,198,22-SEP-13,NA
4MX6,1.1,TRANSPORTPROTEIN,N,0.134,0.153,T,Y,NA,305,25-SEP-13,NA
4MZC,0.95,OXIDOREDUCTASE,N,0.104,0.111,T,Y,A,106,30-SEP-13,NA
4MZD,1.1,HYDROLASE,N,0.152,0.168,T,Y,A,356,30-SEP-13,NA
4N03,1.1,TRANSPORTPROTEIN,N,0.125,0.149,T,Y,NA,381,30-SEP-13,NA
4N13,1.3,TRANSPORTPROTEIN,N,0.138,0.161,T,Y,NA,253,03-OCT-13,NA
4N1I,1,HYDROLASE,N,0.115,0.139,T,Y,A,312,04-OCT-13,NA
4N30,1.3,OXIDOREDUCTASE,N,0.195,0.220,T,Y,A,182,06-OCT-13,NA
4N6K,1.2,TRANSPORTPROTEIN,N,0.140,0.162,T,Y,A,311,13-OCT-13,NA
4N6X,1.1,SIGNALINGPROTEIN,Y,0.148,0.163,T,Y,NA,91,14-OCT-13,NA
4NAG,0.81,BIOSYNTHETICPROTEIN,N,0.054,NULL,T,Y,AB,32,22-OCT-13,NA
4NAZ,1.1,TRANSFERASE,N,0.136,0.163,T,Y,A,130,22-OCT-13,NA
4NCU,1.1,VIRALPROTEIN,N,0.122,0.141,F,Y,A,27,25-OCT-13,NA
4NI6,1.1,UNKNOWNFUNCTION,N,0.184,0.211,T,Y,A,138,05-NOV-13,NA
4NIO,1.3,PROTEINFIBRIL,N,0.205,0.233,F,Y,A,7,06-NOV-13,NA
4NLF,1,RNA,N,0.099,0.116,T,Y,A,26,14-NOV-13,NA
4NLM,1.2,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.147,0.181,T,Y,A,321,14-NOV-13,NA
4NMG,1,RNA,N,0.121,0.141,T,Y,A,26,15-NOV-13,NA
4NNO,1.2,TRANSPORTPROTEIN,N,0.151,0.160,T,Y,A,278,18-NOV-13,NA
4NOA,1.3,UNKNOWNFUNCTION,N,0.160,0.175,T,Y,A,107,19-NOV-13,NA
4NPD,0.9,PROTEINBINDING,N,0.113,0.130,T,Y,A,58,21-NOV-13,NA
4NXH,1.2,RNA,N,0.117,0.148,T,Y,A,26,09-DEC-13,NA
4NYQ,1.2,LIPIDBINDINGPROTEIN,N,0.146,0.192,T,Y,A,153,11-DEC-13,NA
4NZU,1.2,IMMUNESYSTEM,N,0.137,0.163,T,Y,L,422,12-DEC-13,NA
4O06,1.1,CHAPERONE,N,0.173,0.194,T,Y,A,102,13-DEC-13,NA
4O0A,1.2,DNABINDINGPROTEIN/INHIBITOR,N,0.164,0.176,T,Y,A,123,13-DEC-13,NA
4O36,1.2,HYDROLASE,N,0.185,0.226,T,Y,A,115,18-DEC-13,NA
4O41,1.2,RNA,N,NULL,0.212,T,Y,ABCD,41,18-DEC-13,NA
4O4V,1.2,ISOMERASE,N,0.146,0.156,T,Y,A,251,19-DEC-13,NA
4O6U,0.89,HEMEBINDINGPROTEIN,N,0.125,0.134,T,Y,A,182,23-DEC-13,NA
4O8H,0.85,ISOMERASE,N,0.108,0.119,T,Y,A,164,27-DEC-13,NA
4O8O,1.2,HYDROLASE,N,0.139,0.156,T,Y,A,303,28-DEC-13,NA
4OB0,1.2,LYASE,N,0.154,0.186,T,Y,A,430,06-JAN-14,NA
4OCB,0.75,DNA,N,0.122,0.134,T,Y,A,12,08-JAN-14,NA
4OD6,1.2,HYDROLASE,N,0.183,0.209,T,Y,A,82,10-JAN-14,NA
4OH0,1.3,HYDROLASE,N,0.151,0.180,T,Y,A,242,16-JAN-14,NA
4OLR,1.1,PROTEINFIBRIL,N,0.153,0.187,F,Y,AB,10,24-JAN-14,NA
4OOX,1.2,VIRALPROTEIN,N,0.121,0.143,T,Y,A,308,04-FEB-14,NA
4OQV,1.2,OXIDOREDUCTASE/OXIDOREDUCTASEINHIBITOR10-FEB-14,N,0.142,0.157,T,Y,A,353,4OQV,NA
4OUS,1.1,SIGNALINGPROTEIN,N,0.152,0.161,T,Y,A,132,18-FEB-14,NA
4OXX,1.2,ELECTRONTRANSPORT,N,0.142,0.160,T,Y,A,153,07-FEB-14,NA
4OY3,1.2,HYDROLASE,N,0.130,0.145,T,Y,A,230,10-FEB-14,NA
4OY5,0.89,STRUCTURALPROTEIN,N,0.068,0.077,T,Y,A,14,10-FEB-14,NA
4OY6,1.3,OXIDOREDUCTASE,Y,0.125,0.140,T,Y,A,186,11-FEB-14,NA
4P3V,1.3,DNABINDINGPROTEIN,N,0.157,0.173,T,Y,A,72,10-MAR-14,NA
4P40,1.2,TRANSPORTPROTEIN,N,0.144,0.162,T,Y,A,285,10-MAR-14,NA
4P47,1.3,SOLUTE-BINDINGPROTEIN,N,0.165,0.188,T,Y,A,320,12-MAR-14,NA
4P7X,1.3,OXIDOREDUCTASE,N,0.137,0.162,T,Y,A,286,28-MAR-14,NA
4P82,1.3,UNKNOWNFUNCTION,N,0.180,0.206,T,Y,A,180,30-MAR-14,NA
4P8B,1.3,TRANSPORTPROTEIN,N,0.155,0.174,T,Y,A,307,31-MAR-14,NA
4PAK,1.2,SOLUTE-BINDINGPROTEIN,N,0.154,0.164,T,Y,A,296,09-APR-14,NA
4PBH,1.2,SOLUTE-BINDINGPROTEIN,N,0.142,0.155,T,Y,A,293,12-APR-14,NA
4PC9,1.3,SOLUTE-BINDINGPROTEIN,N,0.136,0.148,T,Y,NA,289,14-APR-14,NA
4PF3,1.1,TRANSCRIPTION/TRANSCRIPTIONINHIBITOR,N,0.155,0.177,T,Y,A,249,28-APR-14,NA
