PDB,RES,CLASS,COMPLEX,RVALUE,RFREE,STRUCFAC,CHAINS,DATE,COMMENTS
1CXQ,1,TRANSFERASE,N,0.129,0.157,Y,A,30-AUG-99,NA
1CY5,1.3,APOPTOSIS,N,NULL,0.199,N,A,31-AUG-99,NA
1CZ9,1.2,TRANSFERASE,N,0.146,0.150,Y,A,01-SEP-99,NA
1CZP,1.2,ELECTRONTRANSPORT,N,0.143,0.184,Y,AB,06-SEP-99,NA
1D11,1.2,DNA,N,0.175,NULL,N,A,20-OCT-89,NA
1D35,1.3,DNA,N,0.174,NULL,N,A,23-APR-91,NA
1D39,1.2,DNA,N,0.198,NULL,Y,AB,07-MAY-91,NA
1D40,1.3,DNA,N,0.209,NULL,Y,AB,07-MAY-91,NA
1D41,1.3,DNA,N,0.208,NULL,Y,AB,07-MAY-91,NA
1D48,1,DNA,N,0.185,NULL,N,AB,11-SEP-91,NA
1D4O,1.2,OXIDOREDUCTASE,N,0.167,0.223,Y,A,04-OCT-99,NA
1D4T,1.1,SIGNALINGPROTEIN,Y,0.127,0.165,Y,A,06-OCT-99,NA
1D5T,1,HYDROLASEINHIBITOR,N,NULL,0.208,Y,A,11-OCT-99,NA
1D61,1.3,DNA,N,0.152,NULL,Y,A,26-FEB-92,NA
1D76,1.3,DNA,N,0.138,NULL,Y,AB,19-MAY-92,NA
1D8G,0.74,DNA,N,0.105,0.131,Y,A,23-OCT-99,NA
1D8X,1.2,DNA,N,0.188,0.246,Y,AB,26-OCT-99,NA
1DBF,1.3,ISOMERASE,N,0.169,0.235,Y,ABC,02-NOV-99,NA
1DC0,1.3,DNA,N,0.172,0.190,Y,AB,03-NOV-99,NA
1DCG,1,DNA,N,0.175,NULL,N,AB,29-AUG-88,NA
1DCS,1.3,OXIDOREDUCTASE,N,NULL,0.150,Y,A,05-JUN-98,NA
1DG6,1.3,APOPTOSIS,N,NULL,0.197,Y,A,23-NOV-99,NA
1DJ6,1,DNA,Y,0.169,0.169,Y,AB,01-DEC-99,NA
1DJR,1.3,TOXIN,Y,0.133,0.189,Y,DEFGH,03-DEC-99,NA
1DJT,1.2,TOXIN,N,0.109,NULL,Y,AB,05-DEC-99,NA
1DPL,0.83,DNA,N,0.117,0.121,Y,AB,27-DEC-99,NA
1DPN,0.95,DNA,N,0.160,0.159,Y,NA,27-DEC-99,NA
1DS1,1.1,OXIDOREDUCTASELYASE,Y,NULL,0.166,N,A,06-JAN-00,NA
1DY5,0.87,HYDROLASE,N,0.101,0.120,Y,AB,27-JAN-00,NA
1E29,1.2,ELECTRONTRANSPORT,N,0.153,0.212,Y,A,19-MAY-00,NA
1E4M,1.2,HYDROLASE,N,NULL,0.142,Y,M,10-JUL-00,NA
1E58,1.3,ISOMERASE,N,0.121,0.168,Y,A,19-JUL-00,NA
1E9G,1.1,HYDROLASE,N,0.136,NULL,Y,AB,12-OCT-00,NA
1E9W,1,ANTIBIOTIC,N,0.112,0.142,Y,A,27-OCT-00,NA
1EAQ,1.3,TRANSCRIPTION/DNA,N,0.149,0.167,Y,AB,14-JUL-01,NA
1EAX,1.3,HYDROLASE,N,0.184,0.193,N,A,17-JUL-01,NA
1EB6,1,HYDROLASE,N,NULL,0.126,Y,A,19-JUL-01,NA
1EM0,0.9,DNA,Y,0.151,0.172,Y,ABCD,14-MAR-00,NA
1EN3,0.98,DNA,N,NULL,0.159,Y,A,20-MAR-00,NA
1EN8,0.98,DNA,N,NULL,0.141,Y,A,20-MAR-00,NA
1EN9,0.98,DNA,N,NULL,0.151,Y,A,20-MAR-00,NA
1ENE,0.98,DNA,N,NULL,0.148,Y,A,21-MAR-00,NA
1ENN,0.89,DNA,N,0.140,0.161,Y,AB,21-MAR-00,NA
1ES9,1.3,HYDROLASE,N,0.192,0.217,Y,NA,07-APR-00,NA
1ET1,0.9,HORMONE/GROWTHFACTOR,N,NULL,0.140,N,AB,12-APR-00,NA
1ETL,0.89,ENTEROTOXIN,N,0.073,NULL,Y,A,15-MAR-94,NA
1ETM,0.89,ENTEROTOXIN,N,0.065,NULL,Y,A,15-MAR-94,NA
1ETN,0.89,ENTEROTOXIN,N,0.088,NULL,Y,A,15-MAR-94,NA
1EU1,1.3,OXIDOREDUCTASE,N,NULL,0.145,N,A,13-APR-00,NA
1EUW,1.1,HYDROLASE,N,0.141,0.164,Y,A,17-APR-00,NA
1F27,1.3,RNA,N,0.199,0.238,N,NA,23-MAY-00,NA
1F86,1.1,TRANSPORTPROTEIN,N,0.140,0.177,Y,AB,29-JUN-00,NA
1F94,0.97,TOXIN,N,0.123,0.177,Y,A,06-JUL-00,NA
1F98,1.1,SIGNALINGPROTEIN,N,0.138,0.176,Y,A,07-JUL-00,NA
1F9I,1.1,SIGNALINGPROTEIN,N,0.146,0.171,Y,A,10-JUL-00,NA
1F9V,1.3,CONTRACTILEPROTEIN,N,0.218,0.242,Y,A,11-JUL-00,NA
1FCY,1.3,GENEREGULATION,N,0.134,0.164,Y,A,19-JUL-00,NA
1FD5,1.1,DNA,N,NULL,0.203,Y,AB,19-JUL-00,NA
1FK5,1.3,LIPIDTRANSPORT,N,NULL,0.188,Y,A,09-AUG-00,NA
1FLM,1.3,ELECTRONTRANSPORT,N,NULL,0.182,Y,AB,10-MAR-99,NA
1FQ2,1.2,DNA,N,0.139,0.215,Y,NA,01-SEP-00,NA
1FSG,1.1,TRANSFERASE,N,NULL,0.154,Y,AC,08-SEP-00,NA
1FUS,1.3,HYDROLASE(ENDORIBONUCLEASE),N,0.187,NULL,N,A,18-JAN-93,NA
1FYE,1.2,HYDROLASE,N,0.157,0.191,N,A,29-SEP-00,NA
1G2B,1.1,METALBINDINGPROTEIN,N,NULL,0.202,Y,A,18-OCT-00,NA
1G2Y,1,TRANSCRIPTION,N,0.195,0.198,Y,ABCD,23-OCT-00,NA
1G2Z,1.1,TRANSCRIPTION,N,0.216,0.243,Y,AB,23-OCT-00,NA
1G39,1.2,TRANSCRIPTION,N,0.256,0.278,Y,ABCD,23-OCT-00,NA
1G4I,0.97,HYDROLASE,N,NULL,NULL,Y,A,27-OCT-00,NA
1G4Q,1.1,DNA-RNAHYBRID,N,NULL,0.186,Y,A,27-OCT-00,NA
1G61,1.3,TRANSLATION,N,NULL,0.179,Y,AB,02-NOV-00,NA
1G66,0.9,HYDROLASE,N,0.107,0.132,N,A,03-NOV-00,NA
1G6X,0.86,HYDROLASEINHIBITOR,N,0.107,0.140,Y,A,08-NOV-00,NA
1G9W,1.3,STRUCTURALPROTEIN,N,NULL,0.194,N,A,28-NOV-00,NA
1GA6,1,HYDROLASE/HYDROLASEINHIBITOR,N,0.115,0.131,Y,A,29-NOV-00,NA
1GCI,0.78,SERINEPROTEASE,N,0.099,0.103,N,A,02-SEP-98,NA
1GHG,0.98,ANTIBIOTIC,N,0.150,0.150,N,ABCD,13-DEC-00,NA
1GK9,1.3,ANTIBIOTICRESISTANCE,N,NULL,0.169,Y,A,10-AUG-01,NA
1GKM,1,LYASE,N,NULL,0.135,Y,A,16-AUG-01,NA
1GKP,1.3,HYDROLASE,N,0.154,0.184,Y,ABCDEF,20-AUG-01,NA
1GMX,1.1,TRANSFERASE,N,0.128,0.151,Y,A,25-SEP-01,NA
1GNT,1.3,OXIDOREDUCTASE,N,0.158,0.173,Y,A,08-OCT-01,NA
1GO6,0.98,ANTIBIOTIC/PEPTIDE,Y,0.130,0.159,N,ACEGIKMO,19-OCT-01,NA
1GU2,1.2,OXIDOREDUCTASE(CYTOCHROME),N,0.148,0.186,Y,AB,22-JAN-02,NA
1GWE,0.88,OXIDOREDUCTASE,N,0.089,0.096,Y,A,15-MAR-02,NA
1GWM,1.1,CARBOHYDRATEBINDINGDOMAIN,Y,0.129,0.156,Y,A,19-MAR-02,NA
1GXT,1.3,PHOSPHATASE,N,0.136,0.168,Y,A,11-APR-02,NA
1GXU,1.3,PHOSPHATASE,N,0.133,0.161,Y,A,11-APR-02,NA
1GYO,1.2,ELECTRONTRANSPORT,N,0.131,0.157,Y,AB,29-APR-02,NA
1H12,1.2,HYDROLASE,N,0.108,0.130,Y,A,02-JUL-02,NA
1H1N,1.1,HYDROLASE,N,0.133,0.171,Y,AB,19-JUL-02,NA
1H4A,1.1,EYELENSPROTEIN,N,0.157,0.182,Y,X,25-FEB-03,NA
1H4G,1.1,GLYCOSIDEHYDROLASE,N,NULL,0.181,Y,AB,11-MAY-01,NA
1H4X,1.2,CELLDIFFERENTIATION,N,NULL,0.164,Y,AB,15-MAY-01,NA
1H5V,1.1,HYDROLASE,Y,0.121,0.138,Y,A,28-MAY-01,NA
1H97,1.2,OXYGENTRANSPORT,N,NULL,0.173,Y,AB,02-MAR-01,NA
1HDH,1.3,HYDROLASE,N,0.200,0.229,Y,AB,16-NOV-00,NA
1HDO,1.1,BILIVERDIN-IXBETAREDUCTASE,Y,0.125,0.158,N,A,16-NOV-00,NA
1HG7,1.1,ANTIFREEZEPROTEIN,N,0.120,0.169,Y,A,13-DEC-00,NA
1HH3,1,ANTIBIOTIC,N,0.116,0.148,Y,ABCD,19-DEC-00,NA
1HHC,1.1,ANTIBIOTIC,N,0.224,0.264,Y,ABCD,22-DEC-00,NA
1HHU,0.89,ANTIBIOTIC,Y,0.084,0.100,Y,ABCD,28-DEC-00,NA
1HHY,0.89,ANTIBIOTIC,Y,0.122,0.139,Y,AB,29-DEC-00,NA
1HHZ,0.99,ANTIBIOTIC/PEPTIDE,Y,0.108,0.140,Y,ABC,29-DEC-00,NA
1HJ8,1,HYDROLASE,N,0.1186,0.1491,Y,A,09-JAN-01,NA
1HJ9,0.95,HYDROLASE,N,NULL,0.1399,Y,A,10-JAN-01,NA
1HJE,0.75,TOXIN,N,NULL,NULL,N,A,15-JAN-01,NA
1HK0,1.3,EYELENSPROTEIN,N,0.167,0.207,Y,X,05-MAR-03,NA
1HQ2,1.3,TRANSFERASE,Y,0.134,0.172,Y,NA,13-DEC-00,NA
1HQJ,1.2,DENOVOPROTEIN,N,0.170,0.223,N,NA,18-DEC-00,NA
1HXH,1.2,OXIDOREDUCTASE,N,0.146,0.180,N,ABCD,15-JAN-01,NA
1HYO,1.3,HYDROLASE,N,0.181,0.199,Y,AB,21-JAN-01,NA
1I0J,1.1,DNA,N,NULL,0.169,Y,AB,29-JAN-01,NA
1I0K,1.1,DNA,N,NULL,0.178,Y,AB,29-JAN-01,NA
1I0M,1.1,DNA,N,NULL,0.170,Y,AB,29-JAN-01,NA
1I0N,1.3,DNA,N,NULL,0.190,Y,AB,29-JAN-01,NA
1I0P,1.3,DNA,N,NULL,0.179,Y,AB,29-JAN-01,NA
1I0Q,1.3,DNA,N,NULL,0.190,N,AB,29-JAN-01,NA
1I0T,0.6,DNA,N,NULL,0.185,N,AB,29-JAN-01,NA
1I0V,1.2,HYDROLASE,Y,0.178,0.192,Y,A,30-JAN-01,NA
1I12,1.3,TRANSFERASE,Y,0.210,0.221,Y,ABCD,30-JAN-01,NA
1I1W,0.89,HYDROLASE,N,NULL,0.106,Y,A,04-FEB-01,NA
1I24,1.2,BIOSYNTHETICPROTEIN,N,0.192,0.198,Y,A,05-FEB-01,NA
1I27,1,TRANSCRIPTION,N,0.127,0.146,N,A,07-FEB-01,NA
1I2T,1,LIGASE,N,0.154,0.171,Y,A,12-FEB-01,NA
1I40,1.1,HYDROLASE,N,0.117,0.153,Y,A,19-FEB-01,NA
1I4U,1.1,TRANSPORTPROTEIN,N,0.150,0.188,Y,AB,23-FEB-01,NA
1I76,1.2,HYDROLASE,Y,0.132,0.171,Y,A,08-MAR-01,NA
1I7J,1.2,RNA,N,0.155,NULL,Y,NA,09-MAR-01,NA
1I8O,1.1,ELECTRONTRANSPORT,Y,0.140,0.162,Y,A,15-MAR-01,NA
1I8V,1.3,HYDROLASE,N,0.132,0.156,N,AB,16-MAR-01,NA
1ICK,0.95,DNA,N,NULL,NULL,Y,AB,01-APR-01,NA
1IFC,1.2,LIPIDBINDINGPROTEIN,N,0.169,NULL,N,A,19-DEC-91,NA
1IJV,1.2,DEFENSIN,N,0.157,0.193,Y,AB,30-APR-01,NA
1IQZ,0.92,ELECTRONTRANSPORT,N,0.098,0.110,Y,A,30-AUG-01,NA
1IRO,1.1,ELECTRONTRANSPORT,N,NULL,NULL,Y,A,13-DEC-95,NA
1IS9,1,HYDROLASE,N,NULL,0.149,N,A,26-NOV-01,NA
1ISP,1.3,HYDROLASE,N,NULL,0.232,Y,A,19-DEC-01,NA
1ITT,1,STRUCTURALPROTEIN,N,NULL,0.294,N,A,03-FEB-02,NA
1ITX,1.1,HYDROLASE,N,0.117,0.137,Y,A,13-FEB-02,NA
1IX9,0.9,OXIDOREDUCTASE,N,0.107,0.127,Y,AB,17-JUN-02,NA
1IXG,1.1,PHOSPHATETRANSPORT,N,0.112,0.139,N,A,01-AUG-96,NA
1IXH,0.98,PHOSPHATETRANSPORT,Y,0.117,0.141,N,A,01-AUG-96,NA
1J0O,1.1,ELECTRONTRANSPORT,N,0.108,0.167,N,A,19-NOV-02,NA
1J0P,0.91,ELECTRONTRANSPORT,N,0.106,0.136,N,A,19-NOV-02,NA
1J2R,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.146,0.165,Y,ABCD,09-JAN-03,NA
1J8G,0.61,RNA,N,NULL,0.112,N,ABCD,21-MAY-01,NA
1J98,1.2,SIGNALINGPROTEIN,N,0.127,0.146,N,A,24-MAY-01,NA
1J9B,1.3,OXIDOREDUCTASE,N,0.140,0.188,Y,A,24-MAY-01,NA
1JBE,1.1,SIGNALINGPROTEIN,N,0.113,0.152,Y,A,04-JUN-01,NA
1JCD,1.3,MEMBRANEPROTEIN,N,NULL,0.209,Y,ABC,08-JUN-01,NA
1JCJ,1.1,LYASE,N,NULL,0.168,Y,AB,09-JUN-01,NA
1JET,1.2,COMPLEX(PEPTIDETRANSPORT/PEPTIDE),Y,NULL,0.255,N,A,03-JUL-96,NA
1JF8,1.1,OXIDOREDUCTASE,N,0.208,0.227,Y,A,20-JUN-01,NA
1JFB,1,OXIDOREDUCTASE,N,NULL,0.139,N,A,20-JUN-01,NA
1JG1,1.2,TRANSFERASE,N,0.150,0.200,Y,A,22-JUN-01,NA
1JGM,1.3,HYDROLASE,N,0.204,0.236,N,AB,26-JUN-01,NA
1JGR,1.2,DNA,N,0.173,0.222,N,AB,26-JUN-01,NA
1JHG,1.3,DNABINDINGPROTEIN,N,0.127,0.172,Y,A,19-JUL-96,NA
1JK3,1.1,HYDROLASE,N,0.169,0.196,N,A,11-JUL-01,NA
1JL1,1.3,HYDROLASE,N,NULL,0.263,N,A,13-JUL-01,NA
1JM1,1.1,ELECTRONTRANSPORTOXIDOREDUCTASE,N,0.106,0.125,Y,A,17-JUL-01,NA
1JND,1.3,HORMONE/GROWTHFACTOR,N,NULL,0.202,Y,A,23-JUL-01,NA
1JNI,1.3,OXIDOREDUCTASE,N,0.160,0.214,N,A,24-JUL-01,NA
1JO8,1.3,STRUCTURALPROTEIN,N,0.145,0.178,Y,A,27-JUL-01,NA
1JSE,1.1,HYDROLASE,N,0.104,0.140,Y,A,05-JAN-98,NA
1K1T,1.2,HYDROLASE/HYDROLASEINHIBITOR,N,0.196,0.227,N,AB,25-SEP-01,NA
1K2A,1,HYDROLASE,N,0.135,0.169,Y,A,26-SEP-01,NA
1K3X,1.3,HYDROLASE/DNA,N,NULL,0.181,N,NA,04-OCT-01,NA
1K4I,0.98,ISOMERASE,N,NULL,0.196,N,A,08-OCT-01,NA
1K5C,0.96,HYDROLASE,N,0.114,0.140,Y,A,10-OCT-01,NA
1K5N,1.1,IMMUNESYSTEM,N,0.123,0.148,Y,A,11-OCT-01,NA
1K6A,1.1,HYDROLASE,N,0.109,0.146,Y,A,15-OCT-01,NA
1K7C,1.1,HYDROLASE,N,0.110,0.134,Y,A,19-OCT-01,NA
1K8U,1.1,SIGNALINGPROTEIN,N,0.186,0.221,N,A,25-OCT-01,NA
1KA1,1.3,HYDROLASE,Y,0.134,0.169,Y,A,31-OCT-01,NA
1KG2,1.2,HYDROLASE,N,NULL,0.163,N,A,26-NOV-01,NA
1KGK,1,DNA,N,0.128,NULL,Y,AB,27-NOV-01,NA
1KJQ,1.1,TRANSFERASE,N,0.190,0.214,Y,AB,05-DEC-01,NA
1KMT,1.3,PROTEINBINDING,N,0.160,0.195,Y,AB,17-DEC-01,NA
1KMV,1.1,OXIDOREDUCTASE,Y,NULL,0.181,Y,A,17-DEC-01,NA
1KNG,1.1,OXIDOREDUCTASE,N,NULL,0.151,Y,A,18-DEC-01,NA
1KNL,1.2,HYDROLASE,N,0.152,0.166,N,A,19-DEC-01,NA
1KQ6,1.2,PROTEINBINDING,N,0.132,0.186,Y,A,04-JAN-02,NA
1KQP,1,LIGASE,N,0.118,0.147,Y,AB,07-JAN-02,NA
1KT6,1.1,TRANSPORTPROTEIN,N,0.262,0.286,N,A,15-JAN-02,NA
1KTH,0.95,STRUCTURALPROTEIN,N,0.139,0.167,Y,A,16-JAN-02,NA
1KWF,0.94,HYDROLASE,N,NULL,0.113,N,A,29-JAN-02,NA
1KYF,1.2,ENDOCYTOSIS/EXOCYTOSIS,Y,0.154,0.211,Y,A,04-FEB-02,NA
1KZK,1.1,HYDROLASE/HYDROLASEINHIBITOR,Y,0.152,0.189,Y,AB,06-FEB-02,NA
1L0I,1.2,LIPIDTRANSPORT,N,NULL,0.193,N,A,11-FEB-02,NA
1L2X,1.3,RNA,N,NULL,0.207,Y,A,25-FEB-02,NA
1L3K,1.1,RNABINDINGPROTEIN,N,0.156,0.194,Y,A,27-FEB-02,NA
1L9L,0.92,ANTIMICROBIALPROTEIN,N,0.138,0.190,Y,A,25-MAR-02,NA
1LB3,1.2,METALBINDINGPROTEIN,N,0.134,0.160,N,A,02-APR-02,NA
1LC0,1.2,OXIDOREDUCTASE,N,0.222,0.229,Y,A,04-APR-02,NA
1LF7,1.2,IMMUNESYSTEM,N,0.223,0.229,N,A,10-APR-02,NA
1LKK,1,COMPLEX(TYROSINEKINASE/PEPTIDE),Y,NULL,NULL,N,A,10-NOV-95,NA
1LNI,1,HYDROLASE,N,NULL,NULL,Y,AB,03-MAY-02,NA
1LQ9,1.3,OXIDOREDUCTASE,N,NULL,0.168,Y,AB,09-MAY-02,NA
1LQT,1.1,OXIDOREDUCTASE,N,0.134,0.153,Y,AB,13-MAY-02,NA
1LS1,1.1,PROTEINTRANSPORT,N,0.137,0.169,Y,A,16-MAY-02,NA
1LS9,1.3,ELECTRONTRANSPORT,N,0.149,0.190,Y,A,17-MAY-02,NA
1LU0,1,HYDROLASEINHIBITOR,N,0.121,0.145,Y,AB,21-MAY-02,NA
1LU4,1.1,OXIDOREDUCTASE,N,0.153,0.216,Y,A,21-MAY-02,NA
1LUQ,0.96,BINDINGPROTEIN,N,NULL,0.165,N,AB,23-MAY-02,NA
1LWB,1.1,HYDROLASE,N,0.103,0.137,N,A,31-MAY-02,NA
1LZL,1.3,HYDROLASE,N,NULL,0.213,Y,A,10-JUN-02,NA
1M15,1.2,TRANSFERASE,N,0.123,0.140,Y,A,17-JUN-02,NA
1M1Q,0.97,ELECTRONTRANSPORT,N,0.135,0.151,Y,A,20-JUN-02,NA
1M24,0.9,ANTIBIOTIC,N,0.076,0.092,Y,AB,21-JUN-02,NA
1M2B,1.3,ELECTRONTRANSPORT,N,0.145,0.196,N,AB,22-JUN-02,NA
1M2D,1.1,ELECTRONTRANSPORT,N,0.138,0.162,N,AB,22-JUN-02,NA
1M40,0.85,HYDROLASE,N,NULL,0.112,Y,A,01-JUL-02,NA
1M4L,1.3,HYDROLASE,N,0.104,0.145,Y,A,03-JUL-02,NA
1M69,1.1,DNA,N,0.159,0.210,Y,A,15-JUL-02,NA
1M70,1.3,ELECTRONTRANSPORT,N,0.155,0.202,Y,ABCD,18-JUL-02,NA
1M77,1.3,DNA,N,0.163,0.185,Y,A,18-JUL-02,NA
1M9Z,1.1,HORMONE/GROWTHFACTOR,N,0.156,0.166,N,A,30-JUL-02,NA
1MA8,1.3,DNA,N,NULL,0.173,N,AB,01-AUG-02,NA
1MC2,0.85,TOXIN,N,0.104,0.121,Y,A,05-AUG-02,NA
1MEX,1.3,IMMUNESYSTEM,N,NULL,0.213,Y,L,08-AUG-02,NA
1MF5,1.1,DNA,N,0.216,0.224,Y,AB,09-AUG-02,NA
1MF7,1.3,CELLADHESION,N,NULL,0.223,Y,A,09-AUG-02,NA
1MFM,1,OXIDOREDUCTASE,N,NULL,NULL,Y,A,16-APR-99,NA
1MGO,1.2,OXIDOREDUCTASE,N,0.188,0.209,Y,AB,15-AUG-02,NA
1MJ4,1.2,OXIDOREDUCTASE,N,0.119,0.139,N,A,26-AUG-02,NA
1MJ5,0.95,HYDROLASE,N,0.112,0.141,Y,A,27-AUG-02,NA
1MJN,1.3,IMMUNESYSTEM,N,NULL,0.202,N,A,28-AUG-02,NA
1MJU,1.2,IMMUNESYSTEM,N,0.124,0.154,Y,L,28-AUG-02,NA
1MLX,1.3,DNA,N,0.141,NULL,Y,AB,31-AUG-02,NA
1MN8,1,VIRALPROTEIN,N,0.133,0.169,Y,ABCD,05-SEP-02,NA
1MOO,1.1,LYASE,N,0.157,0.177,Y,A,09-SEP-02,NA
1MQK,1.3,IMMUNESYSTEM,N,0.136,0.196,Y,L,16-SEP-02,NA
1MUN,1.2,DNAREPAIR,N,NULL,0.169,N,A,26-AUG-98,NA
1MUW,0.86,ISOMERASE,N,0.126,0.143,Y,A,24-SEP-02,NA
1MWQ,0.99,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.109,0.132,Y,AB,30-SEP-02,NA
1N0Q,1.3,STRUCTURALPROTEIN,N,0.172,0.187,Y,AB,14-OCT-02,NA
1N1O,1.2,DNA,N,0.160,0.200,Y,AB,18-OCT-02,NA
1N3L,1.2,LIGASE,N,0.180,0.223,Y,A,28-OCT-02,NA
1N40,1.1,OXIDOREDUCTASE,N,0.134,0.153,Y,A,30-OCT-02,NA
1N62,1.1,OXIDOREDUCTASE,N,0.144,0.172,N,AD,08-NOV-02,NA
1N7A,1.2,DNARNA,N,0.125,0.156,N,ABCDEFGH,13-NOV-02,NA
1N8K,1.1,OXIDOREDUCTASE,N,0.145,0.167,Y,AB,21-NOV-02,NA
1N9B,0.9,HYDROLASE,N,0.125,0.150,Y,A,22-NOV-02,NA
1NAZ,1,OXYGENSTORAGE/TRANSPORT,N,NULL,0.146,Y,A,30-NOV-02,NA
1NCW,1.3,IMMUNESYSTEM,Y,NULL,0.208,Y,L,05-DEC-02,NA
1NEY,1.2,ISOMERASE,Y,0.125,0.150,Y,AB,12-DEC-02,NA
1NH0,1,HYDROLASE/HYDROLASEINHIBITOR,N,0.131,0.165,Y,AB,18-DEC-02,NA
1NKD,1.1,TRANSCRIPTIONREGULATION,N,0.101,0.134,Y,A,23-SEP-97,NA
1NKI,0.95,TRANSFERASE,N,0.148,0.176,Y,AB,03-JAN-03,NA
1NNF,1.1,METALBINDINGPROTEIN,N,0.159,0.180,Y,A,13-JAN-03,NA
1NOT,1.2,CONOTOXIN,N,0.178,0.222,N,A,02-MAY-96,NA
1NPI,1.2,TOXIN,N,0.103,0.159,Y,A,17-JAN-03,NA
1NQJ,1,HYDROLASE,N,0.142,0.168,Y,AB,21-JAN-03,NA
1NUY,1.3,HYDROLASE,Y,0.158,0.206,Y,A,01-FEB-03,NA
1NWW,1.2,HYDROLASE,N,0.148,0.175,Y,AB,07-FEB-03,NA
1NWZ,0.82,SIGNALINGPROTEIN,N,0.123,0.144,Y,A,07-FEB-03,NA
1NXM,1.3,ISOMERASE,N,0.145,0.174,Y,AB,11-FEB-03,NA
1NZ0,1.2,HYDROLASE,N,0.163,0.217,Y,ACBD,14-FEB-03,NA
1O0K,1.2,DNA,Y,0.163,0.206,Y,ABCD,22-FEB-03,NA
