PDB,RES,CLASS,COMPLEX,RVALUE,RFREE,STRUCFAC,CHAINS,RESIDUES,DATE,COMMENTS
1DJ6,1,DNA,Y,0.169,0.169,Y,AB,12,01-DEC-99,NA
1DJR,1.3,TOXIN,Y,0.133,0.189,Y,DEFGH,515,03-DEC-99,NA
1DJT,1.2,TOXIN,N,0.109,NULL,Y,AB,128,05-DEC-99,NA
1DPL,0.83,DNA,N,0.117,0.121,Y,AB,18,27-DEC-99,NA
1DPN,0.95,DNA,N,0.160,0.159,Y,NA,22,27-DEC-99,NA
1DS1,1.1,OXIDOREDUCTASELYASE,Y,NULL,0.166,N,A,323,06-JAN-00,NA
1DY5,0.87,HYDROLASE,N,0.101,0.120,Y,AB,246,27-JAN-00,NA
1E29,1.2,ELECTRONTRANSPORT,N,0.153,0.212,Y,A,135,19-MAY-00,NA
1E4M,1.2,HYDROLASE,N,NULL,0.142,Y,M,499,10-JUL-00,NA
1E58,1.3,ISOMERASE,N,0.121,0.168,Y,A,246,19-JUL-00,NA
1E9G,1.1,HYDROLASE,N,0.136,NULL,Y,AB,567,12-OCT-00,NA
1E9W,1,ANTIBIOTIC,N,0.112,0.142,Y,A,6,27-OCT-00,NA
1EAQ,1.3,TRANSCRIPTION/DNA,N,0.149,0.167,Y,AB,243,14-JUL-01,NA
1EAX,1.3,HYDROLASE,N,0.184,0.193,N,A,227,17-JUL-01,NA
1EB6,1,HYDROLASE,N,NULL,0.126,Y,A,177,19-JUL-01,NA
1EM0,0.9,DNA,Y,0.151,0.172,Y,ABCD,20,14-MAR-00,NA
1EN3,0.98,DNA,N,NULL,0.159,Y,A,10,20-MAR-00,NA
1EN8,0.98,DNA,N,NULL,0.141,Y,A,10,20-MAR-00,NA
1EN9,0.98,DNA,N,NULL,0.151,Y,A,10,20-MAR-00,NA
1ENE,0.98,DNA,N,NULL,0.148,Y,A,10,21-MAR-00,NA
1ENN,0.89,DNA,N,0.140,0.161,Y,AB,18,21-MAR-00,NA
1ES9,1.3,HYDROLASE,N,0.192,0.217,Y,NA,212,07-APR-00,NA
1ET1,0.9,HORMONE/GROWTHFACTOR,N,NULL,0.140,N,AB,68,12-APR-00,NA
1ETL,0.89,ENTEROTOXIN,N,0.073,NULL,Y,A,12,15-MAR-94,NA
1ETM,0.89,ENTEROTOXIN,N,0.065,NULL,Y,A,12,15-MAR-94,NA
1ETN,0.89,ENTEROTOXIN,N,0.088,NULL,Y,A,12,15-MAR-94,NA
1EU1,1.3,OXIDOREDUCTASE,N,NULL,0.145,N,A,766,13-APR-00,NA
1EUW,1.1,HYDROLASE,N,0.141,0.164,Y,A,136,17-APR-00,NA
1F27,1.3,RNA,N,0.199,0.238,N,NA,30,23-MAY-00,NA
1F86,1.1,TRANSPORTPROTEIN,N,0.140,0.177,Y,AB,230,29-JUN-00,NA
1F94,0.97,TOXIN,N,0.123,0.177,Y,A,63,06-JUL-00,NA
1F98,1.1,SIGNALINGPROTEIN,N,0.138,0.176,Y,A,125,07-JUL-00,NA
1F9I,1.1,SIGNALINGPROTEIN,N,0.146,0.171,Y,A,125,10-JUL-00,NA
1F9V,1.3,CONTRACTILEPROTEIN,N,0.218,0.242,Y,A,313,11-JUL-00,NA
1FCY,1.3,GENEREGULATION,N,0.134,0.164,Y,A,236,19-JUL-00,NA
1FD5,1.1,DNA,N,NULL,0.203,Y,AB,12,19-JUL-00,NA
1FK5,1.3,LIPIDTRANSPORT,N,NULL,0.188,Y,A,93,09-AUG-00,NA
1FLM,1.3,ELECTRONTRANSPORT,N,NULL,0.182,Y,AB,244,10-MAR-99,NA
1FQ2,1.2,DNA,N,0.139,0.215,Y,NA,24,01-SEP-00,NA
1FSG,1.1,TRANSFERASE,N,NULL,0.154,Y,AC,462,08-SEP-00,NA
1FUS,1.3,HYDROLASE(ENDORIBONUCLEASE),N,0.187,NULL,N,A,105,18-JAN-93,NA
1FYE,1.2,HYDROLASE,N,0.157,0.191,N,A,220,29-SEP-00,NA
1G2B,1.1,METALBINDINGPROTEIN,N,NULL,0.202,Y,A,62,18-OCT-00,NA
1G2Y,1,TRANSCRIPTION,N,0.195,0.198,Y,ABCD,116,23-OCT-00,NA
1G2Z,1.1,TRANSCRIPTION,N,0.216,0.243,Y,AB,61,23-OCT-00,NA
1G39,1.2,TRANSCRIPTION,N,0.256,0.278,Y,ABCD,117,23-OCT-00,NA
1G4I,0.97,HYDROLASE,N,NULL,NULL,Y,A,123,27-OCT-00,NA
1G4Q,1.1,DNA-RNAHYBRID,N,NULL,0.186,Y,A,20,27-OCT-00,NA
1G61,1.3,TRANSLATION,N,NULL,0.179,Y,AB,450,02-NOV-00,NA
1G66,0.9,HYDROLASE,N,0.107,0.132,N,A,207,03-NOV-00,NA
1G6X,0.86,HYDROLASEINHIBITOR,N,0.107,0.140,Y,A,58,08-NOV-00,NA
1G9W,1.3,STRUCTURALPROTEIN,N,NULL,0.194,N,A,21,28-NOV-00,NA
1GA6,1,HYDROLASE/HYDROLASEINHIBITOR,N,0.115,0.131,Y,A,370,29-NOV-00,NA
1GCI,0.78,SERINEPROTEASE,N,0.099,0.103,N,A,269,02-SEP-98,NA
1GHG,0.98,ANTIBIOTIC,N,0.150,0.150,N,ABCD,4,13-DEC-00,NA
1GK9,1.3,ANTIBIOTICRESISTANCE,N,NULL,0.169,Y,A,765,10-AUG-01,NA
1GKM,1,LYASE,N,NULL,0.135,Y,A,506,16-AUG-01,NA
1GKP,1.3,HYDROLASE,N,0.154,0.184,Y,ABCDEF,2742,20-AUG-01,NA
1GMX,1.1,TRANSFERASE,N,0.128,0.151,Y,A,107,25-SEP-01,NA
1GNT,1.3,OXIDOREDUCTASE,N,0.158,0.173,Y,A,553,08-OCT-01,NA
1GO6,0.98,ANTIBIOTIC/PEPTIDE,Y,0.130,0.159,N,ACEGIKMO,12,19-OCT-01,NA
1GU2,1.2,OXIDOREDUCTASE(CYTOCHROME),N,0.148,0.186,Y,AB,247,22-JAN-02,NA
1GWE,0.88,OXIDOREDUCTASE,N,0.089,0.096,Y,A,498,15-MAR-02,NA
1GWM,1.1,CARBOHYDRATEBINDINGDOMAIN,Y,0.129,0.156,Y,A,153,19-MAR-02,NA
1GXT,1.3,PHOSPHATASE,N,0.136,0.168,Y,A,88,11-APR-02,NA
1GXU,1.3,PHOSPHATASE,N,0.133,0.161,Y,A,88,11-APR-02,NA
1GYO,1.2,ELECTRONTRANSPORT,N,0.131,0.157,Y,AB,212,29-APR-02,NA
1H12,1.2,HYDROLASE,N,0.108,0.130,Y,A,404,02-JUL-02,NA
1H1N,1.1,HYDROLASE,N,0.133,0.171,Y,AB,609,19-JUL-02,NA
1H4A,1.1,EYELENSPROTEIN,N,0.157,0.182,Y,X,173,25-FEB-03,NA
1H4G,1.1,GLYCOSIDEHYDROLASE,N,NULL,0.181,Y,AB,411,11-MAY-01,NA
1H4X,1.2,CELLDIFFERENTIATION,N,NULL,0.164,Y,AB,220,15-MAY-01,NA
1H5V,1.1,HYDROLASE,Y,0.121,0.138,Y,A,301,28-MAY-01,NA
1H97,1.2,OXYGENTRANSPORT,N,NULL,0.173,Y,AB,294,02-MAR-01,NA
1HDH,1.3,HYDROLASE,N,0.200,0.229,Y,AB,1048,16-NOV-00,NA
1HDO,1.1,BILIVERDIN-IXBETAREDUCTASE,Y,0.125,0.158,N,A,205,16-NOV-00,NA
1HG7,1.1,ANTIFREEZEPROTEIN,N,0.120,0.169,Y,A,66,13-DEC-00,NA
1HH3,1,ANTIBIOTIC,N,0.116,0.148,Y,ABCD,4,19-DEC-00,NA
1HHC,1.1,ANTIBIOTIC,N,0.224,0.264,Y,ABCD,4,22-DEC-00,NA
1HHU,0.89,ANTIBIOTIC,Y,0.084,0.100,Y,ABCD,4,28-DEC-00,NA
1HHY,0.89,ANTIBIOTIC,Y,0.122,0.139,Y,AB,2,29-DEC-00,NA
1HHZ,0.99,ANTIBIOTIC/PEPTIDE,Y,0.108,0.140,Y,ABC,6,29-DEC-00,NA
1HJ8,1,HYDROLASE,N,0.1186,0.1491,Y,A,219,09-JAN-01,NA
1HJ9,0.95,HYDROLASE,N,NULL,0.1399,Y,A,220,10-JAN-01,NA
1HJE,0.75,TOXIN,N,NULL,NULL,N,A,13,15-JAN-01,NA
1HK0,1.3,EYELENSPROTEIN,N,0.167,0.207,Y,X,173,05-MAR-03,NA
1HQ2,1.3,TRANSFERASE,Y,0.134,0.172,Y,NA,158,13-DEC-00,NA
1HQJ,1.2,DENOVOPROTEIN,N,0.170,0.223,N,NA,180,18-DEC-00,NA
1HXH,1.2,OXIDOREDUCTASE,N,0.146,0.180,N,ABCD,1012,15-JAN-01,NA
1HYO,1.3,HYDROLASE,N,0.181,0.199,Y,AB,835,21-JAN-01,NA
1I0J,1.1,DNA,N,NULL,0.169,Y,AB,18,29-JAN-01,NA
1I0K,1.1,DNA,N,NULL,0.178,Y,AB,18,29-JAN-01,NA
1I0M,1.1,DNA,N,NULL,0.170,Y,AB,18,29-JAN-01,NA
1I0N,1.3,DNA,N,NULL,0.190,Y,AB,18,29-JAN-01,NA
1I0P,1.3,DNA,N,NULL,0.179,Y,AB,18,29-JAN-01,NA
1I0Q,1.3,DNA,N,NULL,0.190,N,AB,18,29-JAN-01,NA
1I0T,0.6,DNA,N,NULL,0.185,N,AB,12,29-JAN-01,NA
1I0V,1.2,HYDROLASE,Y,0.178,0.192,Y,A,104,30-JAN-01,NA
1I12,1.3,TRANSFERASE,Y,0.210,0.221,Y,ABCD,619,30-JAN-01,NA
1I1W,0.89,HYDROLASE,N,NULL,0.106,Y,A,302,04-FEB-01,NA
1I24,1.2,BIOSYNTHETICPROTEIN,N,0.192,0.198,Y,A,393,05-FEB-01,NA
1I27,1,TRANSCRIPTION,N,0.127,0.146,N,A,73,07-FEB-01,NA
1I2T,1,LIGASE,N,0.154,0.171,Y,A,61,12-FEB-01,NA
1I40,1.1,HYDROLASE,N,0.117,0.153,Y,A,175,19-FEB-01,NA
1I4U,1.1,TRANSPORTPROTEIN,N,0.150,0.188,Y,AB,361,23-FEB-01,NA
1I76,1.2,HYDROLASE,Y,0.132,0.171,Y,A,163,08-MAR-01,NA
1I7J,1.2,RNA,N,0.155,NULL,Y,NA,0,09-MAR-01,NA
1I8O,1.1,ELECTRONTRANSPORT,Y,0.140,0.162,Y,A,113,15-MAR-01,NA
1I8V,1.3,HYDROLASE,N,0.132,0.156,N,AB,192,16-MAR-01,NA
1ICK,0.95,DNA,N,NULL,NULL,Y,AB,12,01-APR-01,NA
1IFC,1.2,LIPIDBINDINGPROTEIN,N,0.169,NULL,N,A,131,19-DEC-91,NA
1IJV,1.2,DEFENSIN,N,0.157,0.193,Y,AB,72,30-APR-01,NA
1IQZ,0.92,ELECTRONTRANSPORT,N,0.098,0.110,Y,A,81,30-AUG-01,NA
1IRO,1.1,ELECTRONTRANSPORT,N,NULL,NULL,Y,A,53,13-DEC-95,NA
1IS9,1,HYDROLASE,N,NULL,0.149,N,A,358,26-NOV-01,NA
1ISP,1.3,HYDROLASE,N,NULL,0.232,Y,A,179,19-DEC-01,NA
1ITT,1,STRUCTURALPROTEIN,N,NULL,0.294,N,A,21,03-FEB-02,NA
1ITX,1.1,HYDROLASE,N,0.117,0.137,Y,A,419,13-FEB-02,NA
1IX9,0.9,OXIDOREDUCTASE,N,0.107,0.127,Y,AB,410,17-JUN-02,NA
1IXG,1.1,PHOSPHATETRANSPORT,N,0.112,0.139,N,A,321,01-AUG-96,NA
1IXH,0.98,PHOSPHATETRANSPORT,Y,0.117,0.141,N,A,321,01-AUG-96,NA
1J0O,1.1,ELECTRONTRANSPORT,N,0.108,0.167,N,A,107,19-NOV-02,NA
1J0P,0.91,ELECTRONTRANSPORT,N,0.106,0.136,N,A,108,19-NOV-02,NA
1J2R,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.146,0.165,Y,ABCD,748,09-JAN-03,NA
1J8G,0.61,RNA,N,NULL,0.112,N,ABCD,24,21-MAY-01,NA
1J98,1.2,SIGNALINGPROTEIN,N,0.127,0.146,N,A,153,24-MAY-01,NA
1J9B,1.3,OXIDOREDUCTASE,N,0.140,0.188,Y,A,137,24-MAY-01,NA
1JBE,1.1,SIGNALINGPROTEIN,N,0.113,0.152,Y,A,126,04-JUN-01,NA
1JCD,1.3,MEMBRANEPROTEIN,N,NULL,0.209,Y,ABC,152,08-JUN-01,NA
1JCJ,1.1,LYASE,N,NULL,0.168,Y,AB,503,09-JUN-01,NA
1JET,1.2,COMPLEX(PEPTIDETRANSPORT/PEPTIDE),Y,NULL,0.255,N,A,520,03-JUL-96,NA
1JF8,1.1,OXIDOREDUCTASE,N,0.208,0.227,Y,A,130,20-JUN-01,NA
1JFB,1,OXIDOREDUCTASE,N,NULL,0.139,N,A,399,20-JUN-01,NA
1JG1,1.2,TRANSFERASE,N,0.150,0.200,Y,A,215,22-JUN-01,NA
1JGM,1.3,HYDROLASE,N,0.204,0.236,N,AB,663,26-JUN-01,NA
1JGR,1.2,DNA,N,0.173,0.222,N,AB,24,26-JUN-01,NA
1JHG,1.3,DNABINDINGPROTEIN,N,0.127,0.172,Y,A,101,19-JUL-96,NA
1JK3,1.1,HYDROLASE,N,0.169,0.196,N,A,158,11-JUL-01,NA
1JL1,1.3,HYDROLASE,N,NULL,0.263,N,A,152,13-JUL-01,NA
1JM1,1.1,ELECTRONTRANSPORTOXIDOREDUCTASE,N,0.106,0.125,Y,A,202,17-JUL-01,NA
1JND,1.3,HORMONE/GROWTHFACTOR,N,NULL,0.202,Y,A,400,23-JUL-01,NA
1JNI,1.3,OXIDOREDUCTASE,N,0.160,0.214,N,A,64,24-JUL-01,NA
1JO8,1.3,STRUCTURALPROTEIN,N,0.145,0.178,Y,A,58,27-JUL-01,NA
1JSE,1.1,HYDROLASE,N,0.104,0.140,Y,A,129,05-JAN-98,NA
1K1T,1.2,HYDROLASE/HYDROLASEINHIBITOR,N,0.196,0.227,N,AB,198,25-SEP-01,NA
1K2A,1,HYDROLASE,N,0.135,0.169,Y,A,136,26-SEP-01,NA
1K3X,1.3,HYDROLASE/DNA,N,NULL,0.181,N,NA,268,04-OCT-01,NA
1K4I,0.98,ISOMERASE,N,NULL,0.196,N,A,216,08-OCT-01,NA
1K5C,0.96,HYDROLASE,N,0.114,0.140,Y,A,333,10-OCT-01,NA
1K5N,1.1,IMMUNESYSTEM,N,0.123,0.148,Y,A,385,11-OCT-01,NA
1K6A,1.1,HYDROLASE,N,0.109,0.146,Y,A,302,15-OCT-01,NA
1K7C,1.1,HYDROLASE,N,0.110,0.134,Y,A,233,19-OCT-01,NA
1K8U,1.1,SIGNALINGPROTEIN,N,0.186,0.221,N,A,87,25-OCT-01,NA
1KA1,1.3,HYDROLASE,Y,0.134,0.169,Y,A,354,31-OCT-01,NA
1KG2,1.2,HYDROLASE,N,NULL,0.163,N,A,224,26-NOV-01,NA
1KGK,1,DNA,N,0.128,NULL,Y,AB,18,27-NOV-01,NA
1KJQ,1.1,TRANSFERASE,N,0.190,0.214,Y,AB,773,05-DEC-01,NA
1KMT,1.3,PROTEINBINDING,N,0.160,0.195,Y,AB,276,17-DEC-01,NA
1KMV,1.1,OXIDOREDUCTASE,Y,NULL,0.181,Y,A,186,17-DEC-01,NA
1KNG,1.1,OXIDOREDUCTASE,N,NULL,0.151,Y,A,144,18-DEC-01,NA
1KNL,1.2,HYDROLASE,N,0.152,0.166,N,A,126,19-DEC-01,NA
1KQ6,1.2,PROTEINBINDING,N,0.132,0.186,Y,A,136,04-JAN-02,NA
1KQP,1,LIGASE,N,0.118,0.147,Y,AB,542,07-JAN-02,NA
1KT6,1.1,TRANSPORTPROTEIN,N,0.262,0.286,N,A,175,15-JAN-02,NA
1KTH,0.95,STRUCTURALPROTEIN,N,0.139,0.167,Y,A,58,16-JAN-02,NA
1KWF,0.94,HYDROLASE,N,NULL,0.113,N,A,363,29-JAN-02,NA
1KYF,1.2,ENDOCYTOSIS/EXOCYTOSIS,Y,0.154,0.211,Y,A,252,04-FEB-02,NA
1KZK,1.1,HYDROLASE/HYDROLASEINHIBITOR,Y,0.152,0.189,Y,AB,198,06-FEB-02,NA
1L0I,1.2,LIPIDTRANSPORT,N,NULL,0.193,N,A,77,11-FEB-02,NA
1L2X,1.3,RNA,N,NULL,0.207,Y,A,27,25-FEB-02,NA
1L3K,1.1,RNABINDINGPROTEIN,N,0.156,0.194,Y,A,163,27-FEB-02,NA
1L9L,0.92,ANTIMICROBIALPROTEIN,N,0.138,0.190,Y,A,74,25-MAR-02,NA
1LB3,1.2,METALBINDINGPROTEIN,N,0.134,0.160,N,A,167,02-APR-02,NA
1LC0,1.2,OXIDOREDUCTASE,N,0.222,0.229,Y,A,290,04-APR-02,NA
1LF7,1.2,IMMUNESYSTEM,N,0.223,0.229,N,A,164,10-APR-02,NA
1LKK,1,COMPLEX(TYROSINEKINASE/PEPTIDE),Y,NULL,NULL,N,A,108,10-NOV-95,NA
1LNI,1,HYDROLASE,N,NULL,NULL,Y,AB,192,03-MAY-02,NA
1LQ9,1.3,OXIDOREDUCTASE,N,NULL,0.168,Y,AB,224,09-MAY-02,NA
1LQT,1.1,OXIDOREDUCTASE,N,0.134,0.153,Y,AB,906,13-MAY-02,NA
1LS1,1.1,PROTEINTRANSPORT,N,0.137,0.169,Y,A,289,16-MAY-02,NA
1LS9,1.3,ELECTRONTRANSPORT,N,0.149,0.190,Y,A,91,17-MAY-02,NA
1LU0,1,HYDROLASEINHIBITOR,N,0.121,0.145,Y,AB,58,21-MAY-02,NA
1LU4,1.1,OXIDOREDUCTASE,N,0.153,0.216,Y,A,134,21-MAY-02,NA
1LUQ,0.96,BINDINGPROTEIN,N,NULL,0.165,N,AB,239,23-MAY-02,NA
1LWB,1.1,HYDROLASE,N,0.103,0.137,N,A,122,31-MAY-02,NA
1LZL,1.3,HYDROLASE,N,NULL,0.213,Y,A,317,10-JUN-02,NA
1M15,1.2,TRANSFERASE,N,0.123,0.140,Y,A,356,17-JUN-02,NA
1M1Q,0.97,ELECTRONTRANSPORT,N,0.135,0.151,Y,A,90,20-JUN-02,NA
1M24,0.9,ANTIBIOTIC,N,0.076,0.092,Y,AB,16,21-JUN-02,NA
1M2B,1.3,ELECTRONTRANSPORT,N,0.145,0.196,N,AB,202,22-JUN-02,NA
1M2D,1.1,ELECTRONTRANSPORT,N,0.138,0.162,N,AB,202,22-JUN-02,NA
1M40,0.85,HYDROLASE,N,NULL,0.112,Y,A,263,01-JUL-02,NA
1M4L,1.3,HYDROLASE,N,0.104,0.145,Y,A,307,03-JUL-02,NA
1M69,1.1,DNA,N,0.159,0.210,Y,A,6,15-JUL-02,NA
1M70,1.3,ELECTRONTRANSPORT,N,0.155,0.202,Y,ABCD,760,18-JUL-02,NA
1M77,1.3,DNA,N,0.163,0.185,Y,A,10,18-JUL-02,NA
1M9Z,1.1,HORMONE/GROWTHFACTOR,N,0.156,0.166,N,A,105,30-JUL-02,NA
1MA8,1.3,DNA,N,NULL,0.173,N,AB,18,01-AUG-02,NA
1MC2,0.85,TOXIN,N,0.104,0.121,Y,A,122,05-AUG-02,NA
1MEX,1.3,IMMUNESYSTEM,N,NULL,0.213,Y,L,420,08-AUG-02,NA
1MF5,1.1,DNA,N,0.216,0.224,Y,AB,14,09-AUG-02,NA
1MF7,1.3,CELLADHESION,N,NULL,0.223,Y,A,194,09-AUG-02,NA
1MFM,1,OXIDOREDUCTASE,N,NULL,NULL,Y,A,153,16-APR-99,NA
1MGO,1.2,OXIDOREDUCTASE,N,0.188,0.209,Y,AB,748,15-AUG-02,NA
1MJ4,1.2,OXIDOREDUCTASE,N,0.119,0.139,N,A,80,26-AUG-02,NA
1MJ5,0.95,HYDROLASE,N,0.112,0.141,Y,A,298,27-AUG-02,NA
1MJN,1.3,IMMUNESYSTEM,N,NULL,0.202,N,A,179,28-AUG-02,NA
1MJU,1.2,IMMUNESYSTEM,N,0.124,0.154,Y,L,421,28-AUG-02,NA
1MLX,1.3,DNA,N,0.141,NULL,Y,AB,18,31-AUG-02,NA
1MN8,1,VIRALPROTEIN,N,0.133,0.169,Y,ABCD,379,05-SEP-02,NA
1MOO,1.1,LYASE,N,0.157,0.177,Y,A,256,09-SEP-02,NA
1MQK,1.3,IMMUNESYSTEM,N,0.136,0.196,Y,L,232,16-SEP-02,NA
1MUN,1.2,DNAREPAIR,N,NULL,0.169,N,A,225,26-AUG-98,NA
1MUW,0.86,ISOMERASE,N,0.126,0.143,Y,A,386,24-SEP-02,NA
1MWQ,0.99,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.109,0.132,Y,AB,198,30-SEP-02,NA
1N0Q,1.3,STRUCTURALPROTEIN,N,0.172,0.187,Y,AB,185,14-OCT-02,NA
1N1O,1.2,DNA,N,0.160,0.200,Y,AB,22,18-OCT-02,NA
1N3L,1.2,LIGASE,N,0.180,0.223,Y,A,332,28-OCT-02,NA
1N40,1.1,OXIDOREDUCTASE,N,0.134,0.153,Y,A,395,30-OCT-02,NA
1N62,1.1,OXIDOREDUCTASE,N,0.144,0.172,N,AD,2492,08-NOV-02,NA
1N7A,1.2,DNARNA,N,0.125,0.156,N,ABCDEFGH,40,13-NOV-02,NA
1N8K,1.1,OXIDOREDUCTASE,N,0.145,0.167,Y,AB,748,21-NOV-02,NA
1N9B,0.9,HYDROLASE,N,0.125,0.150,Y,A,265,22-NOV-02,NA
1NAZ,1,OXYGENSTORAGE/TRANSPORT,N,NULL,0.146,Y,A,154,30-NOV-02,NA
1NCW,1.3,IMMUNESYSTEM,Y,NULL,0.208,Y,L,430,05-DEC-02,NA
1NEY,1.2,ISOMERASE,Y,0.125,0.150,Y,AB,492,12-DEC-02,NA
