PDB,RES,SIM,SIMRES
5JEI,1.229,5NG9,1.15
2VR8,1.36,2C9U,1.24
2C9U,1.24,4A7G,1.24
4A7G,1.24,4A7U,0.98
4DJC,1.35,2O5G,1.08
5OJA,1.347,5OJC,1.25
5OJC,1.25,1NAZ,1.04
1NAZ,1.04,5YCE,0.77
1H8D,1.4,6FJT,1.27
6FJT,1.27,3SI4,1.27
3SI4,1.27,5JZY,1.27
5JZY,1.27,3RM2,1.23
3RM2,1.23,4UD9,1.124
4UD9,1.124,5AFY,1.12
4OYN,1.43,4Y08,1.34
4Y08,1.34,6B8G,1.13
6B8G,1.13,6B8F,1.06
3CHB,1.25,5LZH,1.13
5LZH,1.13,5LZG,1.13
5LZG,1.13,5LZH,1.13
4WYZ,1.449,1RUV,1.25
1RUV,1.25,1KF3,1.05
1KF3,1.05,6ETL,0.85
6ETL,0.85,6ETK,0.85
4BX5,1.431,2RTI,1.4
2RTI,1.4,2RTJ,1.4
2RTJ,1.4,2RTG,1.39
2RTG,1.39,2RTM,1.3
2RTM,1.3,3WZN,1.3
3WZN,1.3,3WZP,1.2
3WZP,1.2,6GH7,1.08
6GH7,1.08,1LUQ,0.96
1LUQ,0.96,3RY2,0.95
3RY2,0.95,2F01,0.85
6AJZ,1.847,6IN1,1.5
6AJV,1.45,6AJW,1.401
6AJW,1.401,6E4A,1.26
6E4A,1.26,5DW2,1.12
5DW2,1.12,4QB3,0.94
1NUY,1.3,1NUW,1.3
5LCP,1.433,5N3M,1.229
5N3M,1.229,5N1H,1.18
5N1H,1.18,5N3I,1.14
5N3I,1.14,5N3S,1.14
5N3S,1.14,5N1G,1.14
5N1G,1.14,4WIH,1.139
4WIH,1.139,5N3J,1.12
5N3J,1.12,5N1F,1.12
3U98,1.45,3QX5,1.35
3QX5,1.35,2BVR,1.25
2BVR,1.25,3RM2,1.23
2FST,1.45,6SPL,1.38
6SPL,1.38,6SP9,1.22
5Q6E,1.47,5Q3K,1.39
5Q3K,1.39,5Q7C,1.2
5Q7C,1.2,5Q82,1.2
5Q82,1.2,5Q22,1.18
4NDX,1.496,3SHL,1.48
3SHL,1.48,3SXH,1.4
3SXH,1.4,4N9P,1.4
4N9P,1.4,4HMJ,1.35
4HMJ,1.35,4EQP,1.35
4GRP,1.27,4GRN,1.25
4GRN,1.25,6B1K,1.17
2FT7,1.4,2FT6,1.25
2FT6,1.25,3U25,1.18
3U25,1.18,3FSA,0.98
4XXC,1.426,4U1J,1.38
4U1J,1.38,4U1M,1.18
4U1M,1.18,1K5N,1.09
5JDI,1.38,2X9V,1.3
2X9V,1.3,2X9N,1.15
2X9N,1.15,2X9G,1.1
5PIJ,1.45,5PKP,1.3
5PKP,1.3,5PKJ,1.22
5PKJ,1.22,5PNU,1.14
5PNU,1.14,5PLK,1.14
5PLK,1.14,5PLN,1.14
5PLN,1.14,5PMX,1.14
5PMX,1.14,5PNH,1.14
5PNH,1.14,5PLO,1.14
5PLO,1.14,5PLM,1.14
5PLM,1.14,5PLV,1.14
5PLV,1.14,5PNR,1.14
5PNR,1.14,5PN0,1.14
5PN0,1.14,6H10,1.104
3N9G,1.434,6MEG,1.41
4TUL,1.4,4TRP,1.25
3E2N,1.3,4JM5,1.26
4JM5,1.26,5U61,1.222
5U61,1.222,5U5V,1.222
5U5V,1.222,4JMW,1.19
4JMW,1.19,4NVB,1.17
4NVB,1.17,3E2O,1.06
5G4M,1.38,6GGE,1.25
6GGE,1.25,6GGC,1.24
6GGC,1.24,6SHZ,1.24
6SHZ,1.24,3D06,1.2
1ZO4,1.46,2IJ2,1.2
5O6N,1.35,1NLS,0.94
1NLS,0.94,2UU8,0.94
5CVG,1.25,3WAR,1.04
3WJX,1.23,3W07,1.03
5PY5,1.44,5PXL,1.35
5PXL,1.35,6G5P,1.35
5TA2,1.48,5T9Z,1.4
5T9Z,1.4,6FK1,1.299
6FK1,1.299,3K0M,1.25
3K0M,1.25,6GJL,1.16
6GJL,1.16,5F66,1.15
5F66,1.15,4N1M,1.15
5QJC,1.47,5QK0,1.44
1IWT,1.4,5LSH,1.061
5LSH,1.061,2NWD,1.04
6DYC,1.33,6DYF,1.1
5HG8,1.42,5UG9,1.33
5RFB,NONE,2GT7,
5RF6,NONE,2GT7,
5RED,NONE,5R82,
5RFV,NONE,5R82,
5RFD,NONE,5R82,
5RFC,NONE,5R82,
5RFW,NONE,5R82,
5RF8,NONE,5R82,
5RFE,NONE,5R82,
5RF9,NONE,5R82,
6YB7,NONE,5R82,
5GZW,1.489,4E3K,1.43
4E3K,1.43,4KZ4,1.42
4KZ4,1.42,4LV3,1.42
4LV3,1.42,4KZB,1.37
4KZB,1.37,2HDS,1.16
2HDS,1.16,2FFY,1.07
4QBV,1.497,4QC4,1.491
4QC4,1.491,1RG8,1.1
4LM3,1.49,4LM4,1.48
4LM4,1.48,2OUS,1.45
2OUS,1.45,2OUR,1.45
4EXY,1.47,4EY2,1.17
4EY2,1.17,4EYB,1.16
4EYB,1.16,6Q2Y,1
6Q2Y,1,5XP6,0.95
5XP6,0.95,5ZGY,0.95
5ZGY,0.95,5ZGZ,0.95
5ZGZ,0.95,5ZGW,0.95
5ZGW,0.95,5ZGX,0.95
6V1M,NONE,5ZGX,
3T74,1.28,3DO2,1.22
3DO2,1.22,6GHX,1.156
6GHX,1.156,4N4E,1.13
4N4E,1.13,5N3V,1.12
5N3V,1.12,5JVI,1.12
2JDH,1.1,1W8F,1.05
1W8F,1.05,1UZV,1
1UZV,1,4CE8,0.9
5NYI,1.44,3VHC,1.41
3VHC,1.41,3B28,1.35
3B28,1.35,3WHA,1.3
3WHA,1.3,5XRD,1.3
5XRD,1.3,3T0H,1.2
3T0H,1.2,5J80,1.17
6SLG,1.33,4ZZN,1.33
5M71,1.488,4DFX,1.35
4DFX,1.35,1RDQ,1.26
4MJY,1.4,3KA4,1.4
3KA4,1.4,4MKU,1.3
4MKU,1.3,4MN9,1.15
4MN9,1.15,5J8W,1.11
5J8W,1.11,5J93,1.1
1M0K,1.43,1M0M,1.43
1M0M,1.43,5ZIL,1.29
5ZIL,1.29,5ZIN,1.27
5ZIN,1.27,5ZIM,1.25
2RA3,1.46,4Y0Z,1.37
4Y0Z,1.37,4Y10,1.37
4Y10,1.37,1P2J,1.35
1P2J,1.35,9PTI,1.22
9PTI,1.22,5XX3,1.12
5XX3,1.12,1BPI,1.09
1BPI,1.09,2ZJX,1.09
2ZJX,1.09,5PTI,1
5PTI,1,1K6U,1
1K6U,1,1G6X,0.86
2AXI,1.4,4OGN,1.377
4OGN,1.377,5C5A,1.146
5C5A,1.146,6Q9L,1.13
4P7F,1.37,3HVK,1.3
3HVK,1.3,5P9V,1.04
6GQS,1.43,6GR5,1.34
6FFW,1.495,1JGM,1.3
1JGM,1.3,1I0B,1.3
1I0B,1.3,1HZY,1.3
1HZY,1.3,1I0D,1.3
1I0D,1.3,2OB3,1.04
4L4F,1.294,4L4E,1.261
3P9Q,1.48,3TTV,1.45
5C4F,1.41,5C4D,1.4
5C4D,1.4,5M7A,1.304
5M7A,1.304,5M79,1.3
5M79,1.3,6GX0,1.25
6GX0,1.25,5M7D,1.2
5M7D,1.2,6GX2,1.07
3EMH,1.37,6E1Z,1.1
4X5W,1.34,5NI9,1.33
4ID4,1.05,4OP5,1.05
4OP5,1.05,1M40,0.85
3AK9,1.3,3AK8,1.25
6CXK,1.108,6CW7,1.03
6CW7,1.03,4PSY,0.85
4PSY,0.85,4PTH,0.85
4PTH,0.85,4PSS,0.849
1Z3N,1.04,2AGT,1
2AGT,1,4QBX,0.98
4QBX,0.98,3BCJ,0.78
3BCJ,0.78,4LBS,0.76
4LBS,0.76,1US0,0.66
4Q8V,1.396,4KWO,1.32
4KWO,1.32,4LBU,1.17
4LBU,1.17,4Q8W,1.14
4Q8W,1.14,5N6F,1.119
2O8T,1.45,6XVD,1.4
6XVD,1.4,4ZKO,1.29
4ZKO,1.29,5YC6,1.18
6Y1E,1.402,2A2R,1.4
2A2R,1.4,5J41,1.19
3KL6,1.45,2JKH,1.25
2RCT,1.2,2RCQ,1.2
2RCQ,1.2,4QYN,1.19
2YLB,1.15,4PNO,0.97
4LJH,1.45,4YWA,1.192
6OWM,1.1,6OA7,1.1
6OA7,1.1,4NG5,1.1
4NG5,1.1,2JHF,1
5LBY,1.4,5LBZ,1.4
5LBZ,1.4,4FGJ,1.346
4FGJ,1.346,4FGL,1.2
5OQ5,1.4,4HYI,1.399
4HYI,1.399,2YEX,1.3
6QRY,1.17,1MNZ,0.99
1MNZ,0.99,4A8I,0.95
4A8I,0.95,2GLK,0.94
2GLK,0.94,5AVH,0.9
5AVH,0.9,1MUW,0.86
6J2K,1.44,6J2B,1.44
6J2B,1.44,6J25,1.2
6J25,1.2,1YM1,1.12
1YM1,1.12,4UA7,0.89
4UA7,0.89,4UA6,0.79
3VJQ,1,5X9M,0.93
5X9M,0.93,5X9L,0.9
6S1H,1.05,6S14,1.05
5I86,1.05,5J0D,1.05
5J0D,1.05,5BT3,1.05
3UVC,1.3,6EKN,1.2
6EKN,1.2,2OXW,1.15
2OXW,1.15,1Y93,1.03
4Z6S,1.42,4Z6V,1.37
4Z6V,1.37,4Z6M,1.35
1K3Y,1.3,6ATR,1.29
5LFT,1.249,6GD6,1.2
6GD6,1.2,4N0K,1.05
4F5L,1.4,2Q7W,1.4
3RVQ,1.15,1JBE,1.08
3MNS,1.497,2DE9,1.3
2DE9,1.3,3MNB,1.198
3MNB,1.198,3ODF,1.1
3ODF,1.1,5AVD,0.86
6QEN,NONE,5AVD,
5HR2,1.2,5HR3,1.101
5HR3,1.101,4HUA,1.1
5N5W,1.37,5MHC,1.2
5MHC,1.2,3IQV,1.2
3IQV,1.2,6G6X,1.13
6G6X,1.13,3IQU,1.05
3W87,1.43,2E6F,1.26
5LLZ,1.14,4HSX,1.12
4HSX,1.12,5K1L,1.08
5K1L,1.08,3LB2,1.06
4CSS,1.069,4X5P,0.997
5OUR,1.35,5LOK,1.109
5LOK,1.109,5EPU,1.06
5EPU,1.06,5M2T,1.03
4GEV,1.3,6NNR,1.05
3QMP,1.1,1P7V,1.08
1P7V,1.08,3DW1,1.03
3DW1,1.03,3I30,0.992
3I30,0.992,3DWE,0.99
3DWE,0.99,3DW3,0.99
3DW3,0.99,5KXV,0.98
5KXV,0.98,2PWA,0.83
4TLJ,1.17,4CK4,1.12
5WA9,1.15,6N3X,1.1
6N3X,1.1,5WAA,1.098
5WAA,1.098,6J64,0.95
3A40,1.45,1IE9,1.4
1IE9,1.4,3B0T,1.3
2X02,1.35,5MOZ,1.34
5KP1,1.218,6C1J,1.063
6C1J,1.063,6C1X,1.05
5LM6,1.17,5NAI,1.15
6RPN,NONE,5NAI,
6V1P,NONE,5NAI,
5KVG,1.4,1MEX,1.25
5NWD,1.45,5NWG,1.4
4JP4,1.43,5B5O,1.2
4YLQ,1.4,6R2W,1.25
4POE,1.07,4N9S,1.06
4N9S,1.06,3L8W,1
6E4F,1.15,6HRP,1.12
6HRP,1.12,5P9J,1.08
3D80,1.4,3FS6,1.23
3FS6,1.23,4M6J,1.201
4M6J,1.201,1KMS,1.09
1KMS,1.09,1KMV,1.05
4HZF,1.48,4R8H,1.46
3R40,1.05,3R41,1.05
4V2Y,1.4,6R18,1.35
6R18,1.35,5AMH,1.2
5AMH,1.2,6R1D,1.1
3BDF,1.4,3BDG,1.4
3BDG,1.4,3TG0,1.2
6H28,1.19,5NJ2,1.19
2ZW0,1.4,6CNE,1.2
6CNE,1.2,6C9O,1.2
6C9O,1.2,2QMT,1.05
2FS6,1.35,2G7B,1.18
5J35,1.47,4X06,1.218
4X06,1.218,4OOX,1.2
5DC8,1.3,5VI6,1.237
3LBM,1.48,2WKJ,1.45
3RM1,1.24,4PE0,1.08
4QUJ,1.498,5IBP,1.38
5IBP,1.38,2J32,1.3
6O7M,1.4,3U7Q,1
4TKU,1.43,3U7Q,1
3C31,1.49,3GBA,1.35
6RCG,NONE,6HMR,
6RCH,NONE,6HMR,
4H8M,1.429,6Q5H,1.2
4NKE,1.46,4NUA,1.43
5IU0,1.499,1WDD,1.35
4MPR,1.401,4GM0,1.07
4GM0,1.07,4GG1,1.069
4GG1,1.069,2FN3,1
2FN3,1,1Q6Z,1
4QER,1.2,1SQZ,1.2
1SQZ,1.2,2G58,0.98
4UFX,1.49,4C68,1.38
3SV6,1.4,3SU1,1.399
3SU1,1.399,3M5L,1.25
3M5L,1.25,3SU6,1.1
4WW8,1.42,5LL5,1.42
5LL5,1.42,6G5L,1.21
6G5L,1.21,5MSA,1.2
6IMD,1.499,1Y2B,1.4
1Y2B,1.4,1Y2K,1.36
2RK4,1.15,3CZ9,1.15
3CZ9,1.15,2RK3,1.05
2XQQ,1.31,5E0L,1.31
4CT2,1.25,5ACK,1.24
5ACK,1.24,5LVO,1.09
4GSV,1.48,3GMZ,1.43
3GMZ,1.43,2AEB,1.29
5MYX,1.492,1RUK,1.4
1RUK,1.4,1RUP,1.4
1RUP,1.4,1NCW,1.3
2GCO,1.4,5C4M,1.3
6MMD,1.228,1NWZ,0.82
3IB0,1.4,4N6P,1.4
4N6P,1.4,3TOD,1.38
3ZCL,1.4,3F66,1.4
3F66,1.4,4R1V,1.2
2JEW,1.4,1Z5R,1.4
1Z5R,1.4,4Z65,1.25
5TIU,1.49,4FYO,1.4
4FYO,1.4,4YJR,1.32
6FUH,1.37,5NAW,1.25
5NAW,1.25,5NAT,1.17
3U8R,1.47,3U8O,1.28
3U8O,1.28,4UE7,1.129
4UE7,1.129,4UD9,1.124
5D7X,1.35,5O5F,1.302
5O5F,1.302,5FFV,1.3
5FFV,1.3,5MWZ,1.25
5TDI,1.4,4X6H,1
1L0I,1.2,1T8K,1.1
4R9B,1.2,4R9A,1.197
4R9A,1.197,4R9C,1.19
4R9C,1.19,4JCK,1.15
4JCK,1.15,3ZSK,0.9
3ZSK,0.9,3ZSJ,0.86
6SZ3,1.28,6SZX,1.17
6SZX,1.17,6T02,1.1
4NO4,1.399,4Q26,1.399
4Q26,1.399,4Q27,1.2
5CMM,1.271,3G3K,1.24
4ONL,1.35,4ONM,1.35
4XF4,1.349,5I0U,1.25
5I0U,1.25,4XFF,1.25
4XFF,1.25,4XEZ,1.247
4HPJ,1.45,5CGQ,1.18
6C7M,1.45,5D38,1.427
6F9K,1.399,6ELG,1.38
6ELG,1.38,6ENI,1.1
3B7S,1.465,3U9W,1.25
6N0N,1.477,6N0D,1.453
6DBC,1.05,6DDJ,1.05
6DDJ,1.05,5IG6,0.91
6DZ4,1.45,4HT3,1.3
4HT3,1.3,5CGQ,1.18
6TD1,1.2,6QWA,1.06
6QWA,1.06,6QW9,1.04
6QW9,1.04,6TD0,0.99
6V1J,NONE,6TD0,
3Q6R,1.4,3RY8,1.4
3RY8,1.4,3Q3A,1.4
3Q3A,1.4,3Q38,1.28
3Q38,1.28,3Q39,1.25
2P4K,1.48,1PL4,1.47
2VC4,1.39,3PX8,1.29
4EL4,1.2,3BON,1.2
1RU1,1.4,1RTZ,1.33
1RTZ,1.33,5ETP,1.05
5ETP,1.05,3IP0,0.89
5U8A,1.45,5U69,1.28
3IJ8,1.43,6OCN,1.147
6OCN,1.147,4X9Y,1.07
4X9Y,1.07,5U3A,0.95
2RAC,1.3,1SFH,1.05
1SFH,1.05,2IDT,1
2IDT,1,2OV0,0.75
5B1K,1.35,1OE3,1.15
1OE3,1.15,1OE1,1.04
6CSP,1.237,5WGI,1.05
3GU6,1.49,3GU4,1.35
3GU4,1.35,4PF4,1.13
3I11,1.45,6F2N,1.149
6F2N,1.149,4C1H,1.1
4C1H,1.1,5FQA,1.1
5MAJ,1,2XU3,0.9
1X8Q,0.85,1X8P,0.85
4URH,1.44,4UQP,1.42
4UQP,1.42,4UQL,1.22
6V1B,1.35,4UIT,1.3
4UIT,1.3,5I40,1.04
5I40,1.04,6BQA,1.031
5C1U,1.49,3QZR,1.039
5NKG,1.1,6Q7D,0.978
6S7W,1.44,6S43,1.42
4ZUN,1.4,4ZUQ,1.22
4ZUQ,1.22,4ZUR,1.13
6RQU,1.393,6RQQ,1.276
4M3K,1.48,5GHX,1.24
6I0L,1.4,6I0J,1.35
3EJP,1.32,3BVU,1.12
3BVU,1.12,3BVX,1.1
1TM5,1.45,1TO2,1.3
3RCF,1.15,3R59,1.1
3R59,1.1,3RCG,0.97
3RCG,0.97,4O8H,0.85
4HCV,1.48,4HCT,1.48
4HCT,1.48,4HCU,1.43
6VIP,1.36,2G3R,1.25
2AGL,1.4,2OIZ,1.05
4XOD,1.14,4XO9,1.14
2HKR,1.4,2AGL,1.4
2AH1,1.2,2AGY,1.1
2AGY,1.1,2OIZ,1.05
5O6J,1.45,5O6H,1.29
3SZU,1.4,4H4D,1.35
5ELW,1.4,4MU3,1.12
4MU3,1.12,5EL9,1.1
5EL9,1.1,5EKW,1.1
4RMI,1.45,4RMH,1.42
6C3L,1.461,1R29,1.3
4K5Q,1.49,5A71,0.91
3P6C,1.25,3P6H,1.15
3P6H,1.15,3RZY,1.08
3RZY,1.08,3P6D,1.06
5M9R,1.44,5M9Q,1.35
5M9Q,1.35,4AOH,1.041
5O7V,1.28,5O7U,1.15
5O7U,1.15,2BT9,0.94
4YW9,1.4,3DTB,1.3
3DTB,1.3,3MOE,1.25
4J9E,1.4,3EG3,1.4
3EG3,1.4,4J9F,1.094
4J9F,1.094,5OAZ,1.03
4K6Y,1.48,4NMO,1.4
4NMO,1.4,4E35,1.4
4E35,1.4,4JOE,1.14
4JOE,1.14,4JOK,1.09
4A6V,1.46,4A6W,1.46
4A6W,1.46,2GG2,1
2GG2,1,2GGC,1
2D3H,1.22,3A08,1.22
3A08,1.22,3AI6,1.1
3AI6,1.1,1X1K,1.1
1X1K,1.1,3AH9,1.08
3G5H,1.4,4G44,1.24
4G44,1.24,1N40,1.06
5E8X,1.45,5E8S,1.45
3ESD,1.22,1CEX,1
1CEX,1,3QPA,0.85
3SY0,1.489,3T65,1.45
3URC,1.1,2H5D,0.9
2H5D,0.9,2H5C,0.82
2E10,1.35,2DXU,1.28
5E0G,1.2,5E0J,1.2
5E0J,1.2,6BID,1.15
6BID,1.15,5DGJ,1
1GX4,1.46,1O7Q,1.3
3IUT,1.2,1ME3,1.2
1ME3,1.2,6O2X,1.193
6O2X,1.193,3I06,1.1
2XM4,1.1,2YL0,0.95
2YL0,0.95,2YL7,0.9
2YL7,0.9,2YKZ,0.84
2YKZ,0.84,3ZQV,0.84
1GG6,1.4,1YPH,1.34
3I1U,1.391,1M4L,1.25
3G3M,1.4,3MI2,1.2
3MI2,1.2,3EWY,1.1
3EWY,1.1,3EWW,1.1
1R50,1.45,1ISP,1.3
1ISP,1.3,5CTA,1.24
4U3Y,1.45,6RA7,1.2
5N8J,1.05,5N8B,1.03
3AKQ,0.97,3AKS,0.97
5JEE,1.49,5FOX,1.3
5FOX,1.3,4B2I,1.3
4B2I,1.3,5J4L,1.13
3JVM,1.2,3JVL,1.2
4WJO,1.46,4WJQ,1.35
4WJQ,1.35,6UYR,1.3
5X08,1.49,4XAW,1.47
4XAW,1.47,4XCF,1.43
1RGE,1.15,4GHO,1.1
4GHO,1.1,1T2H,1
1T2H,1,1LNI,1
5NB3,1.38,5NB4,1.14
6MYJ,1.33,6MYI,1.15
6R4W,1.391,5A0R,1.251
5A0R,1.251,6R4Z,1.052
6SBQ,NONE,,
3WA4,1.35,6ICG,1.15
4JPM,1.14,4FCF,1.09
4FCF,1.09,1N9B,0.9
5TS8,1.45,4RLK,1.24
5OK7,1.34,5OKG,1.25
5OKG,1.25,5OKA,1.25
6I4H,1.4,6I4E,1.22
6AAO,1.403,4CS4,1.349
4RTW,1.24,5OB0,1.172
5OB0,1.172,4HVW,0.98
4HVW,0.98,4RTZ,0.979
4RTZ,0.979,5OAV,0.95
4IBI,1.473,4IBG,1.413
4IBG,1.413,3FKE,1.4
5AOU,1.1,4A29,1.1
4A29,1.1,5AN7,1.1
4X9V,1.429,4X9R,1.398
2ITK,1.45,3TC5,1.4
3TC5,1.4,1PIN,1.35
5O6O,1.45,5O6X,1.35
5O6X,1.35,6H0M,1.25
5QSJ,1.49,5QS8,1.47
5QS8,1.47,5QS9,1.43
4KM2,1.4,4KLX,1.23
3QZX,1.3,2VEB,1.3
2GKR,1.16,1R0R,1.1
6DYW,1.45,4OY3,1.2
6FPW,1.35,5JRD,1.2
5JRD,1.2,6FPO,1.05
6RP2,NONE,6FPO,
1YRF,1.07,2F4K,1.05
2F4K,1.05,1YRI,1
1YRI,1,3TRV,1
3TRV,1,1WY3,0.95
5HS4,1.339,4PLZ,1.05
4BVP,1.49,4BR9,1.4
4BR9,1.4,4BRC,1.3
1IXB,0.9,1IX9,0.9
4R0X,1.2,4JFK,1.15
4JFK,1.15,3O5O,1.15
3O5O,1.15,4DRO,1.1
4DRO,1.1,4JFJ,1.08
4JFJ,1.08,4DRN,1.069
4DRN,1.069,5OBK,1
5OBK,1,3O5P,1
3O5P,1,3O5Q,0.96
3ECG,1.18,3EC0,1.18
3QJX,1.45,3B34,1.3
1Y20,1.4,1PB7,1.35
4ZZ2,1.451,4ZZ1,1.351
1S5S,1.4,1S83,1.25
1S83,1.25,2A31,1.25
5QU7,1.27,5QU3,1.02
5QU3,1.02,5QU8,0.93
6SZM,1.42,6SRH,1.25
3W8M,1.46,4O6Q,0.95
4O6Q,0.95,4O6U,0.89
5ZZT,1.35,5ZZQ,1.32
5ZZQ,1.32,5ZZR,1.31
3FP6,1.49,3FP8,1.46
3FP8,1.46,3FP7,1.46
4JQA,1.45,4JTR,1.3
4JTR,1.3,4XO6,1.2
6GLG,1.313,6GLJ,1.301
6GLJ,1.301,6GLH,1.201
4BB3,1.4,1ODM,1.15
1IW0,1.4,1WZD,1.35
5N91,1.49,5ND0,1.45
5ND0,1.45,5NCF,1.4
5NCF,1.4,6XVT,1.4
6XVT,1.4,5NEG,1.29
5NEG,1.29,5NBF,1.15
5NBF,1.15,5NCG,1.02
6EU5,1.496,3H5Z,1.49
3H5Z,1.49,2WUU,1.42
2WUU,1.42,5A27,1.37
5A27,1.37,4C7I,1.3
4C7I,1.3,4CGO,1.3
2NLF,1.45,2NLE,1.35
2NLE,1.35,1IJV,1.2
1IJV,1.2,2NLS,0.98
5B7E,1.42,3UAB,1.3
3UAB,1.3,4E9Q,1.3
4E9Q,1.3,3UAE,1.3
3UAE,1.3,3UAD,1.1
3UAD,1.1,4E9S,1.06
3R6E,1.18,3Q46,0.99
4M7X,1.42,5JIC,1.4
6AUC,1.46,5K68,1.4
5K68,1.4,5VKX,1.37
5VKX,1.37,6AUL,1.36
6AUL,1.36,6AUE,1.36
6RVP,1.16,6RVQ,1.136
4A85,1.4,4MNS,1.2
4MNS,1.2,4BKD,1.17
4BKD,1.17,4BK7,1.14
3DS2,1.2,3DS4,1.12
5UCP,1.444,5UCS,1.408
1RMT,1.4,2B82,1.25
5LMM,1.2,6FPO,1.05
6HZR,1.19,6HR4,1.19
1OQQ,1.47,1XLQ,1.45
6IHX,1.46,6II1,1.34
6JK3,1.12,6JK2,1.06
3I3Q,1.4,4ZHN,1.333
5MBQ,1.33,5AD1,1.32
2GRR,1.3,5F6E,1.12
6H2P,1.479,5MC1,1.43
6DWQ,1.27,1R0R,1.1
3UJR,1.4,2AKZ,1.36
2GGN,1.35,2GHC,1.25
2GHC,1.25,2VCN,1.2
2OYB,1.3,2I5Z,1.2
2I5Z,1.2,2I5V,1.1
1KT4,1.461,1KT7,1.274
1KT7,1.274,1KT6,1.1
6BH2,1.447,6BGY,1.22
6FZ9,1.246,4FKB,1.22
4KQK,1.47,4KQI,1.4
3X1W,1.2,3X1Y,1.168
3X1Y,1.168,3X1X,1
3ZTO,1.47,3ZTP,1.37
6IJ3,1.4,6EQE,0.92
5MHW,1.35,5MI2,1.35
5MI2,1.35,5MHY,1.35
5MHY,1.35,5MIB,1.35
5MIB,1.35,5MID,1.35
5MID,1.35,5MIG,1.35
5MIG,1.35,5MI1,1.35
5MI1,1.35,5MIC,1.35
5MIC,1.35,5MHX,1.35
5MHX,1.35,5MIA,1.35
5MIA,1.35,5MHZ,1.35
5MHZ,1.35,5MIE,1.35
5MIE,1.35,5E9N,0.95
5E9N,0.95,6RI6,0.93
1UZB,1.4,2BJK,1.4
2BJK,1.4,2BHQ,1.4
2P02,1.21,5A1I,1.09
4CTJ,1.47,5EHI,1.303
6GFQ,1.4,6GG7,1.32
6GJK,1.47,5G1A,1.42
3S42,1.45,3O1N,1.03
3I4W,1.35,6QJL,1.043
3P74,1.2,3P7Y,1.2
3P7Y,1.2,3P84,1.1
3P84,1.1,3P8J,1
3P8J,1,2ABB,1
2ABB,1,1VYR,0.9
5PAG,1.36,5PAX,1.36
5X8B,1.39,5ZB0,1.19
5ZB0,1.19,5X86,1.19
6IVV,1.26,6JGU,1.02
6JGU,1.02,6J93,0.95
