PDB,RES,SIM,SIMRES
6O66,2.452,6O4X,2.3
6O4X,2.3,6U37,2.25
6U37,2.25,6O5V,2.152
6O5V,2.152,4M0E,2
6QLM,1.5,5TDI,1.4
6T04,1.5,6SZ3,1.28
6SZ3,1.28,6SZX,1.17
6SZX,1.17,6T02,1.1
6K2G,NONE,5GWF,
6NLE,2.615,4MMC,2.3
6TD1,1.2,6QWA,1.06
6QWA,1.06,6QW9,1.04
6QW9,1.04,6TD0,0.99
6V1J,NONE,6TD0,
6RFA,2.2,6RF9,1.8
6RF9,1.8,4XTL,1.45
6OCT,2.8,5A15,2.76
6OCN,1.147,4X9Y,1.07
6JLP,2.5,6JLJ,2.15
6P4Y,1.799,5EPM,1.75
6UTN,1.79,6UTO,1.64
6V0X,1.5,6V1B,1.35
6V1B,1.35,4UIT,1.3
6QWP,3.4,6R21,3.33
6S7W,1.44,6S43,1.42
6RQU,1.393,6RQQ,1.276
6QUT,NONE,6RQQ,
6PRX,3.25,5BWU,2.17
6OI9,2.06,3RV3,1.91
6QKM,2.102,6QNE,1.8
6QNE,1.8,2YAX,1.8
5QQS,1.85,5QQW,1.56
5QQW,1.56,5QQV,1.52
5QQV,1.52,5QR1,1.44
6JKA,NONE,6LBL,
6LBL,1.68,6JED,1.57
6NN4,2.15,4IP7,1.8
6TNR,1.9,2WXH,1.9
5QU0,1.67,5E8Z,1.51
6OE8,1.99,2YZE,1.99
6TZU,1.8,4LY8,1.7
6J8V,2.23,5B02,2.21
6O2X,1.193,3I06,1.1
6QX2,3.4,6FQS,3.11
6QTK,2.31,5IWI,1.98
6TQ1,1.9,4A9N,1.85
6RPB,2.5,4ZDH,2.098
6UYS,1.588,4WJN,1.5
6JL5,2.05,6JKR,1.6
6P8B,2,6P89,1.4
6R5C,1.881,5A0X,1.7
6R4W,1.391,5A0R,1.251
6SBQ,NONE,,
6SBR,NONE,,
6QL9,2.82,6QL5,2.8
6J9V,2.4,6JAE,2.3
6JAE,2.3,3WXL,1.9
6OEZ,2.5,2WOW,2.2
6OFD,2.2,6HWR,1.95
6PRR,1.67,5YQA,1.38
6TYE,3.79,6TYG,3.5
6TYG,3.5,6FBV,3.5
6JCY,3.106,6KON,3
6KON,3,6JCX,2.903
6JCX,2.903,5ZX2,2.8
6OKV,4.007,6OLK,4
6OJY,3.3,6OK2,3.287
6OK2,3.287,6OJZ,3.027
6OJZ,3.027,6OJX,1.892
6PJ7,2.3,6PJ4,2.3
6PJ4,2.3,5F5G,2.3
6QMK,1.72,1X2J,1.6
6QFB,3.25,6UUW,2.85
5QS5,1.81,5QRH,1.81
5QRH,1.81,5QSK,1.55
5QSK,1.55,5QSJ,1.49
5QSJ,1.49,5QS8,1.47
5QS8,1.47,5QS9,1.43
6O47,2.196,4LEV,1.952
6OIV,3.06,6OI7,2.9
6RP2,NONE,6FPO,
6NM8,2.792,6NM7,2.426
6NM7,2.426,5O45,0.99
5QU7,1.27,5QU3,1.02
5QU3,1.02,5QU8,0.93
6S8V,1.8,4MVK,1.5
6T8N,1.77,6SZM,1.42
6SZM,1.42,6SRH,1.25
6KGK,NONE,2Z5U,
6KGR,NONE,2Z5U,
6KGM,NONE,2Z5U,
6KGP,NONE,2Z5U,
6KGL,NONE,2Z5U,
6KGO,NONE,2Z5U,
6KGN,NONE,2Z5U,
6KGQ,NONE,2Z5U,
6P4P,NONE,,
6P4Q,NONE,,
6P4R,NONE,,
6P4N,NONE,,
6P4M,NONE,,
6P4S,NONE,,
6P4T,NONE,,
6KVQ,1.6,6RVP,1.16
6RVP,1.16,6RVQ,1.136
6O9X,1.7,6OAK,1.7
6OAK,1.7,6OAL,1.6
6K22,NONE,,
6K25,NONE,,
6PKC,1.9,6O5I,1.24
6JK3,1.12,6JK2,1.06
6KP2,1.973,6KP7,1.97
6T8P,2.02,6D0A,1.468
6TLK,1.8,6TM3,1.08
6PDJ,1.81,1QPC,1.6
6O0G,2.4,5ERX,1.729
6S0O,1.8,4UAH,1.73
6RCK,2.029,6RD3,1.98
6RD3,1.98,5O79,1.65
6R7D,2.35,2UUH,2.15
6T6R,1.67,6Q4R,1.6
6UP9,1.949,6UQ8,1.339
6KYK,2.82,4DXA,1.95
6PA0,2.05,2P7T,2.05
6L9F,2.555,5OAQ,1.95
6SEN,1.65,6GEI,1.65
6JGU,1.02,6J93,0.95
6RU5,3.9,5FO9,3.3
6TEN,2.21,5MVS,2.18
6JV9,2.26,6JVB,2
6JVB,2,5X1A,1.821
6URC,2.2,6HX1,2.14
6NPW,2.486,4IMI,2.35
6P7I,2,5WCF,1.98
6KAM,2.46,6KAJ,2.225
6KAJ,2.225,6KAK,2.056
6QJE,2.4,6Q3W,1.962
6NVB,1.636,4KEL,1.148
6RLN,2.87,4NEU,2.57
6NW2,2,4ITJ,1.8
6S27,2.802,6S26,2.05
6S26,2.05,6DXG,1.905
6RGY,2.2,4JA2,1.79
6UEE,2.1,6UEG,2
6UEG,2,5DEM,1.81
6U1T,1.483,2XKN,1.4
6OBF,NONE,5I4N,
6OCC,NONE,5I4N,
6OAV,NONE,5UT3,
6OBB,NONE,5UT3,
6OBL,NONE,5UT3,
6QU4,2.75,6QU3,2.35
6QIY,1.5,1TM5,1.45
6J9T,2.7,2ZQY,2.6
6KTK,1.65,6KTL,1.65
6O18,2.55,6O1J,2
6VEB,2.55,6PQZ,2.23
6PQZ,2.23,6PR1,1.82
6V9C,NONE,6NVG,
6NVG,1.99,6NVH,1.9
6NVH,1.9,4XCU,1.71
6SZP,1.76,2CI4,1.7
6UBN,2.15,6EER,1.82
6PI8,1.635,6PID,1.546
6S4G,1.67,4AH3,1.57
6O8Q,3.216,4YF0,2.79
6T41,2.45,4CRL,2.4
6P5M,2.65,2F2U,2.4
6NW5,1.7,3ISX,1.4
6REG,1.3,6QSG,1.15
6QSG,1.15,6REK,1.1
6REK,1.1,6I39,1.05
6J74,3.212,6J7X,2.75
6J7X,2.75,6O60,2.503
6O60,2.503,3HXD,1.95
6S2S,0.86,6S2M,0.72
6OIA,1.777,5VWO,1.773
6QLH,1.57,6QLL,1.56
6QLL,1.56,4ZAZ,1.45
6RIR,1.767,4LHW,1.55
6P6K,1.55,6P7Z,1.19
6RH8,1.9,2C2A,1.9
6QS9,2.802,4OR0,2.58
6O49,1.85,4G50,1.75
6P67,2.9,6DG2,1.96
6PLF,1.7,6RJ3,1.42
5QSX,2.34,6QB5,2.02
6JWY,2.5,6JWQ,2.5
6JWQ,2.5,6JWX,2.5
6JWX,2.5,6KCM,2.3
6KCM,2.3,6JWS,2.3
6KYG,2.19,5H7X,1.76
6QED,1.8,6QEF,1.79
6QEF,1.79,6QEJ,1.62
6QEJ,1.62,5D6F,1.55
6JX9,1.8,1TFZ,1.8
6OT8,1.5,6OT4,1.4
6OII,1.85,6OGH,1.85
6OGH,1.85,6OG0,1.85
6QHC,1.87,1LO6,1.56
6OFC,3.14,3SZG,2.25
6QY8,NONE,6HMQ,
6OYY,2.7,6OZ8,2.7
6OZ8,2.7,6P1Y,2.33
6P1Y,2.33,6P02,2.25
6KDY,3.02,6KDE,2.999
6KDE,2.999,5GRI,2.31
6QSK,3.394,5OGE,3.22
6J5G,3.291,6J5F,1.801
6J5F,1.801,6J5D,1.8
6J5D,1.8,1VFA,1.8
6U3D,1.75,6U3B,1.7
6U3B,1.7,6DAD,1.65
6U3Y,NONE,4IYA,
6RL0,1.78,6RKZ,1.601
6T5O,1.91,6T7G,1.8
6NNS,1.45,6NPX,1.42
6NPX,1.42,6NNN,1.35
6NNN,1.35,5BMN,1.27
6RFK,1.6,5TNT,1.4
6QXJ,1.7,4WMU,1.55
6T2K,1.38,6R8R,1.27
6OUS,3.4,3RRR,2.821
6UH8,1.58,6AP7,1.51
6SIL,1.61,6SIK,1.61
6SIK,1.61,4CJ2,1.5
6NTB,1.9,6MM2,1.04
6QMF,1.771,6G7T,1.65
6QMG,1.65,4E1A,1.62
6QI4,1.78,4GUK,1.75
6O8B,3.4,6O8C,3.17
6O8C,3.17,4IM2,2.5
6TQ9,2.655,6TOD,2.11
6RN7,1.66,6RNI,1.54
6KMV,3.35,6KMU,2.1
6KMU,2.1,6KN1,1.9
6QGA,2.1,6QG9,2.05
6RRK,3.17,5QSO,2.7
5QSO,2.7,5QSQ,2.48
5QSQ,2.48,5QSY,2.4
5QSY,2.4,6R7O,2.31
6PS1,3.2,6PS5,2.9
6PS5,2.9,6PS4,2.6
6PS4,2.6,6PS2,2.4
6PS2,2.4,2RH1,2.4
6OBA,NONE,2RH1,
6TCP,2.5,6TCQ,2.05
6TCQ,2.05,6TCM,1.85
6TCM,1.85,6TCR,1.45
6QPV,1.6,4AX3,1.6
6TFB,1.68,1IJY,1.35
6NZA,1.406,6NZB,1.37
6JY6,1.8,6JY7,1.8
6JY7,1.8,6AB9,1.75
6OND,1.723,6B6W,1.72
6OZM,2.15,6OZL,2.1
6OZL,2.1,6OZN,1.9
6OZN,1.9,5AOY,1.75
6QXS,2.88,3UWL,2.07
6SVQ,2.717,6R4F,2.501
6R4F,2.501,6R4H,2.244
6QGQ,2.601,6QGO,2.599
6QGO,2.599,6QGN,2.099
6QGN,2.099,1FJ2,1.5
6K27,1.86,6KI8,1.79
6O70,2.3,6O6X,2.11
6O6X,2.11,6O6Y,1.96
6NPZ,2.12,3MVH,2.01
6JYS,1.697,6JYR,1.501
6JP7,1.909,6BE3,1.6
6RKG,1.32,5OL4,1.28
6O78,2.8,6O7B,2.4
6QO8,1.319,6QO9,1.299
6J5E,2.33,5YC0,2
6QDY,1.416,6RKG,1.32
6O63,1.8,6O65,1.8
6QSZ,2.5,6RR0,2.18
6RR0,2.18,6RRV,1.1
6O10,2,6NDN,1.768
6UY5,NONE,6NDN,
6Q2T,2.8,4UHL,2.5
6OX4,2.294,6MBK,1.69
6J2H,2.3,6J2I,2.3
6J2I,2.3,6ILC,2.2
6PRG,2.35,2HEU,1.04
6Q0W,2.9,6Q0V,2.9
6Q0V,2.9,6Q0R,2.9
6Q0R,2.9,5FQD,2.45
6SJN,1.75,6SK4,1.55
6SK4,1.55,6SJ8,1.35
6OSR,2.55,6ONA,1.95
6J7Y,2.203,6N6J,1.317
6O41,2.465,6OC7,1.296
6OC7,1.296,2IGD,1.1
6QPG,3.34,6QNW,3.31
6JJR,1.834,6JK6,1.571
6JK6,1.571,4WKH,1.05
6UR3,1.423,6UQS,1.37
6UQS,1.37,6UQT,1.25
6UQT,1.25,6UQU,1.09
6UQU,1.09,4WZ4,1.05
6JF6,2.35,6JF8,1.7
6VCQ,1.6,4S2Y,1.6
6V4L,3.8,4G65,2.09
6TZ6,2.55,5HW7,2.291
6U38,2.73,6U2P,2.04
6U2P,2.04,6U26,1.53
6R4K,2.13,1E4I,2
6NVQ,2.1,6QBY,2.09
6LND,2.001,6V9P,1.93
6QPF,3.634,6QPG,3.34
6RKY,2.79,6RB0,2.35
6RB0,2.35,5JD4,2.05
6QH7,3.4,2JKR,2.98
6U7F,2.75,5LHD,2.6
6U7G,2.35,4FYQ,1.9
6QVH,1.28,6QYB,1.18
6QYB,1.18,6R01,1.18
6OTD,1.8,5OHF,1.8
6K0E,1.707,6K0F,1.634
6K0F,1.634,6EOZ,1.55
6JKW,2.29,6J4N,2.1
6VDB,2.3,5LSS,1.79
6OD5,2.05,6OD4,1.699
6OD4,1.699,6OD3,1.494
6O74,2.71,6O75,2.6
6O75,2.6,6O7B,2.4
6OIC,2.21,6OIB,2.03
6NTX,2.2,6NRO,1.75
6NRO,1.75,6O40,1.2
6TG3,1.85,5L9L,1.8
6JFN,2.04,6JF9,1.7
6K8P,1.965,6K5G,1.574
6R8K,1.6,6G10,1.35
6NO0,2.209,6NO5,2.069
6NO5,2.069,6NO6,1.911
6J90,2.2,5ZXM,1.938
6TLF,2.9,6TLG,2.4
6TLG,2.4,3LW1,1.28
5QT2,1.59,6BHG,1.45
6QW8,1.1,4HBU,1.1
6L2N,2.45,5IFF,1.9
6NUC,1.9,6NUF,1.9
6NUF,1.9,4F0Z,1.7
6K1D,3,6K17,1.602
6V37,2.8,4TWK,2.6
6RTO,2.3,6FMU,1.8
6KH4,2.302,6KH0,2
6KH0,2,6A4U,1.16
6PFY,2.9,6PGK,2.9
6PGK,2.9,1JB0,2.5
6QVG,2.32,6QVL,2.28
6QVL,2.28,6DK3,2.04
6UCE,1.382,6UCF,1.29
6QZQ,3.6,6R9R,2.7
6KER,1.84,6KEM,1.5
6KEM,1.5,6KEL,1.4
6KEL,1.4,6T2T,1.3
6PV9,2,4Z18,1.952
6PHD,3.1,6PHB,2
6PHB,2,6B0G,1.9
6KCQ,1.701,2ICU,1.6
6OYH,2.95,5CKR,2.95
6OC3,2.85,4YK4,2.8
6KL7,2.794,4JQI,2.6
6SPT,1.2,5L87,0.87
6JKD,3.9,6JKC,3.5
6JKC,3.5,4TPH,3.155
6V1E,2.3,6V1F,2
6V1F,2,6V1H,1.93
6V1H,1.93,6V0Q,1.69
6V0Q,1.69,5MQ1,1.5
6OFM,1.48,6OFK,1.15
5QQJ,1.9,5O33,1.64
6O6L,2.25,6QKI,2.04
6P55,1.74,6HZJ,1.43
6OHP,2.6,6OHM,1.895
6R85,2,6R88,1.6
6SLA,2.55,6SL9,1.27
6J9M,2.394,6J9K,2.234
6J9K,2.234,6J9L,1.78
6PDL,2.7,6PD4,2.2
6JOE,2.21,5WYQ,2.16
6SZZ,2.05,3PF4,1.38
6VDJ,2,6VDH,1.85
6VDH,1.85,4PLF,1.35
6JGX,2.71,6JGV,2.2
6SDB,2.8,2F8V,2.75
6T1M,1.85,6T1I,1.8
6T1I,1.8,6HT0,1.8
6PYU,2.54,6PYR,2.21
6PYR,2.21,6EZ6,2.04
6JXK,4.3,6JXI,2.6
6JXI,2.6,6JXH,2.5
6JXH,2.5,6JXJ,2.5
6P9R,1.75,6P9T,1.75
6P9T,1.75,6P9Q,1.7
6P9Q,1.7,6P9S,1.7
6P9S,1.7,6HY2,1.6
6PY8,3.75,2F8X,3.25
6THG,4.074,6P7Y,2.844
6P7Y,2.844,6THB,2.78
6QNA,2.62,6QN9,1.89
6JXJ,2.5,6JXH,2.5
6JUN,2.51,6JUR,2.06
6JUR,2.06,6JUM,1.78
6QXP,NONE,,
6QE5,1.61,6QE0,1.394
6SSZ,3.45,2OUL,2.2
6OV3,3.25,6OV2,3.2
6OV2,3.2,2QUO,1.75
6JO2,1.55,5AUI,1.5
6J4U,1.998,6J7B,1.618
6KRV,3.3,5UBX,2.7
6OU1,1.878,6OU0,1.799
6OU0,1.799,6PKF,1.484
6UOC,1.4,6UO7,1.395
6UO7,1.395,6UO3,1.09
6UAC,1.6,6U13,1.52
6U13,1.52,6U10,1.4
6K09,2.248,6K00,2.198
6K00,2.198,6K02,2.162
6JEW,2,6JEV,1.9
6OAZ,3.04,6OB0,2.81
6OB0,2.81,6OAU,2.48
6QV1,3.48,6QV0,3.12
6QV0,3.12,3QF4,2.9
6QUZ,3.21,6QV0,3.12
6QXA,3.41,4AV3,2.6
6OCO,2.58,2V1Y,2.4
6JEP,2.316,6PLK,2.3
6PLK,2.3,5KVF,1.4
6RHW,2.75,6RHV,2.29
6LIU,2.8,6LIV,2.31
6S6A,2.63,6S6D,2.5
6QSO,1.8,2HQK,1.19
6O3W,2.1,6O3X,1.994
6RVH,3,6RUZ,2.9
6RUZ,2.9,6RVB,2.9
6O01,3,4OPA,2.7
6NKK,2.299,6NKM,1.896
6TZT,3.065,6U3V,2.96
6U3V,2.96,3MKR,2.6
6VD2,1.97,6VD1,1.32
6VD1,1.32,6VCX,1.1
6KGY,2.9,6KYY,2.8
6LF4,NONE,6JV4,
6Q26,2.328,6Q28,2.2
6Q28,2.2,6Q27,2.2
6JT8,1.9,4LGY,1.48
6PI5,1.67,6PI6,1.65
6NLA,1.34,3FIL,0.88
6OD0,NONE,,
6OCX,NONE,,
6L3N,1.83,6J0U,1.79
6KL2,NONE,,
6KL5,NONE,,
6KL6,NONE,,
6UXH,1.858,6UXJ,1.4
6ROP,2.7,5MY2,2.7
6SU1,3,6SU2,3
6OYZ,3.62,6OYH,2.95
6JBI,2.5,6JBR,2.03
6QZN,1.64,6QZM,1.6
6U0S,2.52,6U0P,2.02
6ON3,2.31,6ON1,1.982
6O0R,1.8,6O0Q,1.8
6O0Q,1.8,6O1B,1.67
6K0Y,1.7,6UMU,1.183
6KJY,1.5,6A66,1.4
6U3N,2.8,5NMD,2.07
6PBR,3,1E2O,3
6SOR,1.74,6SOO,1.57
6JB6,2.7,2O25,2.6
6O44,1.83,5GL8,1.8
6NRG,1.7,6NRH,1.5
6K60,3.149,2DYP,2.5
6NWR,3.5,5N6L,2.9
6SZ0,1.74,6SYR,1.49
6SYR,1.49,6SYV,1.12
6PC2,2.9,6PC1,2.76
6PC1,2.76,6PC0,1.7
6OXH,1.92,6OXJ,1.55
6KK7,3.1,6KK1,2.8
6KK1,2.8,6KJV,2.8
6KJV,2.8,5VEW,2.7
6U7T,2,6Q0C,2
6U9C,2.2,6PUA,2
6R2G,1.9,3AHA,1.7
6ST8,2.04,6ST9,1.97
6ST9,1.97,5AMW,1.9
6JE9,3.46,6JDQ,2.95
6JDQ,2.95,6KC8,2.9
6KDT,2.87,6KDB,2.862
6SJ0,1.75,6SJ3,1.17
6QYH,1.94,6QYI,1.8
6TSY,2.25,6TR1,1.7
6SLT,2.7,6H43,2.2
6JIQ,1.67,5ZKM,1.65
6S0F,2,6S0E,1.9
6PTV,1.85,5W7Z,1.7
6SIY,1.95,6SIX,1.88
6SIX,1.88,6SIZ,1.77
6K0V,2.504,6K0N,1.6
6K0N,1.6,6K0S,1.534
6K0S,1.534,6K0P,1.424
6R65,3.5,5OC9,3.2
6PT9,1.66,6PT4,1.45
6O82,2.604,5KNL,2.5
6PQ9,2.191,5GS8,1.59
6SQY,1.9,6SQZ,1.9
6SQZ,1.9,6SQW,1.8
6J9D,2.904,6K13,1.89
6RGS,2.42,6H2O,1.9
6KDA,2.909,6KDT,2.87
6SJY,2.2,6SLK,2.2
6SLK,2.2,6SLL,1.2
6POP,2.147,6PNU,2
6JN7,2.04,6JMX,1.859
6JMX,1.859,6KV1,1.722
6KV1,1.722,6JMY,1.661
6KBB,2.365,4KHA,2.35
6O5F,2.504,5E7M,2.304
6JI2,3,3WXM,2.3
6JVU,2.8,1T3D,2.2
6SVF,1.6,4PRS,1.47
6QV9,NONE,5N56,
6NS2,2.79,6NS4,2.4
6UFY,2.71,3HBC,2.269
6SVK,1.604,6SVL,1.58
6V62,2.36,6ICV,2.15
6K4K,2.715,6OQQ,2.102
6KFZ,1.96,5J8Q,1.702
6TYL,3.3,6NMJ,2.3
6NMJ,2.3,6NMG,2.2
6L18,1.9,6A9A,1.9
6VCS,1.7,3BI7,1.7
6K4T,1.39,5B15,1.39
6RA2,2.3,6RA3,2
6VBQ,2.116,6VBO,1.683
6K67,1.95,6K6A,1.94
6K6A,1.94,6K3M,1.8
6J4Q,2.7,6QBY,2.09
6S1U,1.9,6S1V,1.64
6S1V,1.64,3SQF,1.632
6S9J,2.698,3KAS,2.4
6KNI,1.97,6KNH,1.76
6L6L,2.781,1CIT,2.7
6TEG,1.8,5WAN,1.798
6PTA,2.5,5UF8,1.872
6SSY,1.62,6ST0,1.5
6ST0,1.5,6STL,1.3
6J2F,1.9,6K7U,1.601
6SMN,1.63,6SMW,1.54
6J7H,2.309,6J7U,2.302
6K90,NONE,,
6K8Z,NONE,,
6K92,NONE,,
6K91,NONE,,
6SNE,3.9,6SNC,3.2
6SNC,3.2,6SND,3.1
6P12,1.941,6P14,1.93
6UFF,NONE,,
6PY3,1.9,6PY5,1.9
6PD1,2.72,6PD2,1.95
6RUC,1.199,6RTP,1.1
6TTW,2.2,5TEY,1.8
6NL6,1.4,6NL7,1.4
6QUD,2.1,5DMY,1.95
6P40,2.452,6P3X,2.402
6SF0,3.01,6SEM,2.8
6S8S,2.21,4CRW,1.75
6NWK,1.65,6NWL,1.595
6S8U,3.67,1IC1,3
6UI1,2.2,6UL6,2.02
6PRY,1.55,6PRU,1.539
6PRU,1.539,6P58,1.499
6JKP,3.008,6JKO,1.9
6JPV,2.15,6K39,1.398
6JCU,2.297,5YPU,2
6R1O,2.6,6R1M,1.5
6RJK,1.922,6RJO,1.804
6P0A,2.05,6Q1V,1.85
6Q1V,1.85,6P0C,1.55
6KJF,2.4,6KJC,2.297
6SED,2.233,6SE9,1.965
6SE9,1.965,6SE8,1.835
6SE8,1.835,6ETZ,1.8
6P3J,2.02,6P3H,1.62
6LLB,2.6,5WS2,2.398
6SBI,NONE,,
6QV8,NONE,,
6KNT,2.5,6KNS,2.15
6J88,2.35,6J87,2.3
6J87,2.3,6J85,2.2
6ORF,1.7,6ORH,1.62
6NXV,2.75,6NV6,2.65
6OOQ,3,6EUQ,2.2
6PZM,2.1,6PZN,2
6OHC,2.3,6OHB,2.3
6PQB,3.14,6CN0,2.95
6QDK,3.4,4I2Z,2.9
6S16,3.409,4EP5,2.08
6NSR,3,6NSN,2.6
6SC7,2.56,6SC5,2.1
6JOI,NONE,5K5X,
6JOL,NONE,5K5X,
6JOJ,NONE,5K5X,
6JOK,NONE,5K5X,
6UV1,2.307,6UV2,1.894
6UV2,1.894,6UV4,1.7
6UV4,1.7,6UV3,1.597
6TU1,2.31,6Y4G,1.9
6JID,2.5,6KG2,2.25
6KG2,2.25,6JIB,2.25
6JIB,2.25,5TC4,1.89
6OS1,2.794,6OS2,2.7
6P8S,2,6P8U,1.893
6PBK,2.805,4P94,1.651
6SSF,1.48,6SSD,1.18
6SXS,1.859,1WD3,1.75
6SXR,1.64,6SXT,1.466
6TTK,2.383,2VPJ,1.85
6OLO,NONE,,
6O1Z,3.1,6O1Y,2.7
6O1Y,2.7,6O1X,2.46
6O1X,2.46,6O1W,2.2
6KMS,3.2,6PED,2.3
6PED,2.3,6KMR,2
6KMR,2,6H1D,1.94
6JHG,1.891,6JEQ,1.802
6JEQ,1.802,6JHF,1.71
6JJW,2.4,6JJY,2.298
6JJY,2.298,6JJX,2
6O3G,3.645,6O3D,1.402
6TYZ,1.511,6TYU,1.469
6O23,2,6AZM,1.6
6OYL,NONE,,
6NQX,2.95,6NQY,2.5
6NQY,2.5,6NQW,1.9
